Variable:,tasmax
,Mongolia,Arxangai,Bayan-O'lgii,Bayanxongor,Bulgan,Darxan-Uul,Dornod,Dornogovi,Dundgovi,Govisu'mber,Govi-Altai,Xentii,Xovd,Xo'vsgol,O'mnogovi,Orxon,O'vorxangai,Selenge,Su'xbaatar,To'v,Ulaanbaatar,Uvs,Zavxan
1901,6.21,2.89,0.10,6.86,5.00,5.36,6.35,10.19,8.74,5.49,7.24,5.15,5.91,1.06,11.78,5.09,7.99,4.88,7.39,4.68,4.04,2.58,1.48
1902,6.28,3.04,0.23,6.90,5.20,5.57,6.09,10.24,8.79,5.58,7.32,5.21,6.07,1.31,11.79,5.29,8.02,5.09,7.37,4.81,4.20,2.69,1.66
1903,6.00,2.63,-0.67,6.75,4.74,5.14,6.14,10.13,8.61,5.33,7.12,4.94,5.44,0.74,11.74,4.85,7.85,4.66,7.25,4.48,3.84,2.00,1.17
1904,5.95,2.57,0.73,6.74,4.41,4.56,5.40,9.86,8.34,4.91,7.29,4.39,6.25,0.82,11.69,4.41,7.68,4.10,6.65,4.00,3.31,3.10,1.59
1905,6.03,2.68,-0.44,6.78,4.70,5.06,6.04,10.16,8.67,5.43,7.17,4.99,5.59,0.73,11.75,4.78,7.89,4.57,7.25,4.51,3.86,2.15,1.29
1906,6.05,2.72,-0.33,6.82,4.75,5.09,5.95,10.21,8.74,5.47,7.14,4.97,5.58,0.76,11.80,4.84,7.95,4.62,7.20,4.54,3.89,2.19,1.27
1907,6.02,2.64,-0.56,6.78,4.71,5.11,6.13,10.20,8.71,5.46,7.11,5.05,5.50,0.59,11.77,4.81,7.93,4.62,7.33,4.56,3.93,1.98,1.14
1908,6.11,2.68,-0.04,6.79,4.70,5.08,6.07,10.17,8.68,5.44,7.24,5.06,5.96,0.78,11.75,4.79,7.91,4.60,7.24,4.53,3.89,2.66,1.43
1909,5.70,2.29,-0.41,6.58,4.30,4.63,5.07,9.96,8.37,4.99,7.04,4.47,5.48,0.30,11.67,4.38,7.61,4.14,6.62,4.08,3.41,1.90,0.93
1910,5.61,2.14,-0.75,6.49,4.22,4.62,5.30,9.65,8.29,4.95,6.98,4.54,5.31,0.15,11.57,4.32,7.49,4.13,6.71,4.02,3.37,1.54,0.76
