Variable:,tasmax
,Mozambique,"Cabo Delgado",Gaza,Inhambane,Manica,Nampula,Niassa,Sofala,Tete,Zambezia,Maputo,"Lago niassa"
1901,28.92,29.50,29.51,28.31,28.35,29.45,28.10,29.14,29.48,28.88,28.37,27.62
1902,29.24,29.80,29.72,28.58,28.82,29.64,28.41,29.62,29.88,29.25,28.42,27.93
1903,29.33,29.68,29.85,28.69,29.02,29.62,28.42,29.82,30.07,29.39,28.52,27.95
1904,28.68,29.39,29.30,28.14,27.95,29.39,27.96,28.76,29.00,28.62,28.22,27.48
1905,29.23,29.72,29.70,28.54,28.83,29.61,28.39,29.64,29.89,29.28,28.40,27.89
1906,28.78,29.39,29.28,28.16,28.11,29.46,28.05,28.94,29.19,28.82,28.08,27.56
1907,28.64,29.47,29.07,27.97,27.82,29.45,28.03,28.67,28.92,28.68,27.87,27.49
1908,29.12,29.72,29.57,28.43,28.63,29.61,28.31,29.44,29.70,29.17,28.28,27.80
1909,28.96,29.56,29.49,28.34,28.33,29.54,28.22,29.17,29.42,29.03,28.26,27.72
1910,28.64,29.43,29.20,27.90,27.75,29.43,28.01,28.57,29.01,28.71,28.10,27.49
1911,28.66,29.59,29.18,27.90,27.78,29.44,28.05,28.61,28.98,28.66,28.10,27.51
1912,29.24,29.68,30.11,28.76,28.61,29.65,28.35,29.37,29.82,29.23,29.02,27.85
1913,29.36,29.84,30.26,28.92,28.78,29.68,28.46,29.52,29.96,29.26,29.15,27.97
1914,29.66,29.91,30.38,29.06,29.11,29.87,28.86,29.89,30.44,29.72,29.19,28.46
1915,29.20,29.85,29.81,28.46,28.39,29.59,28.62,29.14,29.88,29.14,28.73,28.28
1916,29.38,29.82,30.21,28.89,28.85,29.49,28.56,29.60,30.04,29.33,29.13,28.19
1917,29.24,29.85,29.56,28.33,28.61,29.66,28.61,29.41,29.99,29.38,28.25,28.15
1918,28.79,29.80,29.29,28.05,27.92,29.54,28.19,28.78,28.98,28.81,28.29,27.57
