Variable:,tasmax
,Mauritania,Adrar,Assaba,Brakna,Dakhlet-Nouadhibou,Gorgol,Guidimakha,"Hodh Ech Chargi","Hodh El Gharbi",Inchiri,Nouakchott,Tagant,Tiris-Zemmour,Trarza
1901,34.96,35.37,36.36,36.87,30.32,36.94,36.61,35.67,36.05,33.41,32.89,36.05,33.49,35.06
1902,35.33,35.71,36.90,37.45,30.61,37.43,37.06,36.39,36.57,33.80,33.47,36.64,33.44,35.63
1903,35.10,35.53,36.61,37.08,30.49,37.07,36.74,36.16,36.33,33.59,33.19,36.35,33.23,35.30
1904,35.09,35.53,36.48,36.93,30.29,36.90,36.57,36.33,36.27,33.42,32.98,36.33,33.23,35.13
1905,35.03,35.46,36.52,37.00,30.44,37.03,36.68,35.97,36.17,33.54,33.08,36.23,33.27,35.21
1906,35.00,35.43,36.56,37.11,30.55,37.11,36.76,35.78,36.12,33.65,33.23,36.20,33.24,35.34
1907,34.59,35.10,35.85,36.31,29.73,36.35,36.04,35.61,35.59,32.83,32.27,35.66,33.03,34.46
1908,35.30,35.70,36.89,37.40,30.63,37.37,37.02,36.42,36.59,33.81,33.48,36.67,33.29,35.61
1909,35.21,35.62,36.59,37.05,30.42,37.03,36.69,36.43,36.38,33.55,33.13,36.42,33.39,35.26
1910,35.11,35.51,36.69,37.22,30.51,37.23,36.87,36.05,36.32,33.64,33.28,36.36,33.28,35.42
1911,34.90,35.37,36.43,37.01,30.47,36.99,36.62,35.61,35.96,33.57,33.09,36.09,33.18,35.23
1912,35.23,35.64,36.80,37.32,30.56,37.32,36.98,36.28,36.45,33.73,33.31,36.51,33.33,35.49
1913,35.14,35.59,36.71,37.31,30.76,37.26,36.87,35.93,36.33,33.88,33.43,36.42,33.26,35.56
1914,34.98,35.46,36.48,36.98,30.38,36.97,36.64,36.05,36.17,33.49,32.99,36.24,33.05,35.16
1915,34.98,35.36,36.65,37.34,30.73,37.32,36.91,35.47,36.18,33.84,33.49,36.22,33.27,35.61
1916,34.59,35.05,36.19,36.82,30.27,36.82,36.43,34.78,35.77,33.37,32.92,35.81,33.11,35.06
1917,34.56,35.02,36.07,36.64,30.00,36.67,36.32,35.05,35.75,33.10,32.67,35.75,33.05,34.84
1918,34.61,35.09,36.33,37.07,30.21,37.00,36.58,34.90,35.87,33.38,33.22,35.94,32.89,35.33
1919,35.42,35.79,37.09,37.71,30.94,37.58,37.15,36.39,36.68,34.11,33.91,36.81,33.38,36.00
1920,34.85,35.27,36.31,36.74,29.85,36.76,36.45,36.25,36.12,33.00,32.77,36.09,32.87,34.93
1921,34.95,35.42,36.41,36.84,30.07,36.83,36.49,36.31,36.23,33.22,32.89,36.28,32.92,35.03
1922,34.68,35.17,35.99,36.39,29.86,36.45,36.16,35.68,35.83,32.95,32.36,35.84,33.07,34.54
1923,35.05,35.53,36.60,37.16,30.46,37.11,36.73,35.74,36.20,33.64,33.23,36.38,33.31,35.38
1924,35.02,35.43,36.39,36.88,30.27,36.82,36.44,36.15,36.15,33.40,32.97,36.24,33.28,35.10
1925,34.92,35.31,36.42,36.87,30.18,36.84,36.51,36.12,36.19,33.33,32.94,36.22,33.02,35.07
1926,35.40,35.86,36.77,37.47,31.02,37.32,36.88,35.99,36.12,34.13,33.66,36.51,33.90,35.75
1927,34.96,35.45,36.31,37.11,30.75,36.89,36.40,35.40,35.58,33.84,33.34,36.07,33.50,35.42
1928,34.78,35.25,36.05,36.69,30.35,36.56,36.14,35.39,35.64,33.44,32.93,35.86,33.35,35.01
1929,34.60,34.98,35.96,36.54,30.09,36.47,36.07,35.34,35.42,33.16,32.66,35.70,33.15,34.78
1930,34.73,35.20,35.98,36.50,29.89,36.47,36.11,35.52,35.54,33.02,32.54,35.85,33.36,34.69
1931,35.25,35.66,36.68,37.13,30.49,37.10,36.75,36.36,36.45,33.65,33.15,36.52,33.46,35.32
1932,34.95,35.42,36.44,37.01,30.37,36.93,36.54,35.81,36.10,33.51,33.17,36.20,33.15,35.29
1933,34.89,35.23,36.46,36.97,30.39,36.95,36.60,35.65,36.07,33.50,33.08,36.11,33.24,35.20
1934,35.12,35.55,36.73,37.12,30.46,37.10,36.70,36.03,36.28,33.66,33.14,36.45,33.32,35.30
1935,35.55,36.08,36.80,37.21,30.52,37.16,36.82,36.90,36.66,33.73,33.24,36.83,33.68,35.39
1936,35.45,35.95,36.86,37.34,30.68,37.26,36.89,36.59,36.63,33.88,33.47,36.76,33.54,35.58
1937,35.56,35.87,36.91,37.36,30.86,37.34,37.00,36.71,36.70,33.95,33.47,36.70,33.93,35.59
1938,35.46,35.78,36.90,37.34,30.53,37.32,36.98,36.88,36.77,33.71,33.39,36.75,33.52,35.53
1939,35.28,35.67,36.70,37.12,30.30,37.11,36.78,36.79,36.60,33.49,33.12,36.62,33.25,35.29
1940,35.27,35.67,36.60,37.03,30.46,37.01,36.68,36.38,36.40,33.57,33.08,36.44,33.65,35.22
1941,35.35,35.74,36.85,37.23,30.51,37.22,36.98,36.59,36.52,33.71,33.28,36.63,33.49,35.42
1942,35.09,35.44,36.50,36.88,30.12,36.90,36.62,36.48,36.24,33.33,32.88,36.33,33.28,35.04
1943,34.86,35.24,36.26,36.71,30.13,36.72,36.43,36.06,35.90,33.23,32.84,36.02,33.09,34.94
1944,35.13,35.48,36.62,36.97,30.28,37.11,36.88,36.49,36.38,33.41,33.09,36.33,33.24,35.19
1945,35.60,36.04,37.10,37.60,31.12,37.57,37.25,36.46,36.68,34.21,33.77,36.86,33.83,35.87
