Variable:,tasmax
,Mauritius,"Administrative unit not available","Black River",Flacq,"Grand Port",Moka,Pamplemousses,"Plaines Wilhems","Port Louis","Riviere Du Rempart",Savanne
1901,26.47,26.99,26.16,26.52,26.52,26.49,26.52,26.29,26.38,26.52,26.21
1902,26.49,26.99,26.20,26.54,26.54,26.51,26.54,26.32,26.41,26.54,26.24
1903,26.47,26.99,26.18,26.52,26.52,26.49,26.52,26.30,26.39,26.52,26.22
1904,26.47,26.99,26.18,26.52,26.52,26.49,26.52,26.30,26.39,26.52,26.22
1905,26.47,26.99,26.18,26.52,26.52,26.49,26.52,26.30,26.39,26.52,26.22
1906,26.47,26.99,26.19,26.52,26.52,26.49,26.52,26.31,26.39,26.52,26.23
1907,26.47,26.99,26.18,26.52,26.52,26.49,26.52,26.30,26.39,26.52,26.22
1908,26.48,26.99,26.21,26.53,26.53,26.50,26.53,26.32,26.41,26.53,26.24
1909,26.48,26.99,26.17,26.53,26.53,26.50,26.53,26.30,26.39,26.53,26.22
1910,26.47,26.99,26.17,26.52,26.52,26.49,26.52,26.29,26.39,26.52,26.22
1911,26.47,26.99,26.16,26.52,26.52,26.49,26.52,26.29,26.38,26.52,26.21
1912,26.50,26.99,26.23,26.55,26.55,26.52,26.55,26.34,26.43,26.55,26.26
1913,26.48,26.99,26.18,26.53,26.53,26.50,26.53,26.30,26.40,26.53,26.23
1914,26.48,26.99,26.19,26.53,26.53,26.50,26.53,26.31,26.40,26.53,26.23
1915,26.48,26.99,26.21,26.53,26.53,26.50,26.53,26.32,26.41,26.53,26.24
1916,26.46,26.99,26.15,26.51,26.51,26.48,26.51,26.28,26.37,26.51,26.20
1917,26.46,26.99,26.15,26.51,26.51,26.48,26.51,26.28,26.37,26.51,26.20
1918,26.46,26.99,26.18,26.51,26.51,26.48,26.51,26.30,26.38,26.51,26.22
1919,26.49,26.99,26.19,26.54,26.54,26.51,26.54,26.31,26.41,26.54,26.24
1920,26.47,26.99,26.17,26.52,26.52,26.49,26.52,26.29,26.39,26.52,26.22
1921,26.47,26.99,26.16,26.52,26.52,26.49,26.52,26.29,26.38,26.52,26.21
1922,26.45,26.99,26.13,26.50,26.50,26.47,26.50,26.26,26.36,26.50,26.19
1923,26.48,26.99,26.22,26.53,26.53,26.51,26.53,26.33,26.41,26.53,26.25
1924,26.46,26.99,26.19,26.51,26.51,26.48,26.51,26.30,26.39,26.51,26.23
1925,26.48,26.99,26.18,26.53,26.53,26.50,26.53,26.30,26.40,26.53,26.23
1926,26.53,26.99,26.27,26.58,26.58,26.56,26.58,26.38,26.46,26.58,26.30
1927,26.48,26.99,26.20,26.53,26.53,26.50,26.53,26.32,26.40,26.53,26.24
1928,26.49,26.99,26.22,26.54,26.54,26.51,26.54,26.33,26.42,26.54,26.25
1929,26.52,26.99,26.22,26.57,26.57,26.54,26.57,26.34,26.44,26.57,26.27
1930,26.47,26.99,26.18,26.52,26.52,26.49,26.52,26.30,26.39,26.52,26.22
1931,26.44,26.99,26.12,26.50,26.50,26.47,26.50,26.26,26.35,26.50,26.18
1932,26.46,26.99,26.17,26.51,26.51,26.48,26.51,26.29,26.38,26.51,26.21
1933,26.47,26.99,26.15,26.52,26.52,26.49,26.52,26.28,26.38,26.52,26.21
1934,26.45,26.99,26.13,26.50,26.50,26.47,26.50,26.26,26.36,26.50,26.19
1935,26.47,26.99,26.16,26.52,26.52,26.49,26.52,26.29,26.38,26.52,26.21
1936,26.48,26.99,26.18,26.53,26.53,26.50,26.53,26.30,26.40,26.53,26.23
1937,26.48,26.99,26.18,26.53,26.53,26.50,26.53,26.30,26.40,26.53,26.23
1938,26.46,26.99,26.19,26.51,26.51,26.48,26.51,26.30,26.39,26.51,26.22
1939,26.48,26.99,26.18,26.53,26.53,26.50,26.53,26.30,26.40,26.53,26.23
1940,26.44,26.99,26.12,26.50,26.50,26.47,26.50,26.26,26.35,26.50,26.18
1941,26.46,26.99,26.19,26.51,26.51,26.48,26.51,26.30,26.39,26.51,26.22
1942,26.46,26.99,26.17,26.51,26.51,26.48,26.51,26.29,26.38,26.51,26.21
1943,26.45,26.99,26.13,26.50,26.50,26.47,26.50,26.26,26.36,26.50,26.19
1944,26.47,26.99,26.15,26.53,26.53,26.50,26.53,26.29,26.38,26.53,26.21
1945,26.48,26.99,26.18,26.53,26.53,26.50,26.53,26.30,26.40,26.53,26.23
1946,26.46,26.99,26.18,26.51,26.51,26.48,26.51,26.30,26.38,26.51,26.22
1947,26.48,26.99,26.18,26.53,26.53,26.50,26.53,26.30,26.40,26.53,26.23
1948,26.47,26.99,26.21,26.52,26.52,26.50,26.52,26.32,26.40,26.52,26.24
1949,26.49,26.99,26.21,26.54,26.54,26.51,26.54,26.33,26.41,26.54,26.25
1950,26.45,26.99,26.13,26.50,26.50,26.47,26.50,26.26,26.36,26.50,26.19
1951,26.43,26.92,26.01,26.50,26.50,26.46,26.50,26.18,26.31,26.50,26.12
1952,26.50,26.88,26.18,26.55,26.55,26.52,26.55,26.31,26.41,26.55,26.25
1953,26.71,27.28,26.34,26.77,26.77,26.74,26.77,26.49,26.61,26.77,26.43
1954,26.51,27.04,26.19,26.57,26.57,26.54,26.57,26.33,26.42,26.57,26.26
1955,26.50,26.82,26.18,26.55,26.55,26.52,26.55,26.31,26.41,26.55,26.24
1956,26.52,26.63,26.20,26.57,26.57,26.54,26.57,26.33,26.43,26.57,26.26
1957,26.92,27.04,26.58,26.98,26.98,26.95,26.98,26.72,26.83,26.98,26.66
1958,26.94,27.23,26.58,27.00,27.00,26.97,27.00,26.73,26.84,27.00,26.66
1959,26.46,27.01,26.09,26.53,26.53,26.50,26.53,26.25,26.36,26.53,26.18
1960,26.40,26.97,26.03,26.46,26.46,26.43,26.46,26.18,26.30,26.46,26.12
1961,27.28,27.35,26.99,27.33,27.33,27.30,27.33,27.11,27.20,27.33,27.03
1962,26.36,26.43,26.06,26.41,26.41,26.38,26.41,26.18,26.28,26.41,26.10
1963,26.13,26.43,25.81,26.18,26.18,26.15,26.18,25.94,26.04,26.18,25.87
1964,26.00,26.35,25.70,26.05,26.05,26.02,26.05,25.82,25.92,26.05,25.74
1965,25.91,26.33,25.59,25.96,25.96,25.93,25.96,25.72,25.82,25.96,25.64
1966,26.58,26.90,26.26,26.63,26.63,26.60,26.63,26.39,26.49,26.63,26.32
1967,26.62,27.00,26.30,26.68,26.68,26.65,26.68,26.44,26.53,26.68,26.36
1968,26.28,26.48,25.98,26.33,26.33,26.30,26.33,26.10,26.20,26.33,26.03
1969,27.01,27.28,26.73,27.06,27.06,27.03,27.06,26.85,26.93,27.06,26.77
1970,26.59,27.11,26.28,26.64,26.64,26.61,26.64,26.41,26.50,26.64,26.33
1971,26.39,26.88,26.05,26.45,26.45,26.42,26.45,26.19,26.30,26.45,26.12
1972,26.83,27.28,26.51,26.89,26.89,26.86,26.89,26.65,26.74,26.89,26.57
1973,26.70,27.30,26.38,26.76,26.76,26.73,26.76,26.52,26.61,26.76,26.45
1974,26.38,26.96,26.06,26.44,26.44,26.41,26.44,26.20,26.29,26.44,26.13
1975,26.65,27.18,26.31,26.71,26.71,26.68,26.71,26.45,26.56,26.71,26.38
1976,26.85,27.29,26.51,26.91,26.91,26.88,26.91,26.65,26.76,26.91,26.58
1977,26.68,27.48,26.33,26.74,26.74,26.71,26.74,26.48,26.58,26.74,26.41
1978,26.05,26.93,25.73,26.10,26.10,26.07,26.10,25.86,25.96,26.10,25.79
1979,26.05,26.92,25.71,26.11,26.11,26.08,26.11,25.85,25.96,26.11,25.79
1980,25.89,26.85,25.53,25.95,25.95,25.92,25.95,25.68,25.79,25.95,25.62
1981,26.05,27.08,25.71,26.11,26.11,26.08,26.11,25.85,25.96,26.11,25.79
1982,26.22,27.15,25.85,26.29,26.29,26.26,26.29,26.01,26.12,26.29,25.94
1983,26.35,27.28,26.00,26.41,26.41,26.38,26.41,26.15,26.25,26.41,26.09
1984,25.89,26.65,25.56,25.95,25.95,25.92,25.95,25.70,25.80,25.95,25.63
1985,26.07,26.81,25.74,26.13,26.13,26.10,26.13,25.88,25.98,26.13,25.81
1986,26.47,27.06,26.15,26.53,26.53,26.50,26.53,26.29,26.38,26.53,26.21
1987,27.24,27.60,26.93,27.29,27.29,27.26,27.29,27.06,27.15,27.29,26.98
1988,26.83,27.35,26.49,26.89,26.89,26.86,26.89,26.63,26.74,26.89,26.57
1989,26.33,26.89,26.02,26.38,26.38,26.35,26.38,26.15,26.24,26.38,26.07
1990,26.52,27.11,26.19,26.58,26.58,26.55,26.58,26.33,26.43,26.58,26.26
1991,26.82,27.38,26.49,26.88,26.88,26.85,26.88,26.63,26.73,26.88,26.56
1992,26.39,26.90,26.13,26.44,26.44,26.42,26.44,26.24,26.32,26.44,26.17
1993,26.72,27.24,26.40,26.78,26.78,26.75,26.78,26.54,26.63,26.78,26.47
1994,26.83,27.28,26.51,26.88,26.88,26.85,26.88,26.64,26.74,26.88,26.57
1995,26.66,27.15,26.33,26.72,26.72,26.69,26.72,26.47,26.57,26.72,26.40
1996,26.48,26.88,26.17,26.53,26.53,26.50,26.53,26.30,26.39,26.53,26.22
1997,26.83,27.30,26.50,26.89,26.89,26.86,26.89,26.64,26.74,26.89,26.56
1998,27.05,27.58,26.73,27.10,27.10,27.07,27.10,26.86,26.96,27.10,26.79
1999,26.89,27.40,26.58,26.94,26.94,26.91,26.94,26.71,26.80,26.94,26.63
2000,26.67,27.30,26.35,26.72,26.72,26.69,26.72,26.48,26.58,26.72,26.41
2001,27.32,28.00,26.98,27.38,27.38,27.35,27.38,27.12,27.23,27.38,27.05
2002,27.01,27.48,26.65,27.07,27.07,27.04,27.07,26.80,26.91,27.07,26.73
2003,27.25,27.79,26.88,27.31,27.31,27.28,27.31,27.03,27.15,27.31,26.96
2004,27.05,27.50,26.73,27.11,27.11,27.08,27.11,26.87,26.96,27.11,26.79
2005,26.98,27.35,26.66,27.03,27.03,27.00,27.03,26.79,26.89,27.03,26.71
2006,27.25,27.73,26.92,27.31,27.31,27.28,27.31,27.06,27.16,27.31,26.98
2007,27.04,27.68,26.72,27.10,27.10,27.07,27.10,26.86,26.95,27.10,26.78
2008,26.97,27.67,26.60,27.03,27.03,27.00,27.03,26.75,26.87,27.03,26.68
2009,27.60,28.29,27.23,27.66,27.66,27.63,27.66,27.38,27.50,27.66,27.31
2010,27.55,28.03,27.20,27.61,27.61,27.58,27.61,27.35,27.45,27.61,27.26
2011,27.73,28.05,27.41,27.79,27.79,27.76,27.79,27.55,27.64,27.79,27.46
2012,27.34,27.87,27.00,27.40,27.40,27.37,27.40,27.14,27.25,27.40,27.06
2013,27.30,27.92,26.93,27.36,27.36,27.33,27.36,27.08,27.20,27.36,27.01
2014,27.74,28.30,27.39,27.80,27.80,27.77,27.80,27.54,27.64,27.80,27.46
2015,27.56,28.13,27.19,27.62,27.62,27.59,27.62,27.34,27.46,27.62,27.27
2016,27.33,28.04,26.96,27.39,27.39,27.36,27.39,27.11,27.23,27.39,27.04
2017,27.89,28.43,27.55,27.95,27.95,27.92,27.95,27.69,27.80,27.95,27.61
2018,27.57,28.13,27.20,27.63,27.63,27.60,27.63,27.35,27.47,27.63,27.28
2019,27.96,28.49,27.62,28.02,28.02,27.99,28.02,27.76,27.87,28.02,27.69
2020,27.23,27.92,26.85,27.30,27.30,27.26,27.30,27.01,27.13,27.30,26.94
