Variable:,tasmax
,Niger,Agadez,Diffa,Dosso,Maradi,Niamey,Tahoua,Tillaberi,Zinder
1901,34.88,34.14,35.62,35.54,35.42,35.80,36.20,35.84,35.40
1902,34.91,34.15,35.62,35.66,35.42,35.99,36.28,36.04,35.40
1903,34.97,34.16,35.62,35.90,35.43,36.36,36.45,36.44,35.40
1904,34.86,34.14,35.60,35.54,35.09,36.05,36.15,36.16,35.27
1905,34.74,34.07,35.70,35.01,34.93,35.44,35.75,35.54,35.29
1906,35.14,34.25,35.68,36.37,35.98,36.69,36.86,36.74,35.64
1907,34.92,34.13,35.57,35.94,35.31,36.35,36.40,36.48,35.27
1908,35.12,34.17,35.69,36.75,35.72,37.17,36.94,37.22,35.47
1909,34.97,34.12,35.62,36.20,35.36,36.68,36.54,36.75,35.30
1910,35.03,34.19,35.77,35.98,35.56,36.38,36.51,36.48,35.54
1911,34.69,34.06,35.66,34.95,34.71,35.32,35.63,35.45,35.19
1912,34.91,34.14,35.86,35.49,35.03,35.94,36.09,36.09,35.45
1913,35.37,34.32,36.02,36.86,36.53,37.11,37.31,37.14,36.05
1914,35.48,34.39,35.89,37.20,36.91,37.48,37.64,37.52,36.11
1915,35.04,34.19,35.75,36.07,36.02,36.16,36.65,36.11,35.65
1916,35.00,34.18,35.80,35.84,36.12,35.72,36.52,35.63,35.72
1917,35.05,34.18,36.04,35.83,36.02,35.82,36.49,35.77,35.88
1918,34.83,34.14,35.75,35.23,35.55,35.22,36.01,35.21,35.53
1919,34.98,34.15,35.93,35.71,35.30,36.19,36.28,36.29,35.57
1920,35.10,34.19,35.86,36.22,35.75,36.65,36.69,36.68,35.65
1921,35.06,34.19,35.68,36.22,35.72,36.63,36.70,36.68,35.52
1922,35.12,34.20,35.94,36.22,36.07,36.38,36.76,36.36,35.78
1923,35.48,34.53,36.40,36.57,36.43,36.67,37.12,36.61,36.25
1924,35.35,34.42,36.13,36.46,36.11,36.79,36.99,36.81,36.00
1925,34.67,33.85,35.36,35.71,35.17,36.15,36.19,36.20,35.04
1926,35.54,34.62,36.37,36.63,36.40,36.81,37.17,36.77,36.22
1927,35.51,34.75,36.47,35.95,36.08,36.10,36.73,36.10,36.27
1928,35.33,34.49,36.08,36.26,36.08,36.45,36.91,36.44,35.93
1929,35.30,34.73,36.02,35.75,35.53,36.00,36.45,36.01,35.61
1930,36.27,35.57,37.22,36.56,36.72,36.69,37.39,36.71,37.03
1931,36.62,35.81,37.75,37.13,37.00,37.35,37.71,37.36,37.42
1932,35.58,34.69,36.66,36.50,36.01,36.80,36.85,36.82,36.29
1933,35.43,34.46,36.13,37.08,35.99,37.41,37.19,37.41,35.85
1934,35.84,34.83,36.50,37.29,36.98,37.50,37.68,37.46,36.50
1935,36.17,35.08,36.86,37.82,37.13,38.23,38.15,38.26,36.79
1936,35.93,35.12,36.39,37.29,36.47,37.69,37.61,37.71,36.14
1937,35.84,34.74,36.32,37.56,36.97,38.00,37.90,38.03,36.49
1938,36.42,35.17,37.02,38.43,37.81,38.76,38.66,38.74,37.23
1939,35.74,34.76,36.67,36.82,36.33,37.26,37.28,37.34,36.47
1940,34.99,34.21,35.62,35.93,35.43,36.39,36.46,36.46,35.40
1941,36.07,35.25,36.75,36.82,36.73,37.15,37.56,37.23,36.76
1942,35.70,34.84,36.39,36.61,36.33,36.98,37.29,37.06,36.29
1943,35.02,34.21,35.65,35.95,35.57,36.36,36.58,36.42,35.45
1944,35.02,34.17,35.61,36.14,35.58,36.60,36.64,36.68,35.44
1945,34.50,33.72,35.07,35.56,34.95,36.06,36.04,36.14,34.78
1946,34.84,34.10,35.41,35.71,35.26,36.15,36.30,36.23,35.17
1947,35.44,34.59,35.72,36.96,36.31,37.34,37.31,37.33,35.68
1948,34.47,33.67,34.93,35.69,35.08,36.14,36.16,36.20,34.72
