Variable:,tasmax
,Norway,Akershus,Aust-agder,Buskerud,Finnmark,Hedmark,Hordaland,"Moere Og Romsdal",Nord-troendelag,Nordland,Oestfold,Oppland,Oslo,Rogaland,Soer-Troendelag,"Sogn og Fjordane",Telemark,Troms,Vest-Agder,Vestfold
1901,4.93,9.01,7.72,6.62,1.68,5.74,7.37,5.64,5.40,3.76,9.98,4.12,8.80,8.19,5.55,6.63,5.99,1.77,8.37,9.78
1902,3.22,7.32,6.29,5.16,-0.55,4.12,6.04,4.28,3.73,1.75,8.34,2.66,7.17,6.84,4.04,5.31,4.55,-0.40,6.96,8.21
1903,4.53,8.43,7.09,6.02,1.32,5.40,6.81,5.39,5.30,3.45,9.42,3.73,8.20,7.57,5.38,6.20,5.35,1.33,7.73,9.20
1904,3.95,8.06,6.89,5.70,0.74,4.79,6.50,4.83,4.27,2.44,9.13,3.23,7.89,7.34,4.62,5.82,5.10,0.59,7.56,8.93
1905,4.54,8.68,7.44,6.29,1.32,5.45,7.04,5.36,4.96,3.09,9.69,3.80,8.47,7.90,5.25,6.31,5.67,1.20,8.10,9.52
1906,4.84,9.09,7.73,6.60,1.42,5.89,7.30,5.72,5.41,3.39,10.15,4.16,8.86,8.14,5.69,6.56,5.99,1.30,8.37,9.92
1907,4.54,8.13,6.77,5.72,1.95,5.16,6.49,5.17,5.29,3.75,9.05,3.46,7.91,7.24,5.24,5.90,5.06,1.95,7.41,8.87
1908,4.76,8.64,7.38,6.29,1.84,5.53,7.07,5.52,5.26,3.56,9.63,3.89,8.41,7.85,5.44,6.37,5.65,1.73,8.04,9.44
1909,3.84,7.43,6.22,5.10,1.41,4.40,5.92,4.49,4.36,2.83,8.42,2.77,7.21,6.70,4.41,5.31,4.45,1.14,6.89,8.20
1910,4.97,9.02,7.74,6.56,1.57,5.94,7.31,5.86,5.77,3.74,10.02,4.23,8.79,8.18,5.89,6.64,5.95,1.59,8.40,9.79
1911,5.12,9.23,8.06,6.76,2.01,5.99,7.49,5.81,5.59,3.77,10.34,4.28,9.01,8.44,5.77,6.73,6.20,1.93,8.72,10.12
1912,4.21,8.44,7.13,6.11,-0.03,5.45,6.94,5.55,5.13,2.73,9.29,3.85,8.21,7.69,5.44,6.35,5.44,0.22,7.80,9.12
1913,5.05,9.30,7.97,6.86,1.48,6.11,7.58,5.97,5.57,3.66,10.30,4.42,9.07,8.43,5.90,6.84,6.24,1.59,8.60,10.11
1914,5.33,9.47,8.11,6.95,1.76,6.47,7.71,6.30,6.07,4.07,10.43,4.67,9.18,8.53,6.32,7.05,6.31,1.93,8.76,10.19
1915,2.79,6.76,5.81,4.53,-0.50,3.56,5.42,3.72,3.13,1.33,7.86,2.05,6.58,6.27,3.48,4.73,3.94,-0.51,6.49,7.66
1916,4.47,8.36,6.98,5.99,1.20,5.37,6.76,5.41,5.06,3.40,9.25,3.71,8.12,7.50,5.33,6.17,5.28,1.45,7.63,9.07
1917,3.60,7.57,6.55,5.29,-0.04,4.54,6.17,4.67,4.30,2.28,8.59,2.96,7.36,7.00,4.56,5.54,4.70,0.08,7.25,8.41
1918,4.84,8.45,7.31,6.17,1.82,5.48,7.02,5.62,5.52,4.00,9.45,3.88,8.24,7.78,5.56,6.42,5.52,2.14,7.98,9.26
1919,3.87,7.72,6.35,5.30,0.91,4.78,6.07,4.66,4.53,2.64,8.63,3.05,7.44,6.78,4.74,5.44,4.61,0.84,6.97,8.42
1920,5.60,8.88,7.59,6.53,3.42,6.01,7.36,6.11,6.33,5.11,9.80,4.33,8.61,8.07,6.16,6.82,5.82,3.45,8.26,9.62
1921,5.07,9.28,7.96,6.70,1.85,6.20,7.36,5.84,5.67,3.56,10.33,4.36,9.02,8.28,5.97,6.61,6.10,1.71,8.60,10.10
1922,4.20,7.64,6.31,5.30,1.86,4.91,6.14,4.97,4.89,3.13,8.47,3.21,7.37,6.81,5.05,5.62,4.58,1.57,6.96,8.30
1923,3.63,7.17,6.08,4.84,1.40,3.97,5.74,4.11,3.93,2.83,8.20,2.40,6.94,6.56,3.90,5.09,4.22,1.24,6.78,8.01
1924,4.55,7.95,6.79,5.70,2.08,4.98,6.65,5.11,5.06,3.97,8.83,3.39,7.68,7.35,4.94,6.03,5.03,2.19,7.47,8.68
1925,4.82,8.65,7.61,6.32,1.80,5.41,7.16,5.42,5.25,3.90,9.73,3.83,8.48,8.04,5.27,6.40,5.76,2.02,8.31,9.56
1926,4.34,8.35,7.30,6.14,0.90,5.07,7.03,5.24,4.63,3.11,9.38,3.63,8.17,7.85,4.90,6.31,5.53,1.11,7.99,9.24
1927,3.84,7.40,6.42,5.15,1.16,4.15,6.12,4.44,4.20,3.19,8.50,2.68,7.20,6.94,4.10,5.48,4.58,1.33,7.15,8.34
1928,4.06,7.64,6.66,5.40,1.50,4.38,6.37,4.58,4.38,3.28,8.66,2.93,7.44,7.21,4.30,5.66,4.83,1.52,7.41,8.52
1929,4.32,8.01,6.82,5.66,1.54,4.87,6.57,4.81,4.74,3.64,8.88,3.25,7.75,7.39,4.64,5.83,5.04,1.79,7.52,8.73
1930,5.86,9.62,8.33,7.28,2.69,6.55,8.20,6.57,6.51,5.17,10.46,4.93,9.35,8.95,6.43,7.50,6.61,3.07,9.04,10.31
1931,4.06,7.59,6.62,5.39,1.63,4.40,6.34,4.60,4.34,3.22,8.55,2.92,7.39,7.22,4.29,5.60,4.81,1.54,7.38,8.43
1932,5.33,9.27,8.10,6.82,2.27,6.04,7.65,5.89,5.81,4.44,10.24,4.35,9.02,8.60,5.79,6.82,6.25,2.45,8.81,10.06
1933,5.28,9.17,8.13,6.96,1.87,6.05,7.91,6.19,5.74,4.13,10.05,4.54,8.92,8.76,5.90,7.17,6.34,2.14,8.89,9.94
1934,6.25,10.17,8.84,7.66,3.37,6.91,8.47,6.81,6.70,5.41,11.15,5.21,9.91,9.35,6.66,7.70,7.06,3.57,9.53,10.98
1935,4.83,8.91,7.75,6.50,1.78,5.51,7.33,5.46,5.05,3.67,9.96,3.93,8.68,8.28,5.17,6.51,5.94,1.82,8.48,9.79
1936,5.15,8.96,7.88,6.67,2.22,5.71,7.60,5.85,5.44,4.19,9.94,4.18,8.72,8.49,5.50,6.84,6.09,2.30,8.64,9.80
1937,5.30,8.68,7.37,6.28,3.18,5.65,7.15,5.71,5.80,4.87,9.59,4.00,8.39,7.95,5.58,6.51,5.62,3.13,8.11,9.39
1938,6.40,10.22,8.78,7.67,3.65,7.23,8.37,6.95,7.21,5.56,11.17,5.38,9.93,9.17,7.14,7.68,7.01,3.58,9.41,10.97
1939,5.15,9.12,8.02,6.77,1.78,6.01,7.58,6.00,5.83,4.00,10.19,4.36,8.87,8.44,5.91,6.89,6.18,1.83,8.75,9.98
1940,3.97,7.62,6.58,5.46,1.23,4.49,6.30,4.63,4.26,2.95,8.63,3.00,7.46,7.06,4.42,5.65,4.84,1.25,7.28,8.48
1941,3.71,7.45,6.43,5.33,0.44,4.46,6.22,4.68,4.20,2.49,8.42,2.98,7.23,6.97,4.43,5.61,4.67,0.66,7.15,8.26
1942,3.55,7.23,6.12,5.05,0.45,4.31,5.94,4.40,4.09,2.49,8.14,2.74,7.00,6.63,4.30,5.31,4.36,0.58,6.81,7.99
1943,5.66,9.57,8.32,7.06,2.67,6.51,7.86,6.31,6.30,4.65,10.54,4.73,9.29,8.74,6.35,7.13,6.47,2.60,9.01,10.32
1944,5.17,9.03,7.96,6.63,2.28,5.85,7.47,5.76,5.64,4.16,10.12,4.17,8.80,8.38,5.72,6.69,6.09,2.22,8.66,9.93
1945,5.20,9.28,8.35,7.00,1.48,6.07,7.92,6.12,5.68,3.92,10.37,4.49,9.07,8.81,5.94,7.14,6.47,1.76,9.05,10.17
1946,5.26,8.87,7.85,6.63,2.22,5.86,7.59,6.00,5.88,4.41,9.87,4.28,8.63,8.37,5.90,6.91,6.03,2.38,8.56,9.72
1947,4.58,8.36,7.34,6.11,1.56,5.32,6.99,5.29,5.10,3.40,9.40,3.70,8.12,7.80,5.23,6.26,5.51,1.49,8.05,9.21
1948,5.57,9.31,8.15,6.95,2.56,6.32,7.76,6.25,6.35,4.60,10.31,4.61,9.08,8.61,6.32,7.05,6.35,2.62,8.86,10.11
1949,5.93,10.28,8.93,7.73,2.31,7.06,8.41,6.71,6.53,4.60,11.30,5.24,10.04,9.31,6.76,7.62,7.14,2.45,9.58,11.11
1950,5.19,8.89,7.79,6.64,2.31,5.81,7.49,5.95,5.78,4.13,9.93,4.26,8.69,8.27,5.84,6.87,6.04,2.18,8.50,9.76
1951,4.58,8.75,7.53,6.39,1.19,5.55,7.20,5.53,5.01,3.05,9.79,3.94,8.52,8.02,5.37,6.49,5.79,1.01,8.21,9.59
1952,3.88,7.82,6.74,5.51,0.85,4.66,6.33,4.71,4.37,2.44,8.88,3.09,7.61,7.21,4.56,5.65,4.92,0.50,7.44,8.71
1953,6.08,9.87,8.58,7.51,2.81,6.94,8.31,6.89,6.93,5.18,10.78,5.23,9.61,9.07,6.93,7.69,6.82,3.06,9.24,10.60
1954,4.79,8.29,7.18,6.05,2.12,5.33,6.94,5.48,5.47,3.94,9.18,3.73,8.07,7.74,5.40,6.33,5.40,2.00,7.89,9.02
1955,4.06,8.68,7.45,6.34,-0.26,5.45,7.04,5.31,4.65,2.05,9.69,3.85,8.48,7.90,5.20,6.29,5.69,-0.29,8.12,9.50
1956,4.03,7.86,6.88,5.74,0.63,4.86,6.62,5.03,4.54,2.70,8.83,3.38,7.67,7.39,4.84,5.99,5.10,0.60,7.57,8.68
1957,4.84,8.74,7.65,6.39,1.85,5.58,7.21,5.53,5.35,3.64,9.76,3.95,8.52,8.09,5.46,6.46,5.81,1.72,8.33,9.62
1958,4.26,8.06,7.07,5.85,1.13,4.93,6.72,5.02,4.68,3.11,9.08,3.41,7.85,7.57,4.83,6.05,5.26,1.20,7.79,8.90
1959,5.92,9.88,8.55,7.44,2.77,6.86,8.14,6.67,6.69,4.75,10.90,5.13,9.60,8.94,6.73,7.49,6.73,2.78,9.20,10.61
1960,4.79,8.33,7.27,6.15,2.17,5.32,7.12,5.50,5.18,3.76,9.24,3.80,8.09,7.86,5.32,6.46,5.53,2.03,7.98,9.09
1961,5.56,9.52,8.14,7.06,2.36,6.48,7.81,6.39,6.42,4.41,10.49,4.76,9.27,8.60,6.46,7.17,6.37,2.24,8.80,10.25
1962,4.02,7.81,6.74,5.54,0.79,4.73,6.43,4.87,4.75,2.95,8.82,3.18,7.60,7.26,4.80,5.78,4.93,0.78,7.49,8.62
1963,4.58,7.73,6.43,5.46,1.95,5.13,6.39,5.38,5.70,4.09,8.55,3.48,7.43,7.01,5.48,6.04,4.67,2.15,7.20,8.29
1964,5.03,8.63,7.32,6.21,2.17,5.75,7.06,5.71,6.00,4.25,9.58,3.99,8.37,7.81,5.83,6.49,5.51,2.23,8.04,9.29
1965,3.97,7.85,6.74,5.58,0.44,4.83,6.48,4.92,4.80,2.84,8.81,3.24,7.63,7.28,4.87,5.85,4.93,0.51,7.53,8.61
1966,3.37,7.51,6.43,5.24,-0.37,4.36,6.15,4.44,3.92,1.82,8.46,2.83,7.29,6.93,4.25,5.50,4.60,-0.39,7.17,8.25
1967,4.86,8.80,7.65,6.44,1.83,5.69,7.27,5.67,5.40,3.50,9.80,4.05,8.57,8.12,5.59,6.61,5.80,1.53,8.39,9.59
