Variable:,tasmax
,Oman,"A Dakhliya","A Sharqiya","Al Batnah","Al Dhahira","Al Wusta",Dhofar,Musandam,Muscat,"Name Unknown"
1901,30.31,30.14,30.02,31.81,32.07,30.87,29.51,32.09,29.80,33.28
1902,30.18,29.98,30.01,31.52,31.73,30.76,29.43,31.60,29.77,32.83
1903,29.91,29.61,29.84,30.96,31.11,30.52,29.27,30.83,29.49,32.08
1904,29.99,29.72,29.90,31.16,31.32,30.58,29.30,31.14,29.60,32.38
1905,29.99,29.71,29.88,31.12,31.29,30.60,29.33,31.06,29.56,32.29
1906,29.96,29.67,29.86,31.07,31.23,30.56,29.30,31.02,29.54,32.24
1907,29.90,29.60,29.84,30.99,31.13,30.50,29.24,30.91,29.51,32.14
1908,30.18,29.96,29.96,31.45,31.68,30.78,29.45,31.46,29.67,32.70
1909,30.15,29.93,29.93,31.48,31.70,30.73,29.40,31.61,29.64,32.82
1910,29.82,29.50,29.79,30.84,30.97,30.43,29.20,30.72,29.43,31.96
1911,29.65,29.27,29.71,30.48,30.56,30.28,29.09,30.22,29.31,31.46
1912,29.92,29.63,29.88,31.03,31.18,30.52,29.25,30.97,29.56,32.18
1913,29.88,29.57,29.82,30.93,31.07,30.49,29.23,30.82,29.47,32.08
1914,30.07,29.82,29.93,31.29,31.48,30.66,29.36,31.31,29.63,32.54
1915,30.24,30.04,30.03,31.55,31.79,30.84,29.50,31.58,29.77,32.82
1916,30.21,29.98,30.00,31.41,31.65,30.82,29.50,31.34,29.72,32.61
1917,30.22,30.01,29.99,31.47,31.71,30.83,29.50,31.44,29.72,32.68
1918,30.19,29.96,29.98,31.35,31.60,30.81,29.50,31.22,29.69,32.49
1919,30.25,30.06,30.01,31.60,31.85,30.84,29.50,31.69,29.74,32.92
1920,30.23,30.01,30.02,31.49,31.74,30.83,29.50,31.46,29.74,32.71
1921,30.26,30.06,30.05,31.59,31.83,30.84,29.50,31.66,29.79,32.89
1922,30.26,30.07,30.03,31.62,31.87,30.85,29.51,31.74,29.78,32.95
1923,30.21,29.99,29.99,31.43,31.67,30.82,29.50,31.37,29.72,32.63
1924,30.29,30.12,30.04,31.75,32.01,30.86,29.51,31.98,29.80,33.18
1925,30.21,29.98,30.01,31.39,31.63,30.82,29.50,31.29,29.73,32.57
1926,30.24,30.03,30.02,31.52,31.76,30.83,29.50,31.52,29.76,32.76
1927,30.25,30.05,29.99,31.57,31.82,30.84,29.50,31.64,29.74,32.87
1928,30.13,29.91,29.96,31.44,31.65,30.71,29.39,31.53,29.70,32.74
1929,30.14,29.91,29.95,31.41,31.63,30.73,29.42,31.47,29.65,32.70
1930,30.11,29.88,29.94,31.38,31.59,30.70,29.39,31.44,29.64,32.67
1931,30.08,29.80,29.88,31.23,31.51,30.69,29.39,31.23,29.52,32.46
1932,29.96,29.66,29.84,31.04,31.24,30.57,29.30,30.98,29.47,32.23
1933,29.91,29.62,29.82,31.00,31.14,30.52,29.26,30.92,29.44,32.13
1934,30.00,29.72,29.87,31.13,31.33,30.61,29.33,31.11,29.53,32.33
1935,30.19,29.91,29.88,31.39,31.74,30.81,29.48,31.43,29.53,32.70
1936,30.00,29.72,29.86,31.13,31.35,30.61,29.33,31.11,29.52,32.36
1937,30.04,29.76,29.83,31.18,31.44,30.66,29.37,31.17,29.48,32.42
1938,30.06,29.79,29.78,31.30,31.52,30.63,29.40,31.37,29.51,32.58
1939,30.06,29.77,29.74,31.29,31.56,30.64,29.39,31.40,29.45,32.63
1940,30.28,30.12,30.12,31.68,31.90,30.89,29.48,31.78,29.87,33.01
1941,30.39,30.31,30.39,31.83,31.99,31.02,29.51,31.88,30.14,33.09
1942,30.16,30.06,30.02,31.62,31.85,30.79,29.29,31.73,29.77,32.95
1943,29.98,29.81,29.82,31.28,31.55,30.60,29.19,31.23,29.52,32.50
1944,30.16,29.96,29.94,31.46,31.74,30.77,29.40,31.52,29.63,32.78
1945,29.87,29.65,29.59,31.14,31.47,30.46,29.13,31.23,29.27,32.47
1946,30.20,30.02,29.95,31.57,31.84,30.80,29.42,31.67,29.72,32.89
1947,30.09,30.05,29.97,31.71,31.94,30.65,29.17,32.01,29.80,33.19
1948,30.11,29.93,29.95,31.43,31.67,30.69,29.34,31.39,29.72,32.65
1949,29.74,29.66,29.76,31.14,31.32,30.31,28.90,30.98,29.55,32.27
1950,29.55,29.45,29.47,30.95,31.20,30.12,28.72,30.78,29.25,32.07
1951,30.36,30.18,30.01,31.83,32.15,30.92,29.59,32.11,29.85,33.31
1952,30.08,30.01,29.85,31.68,31.96,30.63,29.22,32.00,29.70,33.16
1953,30.35,30.25,30.13,31.93,32.18,30.90,29.50,32.34,30.02,33.44
1954,30.42,30.33,30.13,32.03,32.25,30.97,29.59,32.31,30.02,33.44
1955,29.99,29.91,29.68,31.61,31.89,30.56,29.13,31.91,29.54,33.09
1956,30.06,29.96,29.79,31.60,31.84,30.62,29.24,31.79,29.60,32.98
1957,29.89,29.56,29.48,30.98,31.39,30.53,29.24,30.99,29.06,32.28
1958,30.42,30.18,30.25,31.44,31.82,31.10,29.70,31.57,29.80,32.68
1959,29.84,29.66,29.79,30.97,31.28,30.52,29.04,31.14,29.38,32.24
1960,30.27,29.92,29.83,31.24,31.73,30.95,29.65,31.46,29.35,32.56
1961,30.12,29.77,29.92,30.94,31.34,30.85,29.49,30.95,29.41,32.13
1962,30.27,29.93,29.85,31.31,31.90,30.94,29.58,31.58,29.34,32.74
1963,30.17,29.85,29.76,31.43,31.87,30.82,29.45,31.69,29.42,32.83
1964,29.58,29.16,29.10,30.62,31.09,30.21,29.00,30.64,28.67,31.91
1965,30.25,29.85,29.72,31.41,31.87,30.85,29.64,31.54,29.38,32.85
1966,30.26,29.92,29.77,31.51,31.91,30.83,29.60,31.79,29.51,32.98
1967,30.12,29.77,29.68,31.22,31.59,30.78,29.48,31.24,29.34,32.45
1968,29.97,29.65,29.57,31.18,31.57,30.58,29.31,31.16,29.30,32.43
1969,30.59,30.32,30.26,31.86,32.20,31.17,29.88,31.85,29.98,33.08
1970,30.60,30.49,30.46,32.14,32.33,31.20,29.73,32.42,30.28,33.59
1971,30.05,30.07,30.15,31.68,31.80,30.63,29.09,31.68,30.01,32.91
1972,29.90,29.68,29.74,31.10,31.36,30.47,29.19,30.73,29.41,32.08
1973,30.13,30.09,30.12,31.71,31.83,30.69,29.24,31.97,29.90,33.13
1974,30.13,30.00,29.99,31.51,31.79,30.73,29.31,31.42,29.69,32.73
1975,30.12,30.03,30.04,31.57,31.78,30.71,29.26,31.48,29.84,32.78
1976,30.32,30.25,30.34,31.74,31.86,30.89,29.48,31.44,30.15,32.76
1977,30.94,31.17,31.41,32.95,32.83,31.41,29.80,32.95,31.39,34.21
1978,30.63,30.83,31.10,32.49,32.35,31.12,29.55,32.51,31.04,33.74
1979,30.51,30.46,30.30,32.24,32.35,31.03,29.62,32.28,30.24,33.54
1980,30.58,30.57,30.54,32.32,32.35,31.12,29.65,32.60,30.47,33.81
1981,30.86,31.15,31.51,32.84,32.61,31.28,29.72,32.97,31.48,34.20
1982,30.29,30.17,30.47,31.61,31.69,30.82,29.49,31.43,30.16,32.78
1983,30.27,30.39,30.82,31.98,31.78,30.71,29.26,32.05,30.73,33.28
1984,30.01,29.88,29.79,31.62,31.77,30.53,29.18,31.76,29.71,32.99
1985,30.00,29.54,29.20,31.13,31.59,30.64,29.46,31.54,28.95,32.67
1986,29.98,29.48,29.14,30.95,31.45,30.63,29.50,31.09,28.79,32.30
1987,30.42,29.96,29.73,31.56,31.92,30.98,29.91,31.96,29.50,33.05
1988,30.48,30.12,29.91,31.70,31.98,31.11,29.88,32.10,29.67,33.15
1989,29.88,29.46,29.23,30.95,31.33,30.53,29.33,31.15,28.89,32.33
1990,30.45,29.99,29.75,31.55,31.91,31.08,29.91,32.02,29.46,33.10
1991,29.97,29.49,29.33,31.00,31.41,30.61,29.44,31.29,29.04,32.48
1992,29.75,29.27,29.20,30.66,31.03,30.40,29.26,30.69,28.80,31.88
1993,30.48,30.07,30.02,31.54,31.90,31.13,29.88,31.75,29.65,33.01
1994,30.39,29.95,29.72,31.54,31.93,31.00,29.83,31.96,29.47,33.10
1995,30.22,29.73,29.57,31.26,31.65,30.84,29.72,31.61,29.25,32.75
1996,30.13,29.67,29.40,31.21,31.69,30.76,29.59,31.63,29.09,32.80
1997,30.04,29.44,29.20,30.95,31.45,30.69,29.62,31.39,28.84,32.50
1998,31.03,30.63,30.40,32.33,32.62,31.57,30.47,32.91,30.26,33.99
1999,30.65,30.37,30.06,32.23,32.50,31.17,29.95,33.01,30.03,33.98
