Variable:,tasmax
,"Pitcairn Islands","Administrative unit not available"
1901,NaN,23.39
1902,NaN,23.39
1903,NaN,23.39
1904,NaN,23.39
1905,NaN,23.39
1906,NaN,23.39
1907,NaN,23.39
1908,NaN,23.39
1909,NaN,23.39
1910,NaN,23.39
1911,NaN,23.39
1912,NaN,23.39
1913,NaN,23.39
1914,NaN,23.39
1915,NaN,23.39
1916,NaN,23.39
1917,NaN,23.39
1918,NaN,23.39
1919,NaN,23.39
1920,NaN,23.39
1921,NaN,23.39
1922,NaN,23.39
1923,NaN,23.39
1924,NaN,23.39
1925,NaN,23.39
1926,NaN,23.39
1927,NaN,23.39
1928,NaN,23.39
1929,NaN,23.39
1930,NaN,23.39
1931,NaN,23.39
1932,NaN,23.39
1933,NaN,23.39
1934,NaN,23.39
1935,NaN,23.39
1936,NaN,23.39
1937,NaN,23.39
1938,NaN,23.39
1939,NaN,23.39
1940,NaN,24.61
1941,NaN,24.72
1942,NaN,24.67
1943,NaN,25.21
1944,NaN,23.81
1945,NaN,23.09
1946,NaN,23.39
1947,NaN,23.60
1948,NaN,23.38
1949,NaN,23.39
1950,NaN,23.39
1951,NaN,23.39
1952,NaN,23.39
1953,NaN,23.39
1954,NaN,23.39
1955,NaN,23.47
1956,NaN,24.28
1957,NaN,24.04
1958,NaN,23.27
1959,NaN,23.58
1960,NaN,23.68
1961,NaN,23.97
1962,NaN,23.49
1963,NaN,23.65
1964,NaN,23.90
1965,NaN,23.27
1966,NaN,22.81
1967,NaN,23.78
1968,NaN,22.92
1969,NaN,23.23
1970,NaN,23.66
1971,NaN,23.69
1972,NaN,23.47
1973,NaN,23.19
1974,NaN,23.63
1975,NaN,23.68
1976,NaN,23.39
1977,NaN,23.00
1978,NaN,23.58
1979,NaN,23.17
1980,NaN,23.51
1981,NaN,23.33
1982,NaN,23.04
1983,NaN,22.76
1984,NaN,23.45
1985,NaN,23.80
1986,NaN,23.32
1987,NaN,22.82
1988,NaN,23.31
1989,NaN,23.50
1990,NaN,23.24
1991,NaN,22.83
1992,NaN,22.82
1993,NaN,22.73
1994,NaN,23.17
1995,NaN,23.20
1996,NaN,23.11
1997,NaN,23.05
1998,NaN,23.04
1999,NaN,23.89
2000,NaN,23.68
2001,NaN,23.20
2002,NaN,23.44
2003,NaN,23.13
2004,NaN,22.76
2005,NaN,22.88
2006,NaN,23.43
2007,NaN,23.17
2008,NaN,23.11
2009,NaN,23.08
2010,NaN,23.14
2011,NaN,23.15
2012,NaN,22.97
2013,NaN,22.76
2014,NaN,23.01
2015,NaN,22.98
2016,NaN,23.09
2017,NaN,23.43
2018,NaN,23.33
2019,NaN,22.63
2020,NaN,23.13
