Variable:,tasmax
,"Korea, Democratic People's Republic of",Chagang-do,Kaesong-si,Kangwon-do,Hamgyong-bukto,Hwanghae-bukto,P'yongan-bukto,P'yongyang-si,Hamgyong-namdo,Hwanghae-namdo,P'yongan-namdo,Yanggang-do
1901,10.55,9.38,14.23,12.91,9.15,13.36,12.37,13.76,9.27,14.47,11.83,5.68
1902,10.75,9.54,14.65,13.25,8.99,13.75,12.64,14.11,9.49,14.94,12.13,5.73
1903,10.84,9.63,14.63,13.27,9.34,13.75,12.65,14.11,9.58,14.88,12.15,5.92
1904,10.65,9.44,14.54,13.15,9.03,13.60,12.50,13.95,9.39,14.76,11.99,5.69
1905,10.73,9.53,14.31,13.12,9.32,13.52,12.52,13.96,9.52,14.61,12.02,5.86
1906,10.23,9.10,13.84,12.56,8.77,13.02,12.09,13.45,8.97,14.15,11.51,5.39
1907,10.48,9.32,14.11,12.84,9.03,13.31,12.31,13.72,9.23,14.41,11.77,5.59
1908,10.19,8.97,13.91,12.62,8.72,13.07,11.99,13.47,8.96,14.17,11.50,5.26
1909,9.92,8.69,13.83,12.36,8.45,12.83,11.72,13.14,8.63,14.12,11.19,4.95
1910,9.55,8.31,13.51,12.03,8.01,12.51,11.36,12.82,8.27,13.76,10.85,4.54
1911,9.80,8.57,13.70,12.29,8.34,12.69,11.52,12.99,8.57,13.89,11.06,4.87
1912,9.69,8.44,13.60,12.18,8.15,12.60,11.49,12.93,8.44,13.86,10.99,4.70
1913,9.78,8.60,13.50,12.12,8.41,12.57,11.50,12.91,8.55,13.81,11.00,4.91
1914,10.89,9.67,14.76,13.31,9.45,13.82,12.67,14.15,9.59,15.03,12.16,5.92
1915,9.43,8.05,13.75,12.15,7.61,12.69,11.30,12.92,8.10,13.97,10.83,4.16
1916,10.08,8.90,13.94,12.47,8.69,12.97,11.82,13.27,8.82,14.17,11.28,5.14
1917,9.69,8.55,13.41,12.08,8.28,12.51,11.46,12.90,8.48,13.59,10.96,4.74
1918,10.09,8.90,13.94,12.56,8.54,13.05,11.91,13.40,8.85,14.22,11.40,5.07
1919,10.51,9.31,14.29,12.87,9.10,13.39,12.25,13.75,9.25,14.61,11.76,5.58
1920,10.81,9.66,14.48,13.12,9.48,13.63,12.57,14.04,9.56,14.80,12.06,5.94
1921,10.30,9.13,13.80,12.50,9.18,12.98,12.02,13.42,9.04,14.12,11.47,5.57
1922,10.26,9.02,14.17,12.76,8.70,13.26,12.09,13.64,8.97,14.46,11.62,5.18
1923,9.92,8.71,13.67,12.29,8.56,12.79,11.66,13.22,8.63,13.94,11.18,5.02
1924,10.28,9.03,14.09,12.72,8.84,13.20,12.03,13.61,9.02,14.38,11.59,5.29
1925,10.24,9.06,13.78,12.55,8.99,13.01,11.98,13.45,8.99,14.11,11.47,5.44
1926,10.19,8.97,13.88,12.57,8.83,13.07,11.97,13.46,8.91,14.22,11.46,5.27
1927,10.34,9.10,14.13,12.76,8.91,13.26,12.13,13.65,9.05,14.44,11.64,5.35
1928,10.07,8.78,14.02,12.60,8.44,13.13,11.91,13.48,8.76,14.32,11.43,5.00
1929,10.45,9.14,14.47,13.03,8.76,13.55,12.30,13.87,9.14,14.75,11.83,5.32
