Variable:,tasmax
,Slovakia,"Banska Bystrica",Bratislava,Kosice,Nitra,Presov,Trencin,Trnava,Zilna
1901,11.98,11.84,12.87,12.26,13.75,11.35,11.90,13.29,10.16
1902,10.99,10.93,12.28,11.06,13.00,10.05,11.06,12.61,9.06
1903,12.45,12.36,13.42,12.62,14.33,11.67,12.45,13.84,10.64
1904,12.12,12.10,13.45,12.01,14.18,11.06,12.30,13.78,10.33
1905,11.95,11.85,13.06,12.09,13.84,11.18,11.95,13.42,10.09
1906,12.11,11.97,13.12,12.29,13.96,11.39,12.11,13.51,10.29
1907,11.55,11.50,12.93,11.47,13.60,10.50,11.71,13.25,9.74
1908,11.32,11.20,12.54,11.40,13.25,10.45,11.44,12.89,9.46
1909,11.39,11.28,12.41,11.58,13.27,10.64,11.40,12.80,9.55
1910,12.34,12.18,13.16,12.68,14.08,11.75,12.26,13.58,10.53
1911,12.56,12.45,13.67,12.57,14.45,11.68,12.76,14.07,10.85
1912,11.17,11.05,12.24,11.29,13.03,10.38,11.24,12.65,9.38
1913,11.80,11.63,12.72,12.00,13.53,11.14,11.89,13.16,10.06
1914,11.56,11.37,12.37,11.79,13.21,10.97,11.62,12.85,9.83
1915,11.75,11.60,12.67,12.03,13.53,11.08,11.74,13.10,9.91
1916,12.57,12.44,13.57,12.74,14.44,11.81,12.62,14.01,10.76
1917,11.72,11.59,12.79,11.89,13.60,10.95,11.74,13.16,9.93
1918,12.37,12.24,13.20,12.54,14.12,11.67,12.42,13.67,10.66
1919,11.26,11.10,12.31,11.47,13.10,10.54,11.28,12.68,9.43
1920,12.29,12.15,13.42,12.35,14.17,11.48,12.40,13.80,10.53
1921,12.61,12.45,13.79,12.62,14.50,11.75,12.76,14.18,10.85
1922,10.92,10.77,12.20,11.02,12.90,10.07,10.95,12.54,9.00
1923,12.17,12.04,13.20,12.50,14.06,11.47,12.04,13.55,10.24
1924,11.10,10.95,12.16,11.33,12.97,10.37,11.05,12.53,9.23
1925,12.04,11.87,12.83,12.38,13.77,11.46,11.99,13.31,10.21
1926,12.52,12.41,13.52,12.76,14.41,11.73,12.48,13.94,10.65
1927,12.07,11.96,13.25,12.27,14.06,11.23,12.04,13.60,10.11
1928,12.16,12.10,13.49,12.09,14.19,11.13,12.34,13.82,10.38
1929,11.38,11.28,12.80,11.32,13.47,10.32,11.55,13.11,9.56
1930,12.70,12.56,13.66,12.96,14.55,11.99,12.64,14.07,10.84
1931,11.54,11.42,12.60,11.74,13.46,10.76,11.48,12.97,9.69
1932,12.09,11.96,13.17,12.15,13.96,11.29,12.17,13.58,10.33
1933,10.90,10.83,12.19,10.85,12.89,9.91,11.06,12.51,9.15
1934,13.62,13.51,14.67,13.69,15.50,12.79,13.71,15.08,11.88
1935,12.08,11.99,13.12,12.16,13.97,11.25,12.10,13.52,10.33
1936,12.12,11.94,13.27,12.29,14.00,11.37,12.11,13.61,10.28
1937,12.27,12.12,13.32,12.43,14.12,11.54,12.26,13.67,10.46
1938,12.18,12.01,13.34,12.29,14.03,11.41,12.25,13.70,10.40
1939,12.35,12.16,13.05,12.75,14.06,11.85,12.21,13.55,10.51
1940,10.00,9.88,11.37,9.97,12.04,9.01,10.19,11.70,8.15
1941,10.66,10.57,12.02,10.66,12.70,9.68,10.76,12.33,8.80
1942,11.25,11.09,12.51,11.34,13.23,10.36,11.33,12.86,9.36
1943,12.67,12.54,13.99,12.69,14.67,11.74,12.79,14.32,10.84
1944,12.09,11.94,12.93,12.39,13.84,11.48,12.01,13.35,10.30
1945,12.32,12.28,13.73,12.23,14.39,11.26,12.44,14.02,10.50
1946,12.78,12.72,13.91,12.97,14.70,11.98,12.68,14.22,10.90
1947,12.65,12.58,13.99,12.68,14.71,11.67,12.65,14.32,10.75
1948,12.65,12.53,13.82,12.76,14.57,11.84,12.68,14.20,10.81
1949,12.98,12.85,14.15,13.07,14.93,12.17,13.04,14.56,11.08
1950,13.03,12.92,14.22,13.13,15.05,12.15,13.03,14.60,11.13
1951,13.25,13.20,14.30,13.36,15.13,12.39,13.35,14.71,11.44
1952,12.16,12.11,13.28,12.29,14.12,11.28,12.19,13.67,10.25
1953,12.77,12.69,14.03,12.72,14.77,11.78,12.97,14.42,11.00
1954,11.37,11.29,12.55,11.39,13.33,10.44,11.50,12.94,9.57
1955,11.75,11.63,12.95,11.85,13.69,10.92,11.80,13.33,9.86
1956,11.14,11.06,12.46,11.18,13.16,10.18,11.20,12.82,9.24
1957,12.75,12.63,13.94,12.85,14.66,11.92,12.79,14.32,10.88
1958,12.32,12.22,13.57,12.38,14.34,11.42,12.37,13.94,10.43
1959,12.50,12.40,13.80,12.44,14.53,11.51,12.67,14.18,10.72
1960,12.20,12.13,13.41,12.29,14.18,11.32,12.23,13.81,10.31
1961,13.12,13.03,14.22,13.26,15.07,12.30,13.12,14.65,11.23
1962,11.62,11.55,12.76,11.77,13.58,10.79,11.60,13.14,9.69
1963,11.82,11.72,12.89,12.07,13.70,11.10,11.75,13.29,9.86
1964,11.75,11.63,13.06,11.73,13.79,10.78,11.91,13.44,9.88
1965,11.03,10.92,12.39,11.02,13.08,10.07,11.14,12.76,9.13
1966,12.59,12.47,13.80,12.69,14.53,11.76,12.62,14.17,10.70
1967,12.74,12.59,13.99,12.74,14.69,11.87,12.87,14.35,10.91
1968,12.45,12.37,13.59,12.56,14.40,11.62,12.48,14.00,10.55
1969,11.73,11.67,12.97,11.68,13.80,10.73,11.85,13.40,9.91
1970,11.44,11.33,12.81,11.41,13.49,10.49,11.55,13.15,9.57
1971,12.49,12.43,13.74,12.40,14.50,11.49,12.70,14.14,10.73
1972,12.32,12.34,13.34,12.38,14.26,11.43,12.36,13.78,10.51
1973,12.24,12.16,13.48,12.20,14.26,11.25,12.39,13.88,10.44
1974,12.43,12.37,13.85,12.24,14.55,11.29,12.69,14.23,10.65
1975,12.90,12.83,14.05,12.87,14.83,11.99,13.05,14.44,11.12
1976,12.01,11.95,13.46,11.82,14.13,10.87,12.25,13.83,10.23
1977,12.53,12.44,13.87,12.47,14.55,11.55,12.70,14.23,10.71
1978,11.23,11.14,12.65,11.09,13.32,10.15,11.47,13.01,9.43
1979,12.30,12.28,13.49,12.24,14.33,11.29,12.45,13.90,10.51
1980,10.76,10.67,12.26,10.52,12.92,9.59,11.01,12.62,8.97
1981,12.38,12.27,13.76,12.19,14.51,11.29,12.63,14.15,10.61
1982,12.83,12.75,13.93,12.77,14.78,11.91,13.02,14.39,11.11
1983,13.56,13.48,14.85,13.43,15.62,12.52,13.84,15.24,11.80
1984,11.92,11.86,13.17,11.87,13.95,10.95,12.06,13.55,10.09
1985,11.42,11.33,12.79,11.31,13.53,10.35,11.63,13.16,9.56
1986,12.30,12.20,13.48,12.38,14.31,11.42,12.38,13.89,10.41
1987,11.63,11.56,12.95,11.55,13.76,10.58,11.78,13.36,9.78
1988,12.21,12.05,13.89,11.94,14.46,11.02,12.51,14.23,10.35
1989,12.88,12.69,14.26,12.74,14.96,11.90,13.16,14.64,11.05
1990,13.43,13.30,14.65,13.43,15.50,12.48,13.59,15.07,11.54
1991,11.86,11.65,13.20,11.82,13.94,10.94,12.04,13.59,10.01
1992,13.19,13.05,14.68,13.04,15.37,12.10,13.42,15.06,11.34
1993,12.50,12.41,13.87,12.38,14.66,11.43,12.66,14.25,10.67
