Variable:,tasmax
,Slovenia,Gorenjska,Goriska,"Jugovzodna Slovenija",Koroska,Notranjsko-kraska,Obalno-kraska,Osrednjeslovenska,Podravska,Pomurska,Savinjska,Spodnjeposavska,Zasavska
1901,12.16,9.87,9.52,12.56,12.05,11.89,15.04,11.98,13.84,14.15,12.36,13.15,12.04
1902,12.12,9.90,9.57,12.54,11.96,11.91,15.06,11.98,13.66,13.87,12.32,13.12,12.02
1903,12.85,10.55,10.16,13.26,12.73,12.59,15.71,12.68,14.56,14.85,13.08,13.85,12.75
1904,13.07,10.78,10.41,13.47,12.95,12.82,15.97,12.90,14.75,14.98,13.31,14.07,12.98
1905,12.53,10.25,9.87,12.93,12.43,12.29,15.41,12.37,14.24,14.51,12.73,13.51,12.41
1906,12.46,10.19,9.81,12.88,12.30,12.24,15.37,12.30,14.12,14.42,12.65,13.44,12.33
1907,12.52,10.24,9.88,12.93,12.35,12.31,15.46,12.35,14.19,14.46,12.70,13.49,12.37
1908,12.10,9.85,9.50,12.53,11.93,11.89,15.05,11.96,13.72,13.97,12.28,13.08,11.96
1909,11.88,9.60,9.21,12.33,11.71,11.69,14.83,11.73,13.55,13.79,12.06,12.86,11.72
1910,12.52,10.23,9.80,12.96,12.37,12.32,15.41,12.36,14.21,14.48,12.71,13.51,12.37
1911,13.17,10.93,10.52,13.61,12.97,13.01,16.08,13.02,14.80,15.08,13.34,14.15,13.01
1912,12.00,9.72,9.31,12.47,11.82,11.80,14.89,11.87,13.62,13.86,12.21,13.01,11.89
1913,12.31,10.06,9.64,12.78,12.12,12.14,15.20,12.18,13.95,14.19,12.50,13.31,12.18
1914,12.04,9.83,9.53,12.47,11.80,11.86,15.05,11.88,13.58,13.83,12.17,13.00,11.86
1915,12.14,9.84,9.48,12.57,11.99,11.93,15.06,11.97,13.83,14.10,12.31,13.10,11.97
1916,13.14,10.83,10.39,13.60,12.99,12.94,16.00,12.99,14.87,15.13,13.35,14.15,13.01
1917,12.22,9.92,9.54,12.64,12.08,11.99,15.13,12.05,13.93,14.24,12.41,13.22,12.08
1918,12.57,10.29,9.83,13.02,12.44,12.38,15.41,12.43,14.27,14.58,12.75,13.56,12.42
1919,11.87,9.59,9.23,12.30,11.68,11.69,14.80,11.70,13.54,13.79,12.03,12.83,11.69
1920,13.28,11.09,10.74,13.71,13.08,13.13,16.26,13.15,14.82,15.03,13.46,14.25,13.15
1921,13.38,11.14,10.78,13.81,13.18,13.18,16.32,13.22,14.99,15.27,13.53,14.34,13.21
1922,12.14,9.89,9.53,12.62,11.93,11.96,15.12,12.00,13.72,13.93,12.33,13.15,12.01
1923,12.85,10.58,10.22,13.31,12.69,12.64,15.80,12.70,14.49,14.70,13.04,13.83,12.71
1924,12.13,9.91,9.61,12.60,11.85,11.97,15.18,12.01,13.63,13.83,12.30,13.12,12.00
1925,12.38,10.12,9.74,12.84,12.17,12.19,15.33,12.24,14.01,14.28,12.56,13.37,12.24
1926,13.18,10.92,10.53,13.63,13.00,12.99,16.11,13.04,14.81,15.01,13.36,14.17,13.03
1927,13.20,10.95,10.58,13.68,12.95,13.04,16.18,13.08,14.76,14.97,13.38,14.22,13.07
1928,13.08,10.85,10.47,13.52,12.92,12.89,15.98,12.94,14.70,14.94,13.26,14.07,12.94
1929,12.53,10.32,9.99,12.97,12.34,12.35,15.50,12.40,14.09,14.34,12.70,13.49,12.39
1930,13.34,11.06,10.66,13.79,13.17,13.16,16.26,13.20,14.97,15.23,13.54,14.32,13.21
1931,12.38,10.10,9.74,12.83,12.15,12.20,15.41,12.23,13.98,14.21,12.56,13.39,12.24
1932,12.89,10.68,10.34,13.32,12.66,12.69,15.83,12.74,14.47,14.73,13.07,13.86,12.76
1933,11.77,9.51,9.17,12.20,11.57,11.58,14.78,11.63,13.36,13.63,11.94,12.76,11.63
1934,13.99,11.69,11.29,14.41,13.87,13.79,16.85,13.84,15.69,16.02,14.20,14.96,13.88
1935,12.63,10.30,9.90,13.07,12.50,12.43,15.57,12.48,14.31,14.62,12.83,13.63,12.51
1936,12.95,10.66,10.24,13.39,12.79,12.74,15.86,12.82,14.59,14.86,13.18,13.94,12.87
1937,12.79,10.51,10.12,13.21,12.63,12.58,15.69,12.64,14.47,14.73,12.99,13.79,12.66
1938,12.77,10.48,10.07,13.19,12.60,12.54,15.69,12.62,14.45,14.76,12.97,13.74,12.64
1939,12.72,10.43,10.00,13.19,12.56,12.54,15.62,12.60,14.35,14.62,12.95,13.75,12.64
1940,11.35,9.13,8.85,11.79,11.16,11.19,14.41,11.22,12.86,13.03,11.55,12.33,11.25
1941,11.81,9.55,9.19,12.25,11.63,11.63,14.78,11.68,13.39,13.58,12.02,12.81,11.71
1942,12.56,10.34,10.06,13.01,12.32,12.39,15.65,12.43,14.04,14.22,12.75,13.55,12.45
1943,13.62,11.35,11.03,14.04,13.46,13.39,16.59,13.46,15.23,15.50,13.81,14.60,13.50
1944,12.29,10.01,9.57,12.72,12.13,12.09,15.15,12.14,13.97,14.26,12.49,13.28,12.17
1945,13.35,11.07,10.67,13.78,13.21,13.15,16.31,13.21,15.03,15.28,13.53,14.33,13.20
1946,13.51,11.25,10.83,13.93,13.37,13.30,16.38,13.37,15.15,15.45,13.70,14.51,13.38
1947,13.61,11.37,11.00,14.04,13.46,13.40,16.49,13.48,15.19,15.47,13.82,14.62,13.51
1948,13.43,11.21,10.83,13.87,13.24,13.22,16.33,13.30,15.02,15.32,13.63,14.40,13.31
1949,13.60,11.31,10.83,14.02,13.49,13.39,16.36,13.47,15.30,15.64,13.82,14.59,13.50
1950,13.85,11.59,11.11,14.33,13.71,13.69,16.64,13.74,15.49,15.78,14.07,14.90,13.75
1951,13.61,11.25,10.91,14.08,13.46,13.50,16.44,13.48,15.29,15.51,13.84,14.65,13.51
1952,12.79,10.40,10.08,13.28,12.60,12.65,15.68,12.66,14.44,14.73,12.98,13.81,12.66
