Variable:,tasmax
,Sweden,"Blekinge Laen","Dalarnas Laen","Gaevleborgs Laen","Gotlands Laen","Hallands Laen","Jaemtlands Laen","Joenkoepings Laen","Kalmar Laen","Kronobergs Laen","Norrbottens Laen","Oerebro Laen","Oestergoetlands Laen","Skaane Laen","Soedermanlands Laen","Stockholms Laen","Uppsala Laen","Vaermlands Laen","Vaesterbottens Laen","Vaesternorrlands Laen","Vaestmanlands Laen","Vaestra Goetalands Laen"
1901,6.47,10.72,7.28,7.09,10.03,10.78,4.96,10.02,10.51,10.38,2.90,9.68,10.35,10.89,10.15,9.59,9.34,9.30,4.47,6.28,9.27,10.30
1902,4.45,9.18,5.37,5.02,8.18,9.30,3.11,8.37,8.78,8.82,0.58,7.71,8.46,9.46,8.06,7.43,7.17,7.44,2.25,4.17,7.17,8.66
1903,6.21,10.43,7.04,6.95,9.79,10.45,4.86,9.67,10.19,10.09,2.58,9.34,9.98,10.63,9.79,9.34,9.14,8.86,4.28,6.19,8.99,9.87
1904,5.40,10.40,6.29,6.01,9.34,10.38,3.78,9.54,10.00,10.00,1.56,8.84,9.65,10.61,9.26,8.68,8.35,8.39,3.04,4.96,8.34,9.66
1905,6.05,10.43,7.06,6.83,9.81,10.42,4.57,9.70,10.20,10.06,2.28,9.48,10.07,10.59,9.94,9.38,9.11,9.04,3.87,5.84,9.08,10.01
1906,6.53,11.16,7.53,7.32,10.35,11.15,5.09,10.39,10.87,10.80,2.62,9.92,10.61,11.32,10.31,9.80,9.55,9.50,4.36,6.40,9.47,10.58
1907,6.05,9.98,6.64,6.54,9.09,10.00,4.73,9.25,9.68,9.65,2.92,8.79,9.43,10.17,9.18,8.67,8.47,8.45,4.31,5.97,8.38,9.44
1908,6.24,10.33,7.01,6.80,9.42,10.43,4.80,9.68,10.04,10.04,2.91,9.22,9.81,10.55,9.51,8.98,8.81,8.94,4.30,6.06,8.76,9.99
1909,5.49,9.60,6.05,5.99,8.88,9.45,3.94,8.75,9.35,9.18,2.37,8.36,9.05,9.74,8.86,8.41,8.18,7.85,3.71,5.33,8.02,8.91
1910,6.69,11.27,7.60,7.54,10.53,11.27,5.39,10.46,10.99,10.91,2.78,9.97,10.67,11.46,10.40,9.98,9.77,9.45,4.57,6.66,9.61,10.59
1911,6.83,11.62,7.74,7.57,10.57,11.60,5.27,10.76,11.23,11.24,3.04,10.20,10.89,11.84,10.55,10.03,9.79,9.72,4.59,6.58,9.70,10.92
1912,5.69,10.26,6.87,6.67,9.39,10.24,4.63,9.46,9.95,9.88,1.47,9.12,9.73,10.46,9.51,9.00,8.79,8.70,3.52,5.74,8.74,9.68
1913,6.74,11.48,7.69,7.50,10.63,11.38,5.28,10.61,11.18,11.09,2.81,10.10,10.84,11.64,10.55,10.05,9.80,9.65,4.61,6.58,9.69,10.74
1914,7.11,11.70,8.21,8.12,10.85,11.56,5.81,10.81,11.39,11.28,3.10,10.48,11.11,11.87,10.91,10.45,10.23,9.99,4.99,7.14,10.14,10.93
1915,4.32,9.69,5.15,4.99,8.54,9.46,2.71,8.55,9.18,9.18,0.37,7.73,8.64,9.88,8.24,7.68,7.34,7.15,1.98,3.94,7.27,8.50
1916,5.97,10.37,6.78,6.51,9.28,10.33,4.52,9.48,9.93,9.99,2.53,8.99,9.61,10.62,9.31,8.82,8.62,8.66,4.02,5.70,8.55,9.67
1917,5.26,10.23,6.08,5.99,9.10,10.09,3.87,9.20,9.77,9.77,1.34,8.45,9.29,10.45,8.96,8.46,8.16,7.96,3.20,5.16,8.06,9.23
1918,6.42,10.63,7.01,6.91,9.70,10.61,4.99,9.74,10.26,10.21,3.17,9.29,9.93,10.84,9.68,9.20,8.99,8.83,4.66,6.32,8.87,9.94
1919,5.56,9.79,6.45,6.46,9.17,9.67,4.29,8.95,9.59,9.38,1.91,8.63,9.28,9.92,9.17,8.75,8.56,8.12,3.61,5.69,8.39,9.08
1920,7.24,11.06,7.67,7.70,10.22,10.93,5.79,10.19,10.75,10.64,4.42,9.82,10.46,11.21,10.28,9.86,9.70,9.31,5.66,7.16,9.50,10.30
1921,6.85,11.68,7.97,7.85,10.81,11.58,5.51,10.81,11.38,11.27,2.73,10.30,11.02,11.82,10.76,10.27,10.02,9.81,4.52,6.87,9.95,10.91
1922,5.57,9.44,6.39,6.31,8.74,9.33,4.45,8.68,9.30,9.09,2.23,8.45,9.06,9.57,8.94,8.44,8.26,7.99,3.66,5.69,8.20,8.88
1923,5.10,9.54,5.54,5.35,8.48,9.52,3.33,8.60,9.08,9.12,2.03,7.96,8.70,9.81,8.38,7.85,7.59,7.54,3.31,4.72,7.55,8.75
1924,5.98,9.78,6.46,6.24,8.86,9.74,4.39,8.91,9.45,9.36,3.20,8.57,9.17,10.01,8.99,8.54,8.34,8.24,4.43,5.74,8.23,9.17
1925,6.48,10.97,6.96,6.78,9.91,11.06,4.81,10.11,10.54,10.59,3.20,9.38,10.16,11.31,9.80,9.25,8.98,8.98,4.68,6.27,8.92,10.27
1926,5.62,10.55,6.35,5.89,9.17,10.73,3.94,9.66,9.96,10.21,2.08,8.77,9.54,10.95,9.00,8.39,8.10,8.52,3.47,5.07,8.14,9.87
1927,5.33,9.97,5.75,5.55,8.87,9.92,3.48,8.96,9.45,9.51,2.21,8.28,9.07,10.23,8.75,8.20,7.90,7.77,3.50,4.81,7.80,9.08
1928,5.43,10.03,5.86,5.58,8.61,10.15,3.68,9.04,9.40,9.61,2.33,8.31,9.02,10.45,8.58,8.00,7.75,7.93,3.57,4.97,7.73,9.24
1929,5.81,9.89,6.38,6.10,8.67,9.88,4.16,8.95,9.37,9.45,2.85,8.53,9.08,10.20,8.83,8.30,8.10,8.29,4.22,5.56,8.07,9.25
1930,7.43,11.36,8.05,7.87,10.40,11.36,5.97,10.51,10.98,10.95,4.26,10.23,10.79,11.58,10.62,10.10,9.92,9.86,5.85,7.36,9.85,10.82
1931,5.37,9.65,5.77,5.56,8.36,9.80,3.75,8.72,9.04,9.28,2.41,8.01,8.65,10.00,8.30,7.79,7.57,7.79,3.66,5.09,7.47,8.98
1932,6.95,11.15,7.58,7.33,9.84,11.34,5.39,10.30,10.56,10.80,3.74,9.71,10.26,11.53,9.91,9.37,9.24,9.57,5.28,6.83,9.19,10.66
1933,6.56,10.81,7.36,7.07,9.26,11.00,5.24,9.94,10.18,10.45,3.13,9.43,9.93,11.20,9.58,9.02,8.90,9.30,4.73,6.52,8.89,10.34
1934,7.97,12.37,8.55,8.43,11.10,12.41,6.32,11.44,11.78,11.97,4.71,10.85,11.48,12.70,11.13,10.65,10.48,10.52,6.16,7.84,10.36,11.65
1935,6.43,11.13,7.15,6.93,9.76,11.18,4.71,10.17,10.53,10.70,2.89,9.61,10.23,11.50,9.88,9.34,9.12,9.27,4.45,6.20,9.04,10.44
1936,6.63,11.02,7.27,7.06,9.94,11.12,4.96,10.17,10.56,10.67,3.35,9.61,10.27,11.30,9.94,9.47,9.25,9.29,4.73,6.35,9.15,10.44
1937,7.02,11.06,7.38,7.40,10.12,10.99,5.31,10.12,10.67,10.65,4.20,9.65,10.36,11.27,10.12,9.68,9.49,9.11,5.45,6.84,9.32,10.22
1938,8.13,12.19,8.91,8.78,10.89,12.28,6.87,11.40,11.72,11.86,4.74,10.95,11.51,12.50,11.15,10.63,10.53,10.66,6.41,8.17,10.46,11.62
1939,6.90,11.63,7.73,7.62,10.45,11.58,5.50,10.69,11.17,11.24,3.13,10.09,10.82,11.85,10.45,9.87,9.67,9.60,4.87,6.80,9.59,10.78
1940,5.23,9.20,5.90,5.60,8.16,9.44,3.74,8.49,8.82,8.91,2.15,8.11,8.63,9.59,8.35,7.78,7.61,7.89,3.32,4.90,7.56,8.93
1941,4.98,9.42,5.83,5.51,8.10,9.63,3.63,8.66,8.95,9.13,1.50,8.02,8.68,9.83,8.25,7.61,7.41,7.72,2.82,4.64,7.46,8.91
1942,4.83,8.93,5.60,5.26,7.61,9.20,3.51,8.14,8.44,8.64,1.60,7.66,8.15,9.43,7.77,7.16,7.05,7.46,2.94,4.59,7.09,8.48
1943,7.51,11.82,8.28,8.18,10.47,11.84,6.08,10.95,11.29,11.43,4.04,10.54,11.08,12.16,10.75,10.23,10.10,10.10,5.71,7.54,10.02,11.12
1944,6.85,11.30,7.50,7.30,10.05,11.34,5.28,10.40,10.82,10.93,3.50,9.85,10.51,11.62,10.11,9.55,9.37,9.46,4.98,6.63,9.29,10.60
1945,6.68,11.48,7.55,7.19,9.94,11.56,5.23,10.61,10.90,11.11,2.96,9.91,10.58,11.75,10.06,9.41,9.20,9.62,4.56,6.36,9.24,10.80
1946,6.69,10.69,7.31,7.06,9.41,10.87,5.31,9.94,10.25,10.41,3.53,9.45,10.02,11.05,9.64,9.10,8.93,9.21,4.98,6.51,8.90,10.24
1947,6.15,10.60,6.90,6.68,9.24,10.72,4.74,9.77,10.14,10.25,2.68,9.16,9.84,10.96,9.41,8.82,8.61,8.77,4.16,6.00,8.60,9.96
1948,7.22,11.54,7.89,7.70,10.16,11.65,5.95,10.70,11.02,11.19,3.81,10.05,10.69,11.87,10.25,9.65,9.51,9.71,5.41,7.19,9.49,10.88
1949,7.76,12.26,8.73,8.45,10.99,12.34,6.36,11.51,11.86,11.93,3.93,11.05,11.59,12.55,11.18,10.61,10.46,10.73,5.76,7.71,10.44,11.77
1950,6.71,11.25,7.38,7.23,10.04,11.26,5.32,10.46,10.87,10.88,3.14,9.84,10.56,11.48,10.11,9.51,9.29,9.32,4.78,6.55,9.24,10.55
1951,6.20,11.30,7.19,7.06,10.09,11.17,4.66,10.30,10.83,10.84,2.14,9.70,10.40,11.49,10.06,9.58,9.32,9.18,3.90,6.04,9.23,10.36
1952,5.36,10.13,6.23,6.03,8.83,10.13,3.95,9.23,9.62,9.71,1.50,8.70,9.33,10.43,8.95,8.40,8.16,8.26,3.22,5.26,8.14,9.42
