Variable:,tasmax
,Chad,Biltine,Guera,Lac,"Logone Occidental",Salamat,"Batha Est","Batha Ouest",Borkou,Ennedi,Tibesti,Baguirmi,Daraba,"Hadjer Lamis","Barl El Gazal",Kanem,"Logone Oriental","Mont De Lam",Kabia,Mayo-Boneye,Mayo-Dala,"Barh Koh","Lac Iro",Mandoul,Assongha,Ouaddai,Sila,"Tandjile Est","Tandjile Ouest"
1901,34.61,34.77,35.47,36.11,33.29,35.02,36.92,36.85,34.54,33.94,31.09,35.41,36.38,35.89,36.68,36.01,33.24,32.34,34.03,34.60,33.74,34.50,34.57,33.85,34.65,35.91,34.69,34.46,33.95
1902,34.61,34.76,35.47,36.11,33.43,35.02,36.92,36.85,34.54,33.90,31.09,35.42,36.38,35.89,36.68,36.01,33.35,32.50,34.16,34.67,33.91,34.50,34.57,33.90,34.65,35.91,34.69,34.52,34.06
1903,34.61,34.75,35.47,36.11,33.43,35.02,36.92,36.85,34.54,33.87,31.09,35.42,36.38,35.89,36.68,36.01,33.35,32.51,34.16,34.67,33.91,34.50,34.57,33.90,34.65,35.91,34.69,34.52,34.06
1904,34.59,34.76,35.46,36.02,33.24,35.02,36.92,36.85,34.54,33.90,31.09,35.29,36.34,35.77,36.67,36.00,33.22,32.30,33.92,34.48,33.66,34.47,34.57,33.83,34.65,35.91,34.69,34.39,33.86
1905,34.68,34.75,35.51,36.38,34.00,35.02,36.92,36.86,34.54,33.89,31.09,35.77,36.54,36.27,36.70,36.06,33.72,33.07,34.81,35.24,34.63,34.59,34.59,34.10,34.65,35.91,34.69,34.92,34.64
1906,34.65,34.76,35.49,36.25,33.74,35.02,36.92,36.86,34.54,33.91,31.09,35.60,36.46,36.09,36.69,36.04,33.54,32.81,34.51,34.97,34.29,34.55,34.58,34.00,34.65,35.91,34.69,34.73,34.36
1907,34.57,34.75,35.45,35.93,33.07,35.02,36.92,36.85,34.54,33.89,31.09,35.18,36.28,35.66,36.66,35.98,33.10,32.18,33.73,34.31,33.46,34.46,34.57,33.77,34.65,35.91,34.69,34.27,33.70
1908,34.67,34.75,35.50,36.34,33.91,35.02,36.92,36.86,34.54,33.88,31.09,35.71,36.51,36.21,36.69,36.05,33.66,32.94,34.71,35.15,34.51,34.58,34.58,34.06,34.65,35.91,34.69,34.86,34.54
1909,34.62,34.76,35.47,36.11,33.44,35.02,36.92,36.85,34.54,33.91,31.09,35.42,36.38,35.89,36.68,36.01,33.35,32.54,34.16,34.67,33.92,34.50,34.57,33.90,34.65,35.91,34.69,34.52,34.06
1910,34.59,34.59,35.52,36.22,33.10,34.97,36.92,36.93,34.54,33.79,31.09,35.35,36.51,35.88,36.85,36.24,33.10,32.12,33.84,34.45,33.54,34.48,34.58,33.77,34.42,35.81,34.44,34.34,33.77
1911,34.57,34.63,35.48,36.03,33.04,34.98,36.92,36.89,34.54,33.82,31.09,35.23,36.37,35.72,36.76,36.11,33.05,32.09,33.76,34.35,33.47,34.46,34.57,33.75,34.49,35.83,34.50,34.29,33.70
