Variable:,tasmax
,Togo,Centrale,Kara,Maritime,Plateaux,Savanes
1901,32.33,32.20,33.09,31.02,31.47,34.02
1902,32.24,32.07,33.03,30.92,31.33,34.05
1903,32.49,32.31,33.32,31.10,31.52,34.43
1904,32.31,32.12,33.14,30.91,31.33,34.27
1905,32.06,31.85,32.76,30.94,31.24,33.76
1906,32.91,32.77,33.71,31.51,32.01,34.70
1907,32.54,32.39,33.40,31.09,31.54,34.52
1908,32.63,32.47,33.57,31.06,31.55,34.77
1909,32.65,32.46,33.48,31.27,31.67,34.61
1910,32.88,32.73,33.71,31.42,31.92,34.78
1911,32.27,32.13,32.97,31.05,31.46,33.94
1912,32.43,32.31,33.32,30.90,31.40,34.41
1913,32.87,32.76,33.88,31.15,31.74,34.98
1914,33.29,33.16,34.28,31.58,32.19,35.39
1915,32.20,32.05,32.99,30.91,31.32,33.92
1916,32.28,32.18,32.93,31.18,31.57,33.63
1917,32.41,32.30,33.06,31.29,31.69,33.83
1918,32.19,32.08,32.82,31.11,31.50,33.54
1919,32.55,32.38,33.36,31.19,31.62,34.43
1920,32.66,32.48,33.50,31.27,31.69,34.60
1921,32.63,32.45,33.46,31.24,31.67,34.54
1922,32.45,32.30,33.22,31.16,31.58,34.15
1923,32.39,32.26,33.22,31.01,31.47,34.17
1924,32.74,32.60,33.58,31.34,31.80,34.56
1925,32.07,31.91,32.94,30.62,31.09,33.99
1926,32.65,32.48,33.41,31.40,31.79,34.35
1927,32.01,31.86,32.73,30.84,31.20,33.63
1928,32.04,31.87,32.83,30.76,31.15,33.79
1929,31.98,31.81,32.70,30.79,31.15,33.64
1930,32.70,32.52,33.38,31.56,31.90,34.32
1931,33.04,32.88,33.87,31.62,32.09,34.91
1932,33.07,32.87,33.81,31.82,32.20,34.86
1933,33.13,32.93,34.00,31.70,32.10,35.17
1934,33.34,33.21,34.23,31.82,32.34,35.29
1935,33.67,33.54,34.65,31.92,32.56,35.85
1936,32.78,32.62,33.78,31.12,31.64,34.96
1937,33.96,33.82,34.90,32.32,32.92,35.99
1938,33.86,33.73,34.94,31.99,32.66,36.14
1939,33.14,33.00,34.06,31.55,32.10,35.20
1940,32.72,32.55,33.53,31.34,31.77,34.60
1941,33.20,33.04,34.03,31.80,32.25,35.09
1942,33.01,32.85,33.86,31.56,32.03,34.94
1943,32.45,32.28,33.27,31.08,31.50,34.35
1944,32.96,32.80,33.78,31.58,32.03,34.83
1945,32.55,32.37,33.34,31.25,31.63,34.38
1946,32.37,32.19,33.16,31.04,31.43,34.24
1947,32.79,32.61,33.71,31.29,31.75,34.84
1948,32.23,32.04,33.06,30.87,31.27,34.15
1949,32.85,32.68,33.76,31.30,31.79,34.92
1950,32.19,32.04,32.98,30.90,31.28,33.98
1951,33.00,32.89,33.85,31.50,32.03,34.90
1952,32.83,32.69,33.76,31.23,31.81,34.81
1953,32.57,32.40,33.52,31.01,31.56,34.58
1954,32.25,32.03,33.20,30.67,31.19,34.37
1955,32.22,32.05,33.17,30.62,31.17,34.30
1956,32.26,32.06,33.21,30.70,31.18,34.41
1957,32.39,32.23,33.33,30.85,31.32,34.46
1958,32.62,32.40,33.65,30.98,31.46,34.92
1959,32.62,32.41,33.60,31.01,31.50,34.82
1960,32.45,32.28,33.40,30.91,31.38,34.54
1961,32.31,32.12,33.13,30.97,31.38,34.19
1962,32.14,31.91,32.90,30.87,31.24,34.05
1963,32.48,32.23,33.19,31.26,31.59,34.39
1964,32.15,31.95,32.98,30.78,31.18,34.10
1965,32.32,32.13,33.24,30.88,31.30,34.33
1966,32.60,32.41,33.44,31.23,31.62,34.52
1967,32.18,32.00,33.00,30.86,31.23,34.04
1968,32.36,32.15,33.20,30.99,31.40,34.31
1969,32.73,32.51,33.59,31.30,31.72,34.76
1970,32.63,32.40,33.59,31.11,31.56,34.79
1971,31.81,31.52,32.64,30.46,30.82,33.94
1972,32.09,31.86,32.92,30.74,31.10,34.10
1973,32.70,32.45,33.55,31.32,31.72,34.76
1974,31.80,31.56,32.63,30.40,30.83,33.84
1975,31.73,31.48,32.58,30.31,30.74,33.82
1976,31.57,31.36,32.44,30.13,30.57,33.60
1977,32.35,32.19,33.19,30.96,31.40,34.22
1978,31.94,31.77,32.76,30.54,30.99,33.87
1979,32.15,31.96,32.98,30.76,31.20,34.09
1980,32.10,31.88,32.90,30.66,31.12,34.16
1981,32.98,32.89,33.84,31.47,31.98,34.86
1982,32.62,32.52,33.46,31.20,31.68,34.41
1983,33.16,33.09,34.03,31.72,32.20,34.94
1984,32.98,32.88,33.74,31.66,32.11,34.69
1985,32.80,32.70,33.62,31.40,31.84,34.60
1986,32.68,32.54,33.61,31.19,31.65,34.64
1987,32.94,32.70,33.85,31.42,31.88,35.13
1988,32.24,32.00,33.08,30.89,31.27,34.24
1989,32.17,31.96,32.99,30.78,31.20,34.18
1990,32.53,32.27,33.47,31.02,31.43,34.80
1991,32.05,31.82,32.94,30.63,31.03,34.13
1992,32.12,31.92,32.88,30.87,31.24,33.92
1993,32.47,32.20,33.28,31.17,31.51,34.52
1994,32.06,31.85,32.84,30.78,31.15,33.93
1995,32.59,32.32,33.37,31.29,31.66,34.58
1996,32.53,32.28,33.44,31.02,31.43,34.80
1997,32.49,32.25,33.34,31.10,31.48,34.56
1998,33.04,32.83,33.82,31.75,32.12,34.92
1999,32.48,32.25,33.29,31.13,31.51,34.50
2000,32.90,32.68,33.70,31.61,31.98,34.81
2001,32.99,32.81,33.87,31.51,31.96,35.04
2002,32.92,32.71,33.78,31.50,31.92,34.94
2003,32.97,32.76,33.83,31.56,31.98,35.01
2004,32.62,32.39,33.49,31.17,31.60,34.73
2005,32.95,32.73,33.82,31.53,31.94,35.00
2006,32.97,32.77,33.86,31.57,31.95,35.00
2007,32.96,32.76,33.78,31.60,31.99,34.93
2008,32.71,32.54,33.53,31.35,31.77,34.56
2009,32.93,32.70,33.80,31.52,31.90,35.01
2010,33.25,33.06,34.06,31.92,32.31,35.13
2011,32.98,32.78,33.83,31.56,31.99,35.00
2012,32.67,32.47,33.47,31.34,31.73,34.61
2013,32.94,32.77,33.79,31.50,31.96,34.93
2014,32.96,32.81,33.79,31.57,31.99,34.89
2015,33.17,33.03,33.95,31.85,32.27,34.94
2016,33.29,33.11,34.04,32.02,32.39,35.08
2017,33.22,33.05,33.98,31.92,32.33,35.02
2018,33.04,32.84,33.78,31.81,32.16,34.86
2019,33.00,32.82,33.79,31.69,32.07,34.87
2020,33.23,33.04,33.98,31.95,32.33,35.07
