Variable:,tasmax
,Tajikistan,"Badakhshoni Kuni",Khatlon,Sogd,"Tadzhikistan Territories"
1901,9.18,2.49,21.39,13.23,10.44
1902,9.39,2.74,21.53,13.44,10.60
1903,7.96,1.39,20.08,11.94,9.12
1904,8.89,2.39,20.82,12.81,10.08
1905,8.31,1.81,20.29,12.19,9.47
1906,9.10,2.65,21.01,12.97,10.25
1907,8.14,1.69,20.12,11.99,9.27
1908,8.87,2.36,20.89,12.79,10.03
1909,9.73,3.01,21.83,13.85,11.05
1910,8.97,2.38,21.02,12.97,10.17
1911,8.89,2.42,20.74,12.78,10.08
1912,9.69,3.14,21.54,13.72,10.97
1913,8.82,2.34,20.80,12.66,9.99
1914,9.83,3.37,21.82,13.65,10.99
1915,10.53,3.95,22.66,14.44,11.75
1916,9.19,2.91,20.95,12.86,10.27
1917,9.99,3.43,21.97,13.96,11.23
1918,8.72,2.39,20.60,12.41,9.81
1919,9.10,2.76,20.90,12.86,10.20
1920,7.16,1.02,19.04,10.59,8.06
1921,8.45,2.26,20.25,12.02,9.40
1922,9.67,3.24,21.52,13.56,10.80
1923,8.53,2.31,20.26,12.17,9.54
1924,8.94,2.64,20.70,12.69,9.99
1925,9.78,3.29,21.63,13.75,10.95
1926,9.28,2.81,21.16,13.21,10.44
1927,9.14,2.71,20.99,13.00,10.31
1928,8.00,1.78,19.89,11.61,8.94
1929,7.99,1.64,19.91,11.74,9.02
1930,8.01,1.66,19.97,11.73,9.06
1931,7.82,1.60,19.69,11.42,8.74
1932,8.35,2.13,20.29,11.90,9.26
1933,8.71,2.43,20.62,12.32,9.70
1934,7.47,1.31,19.49,10.92,8.30
1935,7.93,1.51,19.96,11.73,8.97
1936,9.23,2.71,21.43,13.10,10.33
1937,8.18,1.76,20.22,11.99,9.23
1938,9.07,2.59,21.08,12.97,10.18
1939,9.33,2.84,21.30,13.27,10.47
1940,9.91,3.38,21.94,13.85,11.07
1941,10.50,4.01,22.50,14.44,11.61
1942,9.14,2.67,21.19,13.01,10.24
1943,8.47,2.16,20.38,12.16,9.48
1944,9.64,3.05,21.79,13.60,10.83
1945,8.45,2.04,20.47,12.23,9.49
1946,9.75,3.38,21.76,13.43,10.81
1947,10.13,3.64,22.21,13.96,11.27
1948,9.08,2.56,21.12,13.01,10.22
1949,7.78,1.49,19.73,11.40,8.76
1950,8.18,1.77,20.21,11.95,9.26
1951,8.52,2.22,20.47,12.18,9.51
1952,8.88,2.47,20.90,12.65,9.96
1953,8.64,2.26,20.65,12.39,9.69
1954,7.93,1.38,20.09,11.77,9.11
1955,9.78,3.02,22.03,13.90,11.10
1956,9.43,2.93,21.48,13.24,10.63
1957,7.39,1.02,19.24,11.21,8.46
1958,9.04,2.65,21.01,12.81,10.08
1959,8.70,2.34,20.66,12.42,9.78
1960,8.46,2.14,20.37,12.14,9.47
1961,9.66,3.23,21.59,13.53,10.77
1962,8.96,2.51,20.87,12.86,10.06
1963,9.83,3.33,21.86,13.70,10.96
1964,8.02,1.72,19.84,11.74,9.06
1965,8.99,2.57,20.82,12.91,10.07
1966,9.38,2.77,21.43,13.42,10.59
1967,8.37,1.92,20.23,12.30,9.49
1968,8.73,2.41,20.54,12.49,9.77
1969,7.45,1.37,19.23,10.90,8.31
1970,9.79,3.33,21.86,13.57,10.91
1971,10.12,3.62,22.16,13.97,11.30
1972,7.38,1.29,19.12,10.82,8.30
1973,9.43,3.21,21.18,13.07,10.43
1974,8.30,1.96,20.22,12.01,9.35
1975,8.63,2.13,20.49,12.64,9.79
