Variable:,tasmax
,Tokelau,"Administrative unit not available"
1901,30.63,30.82
1902,30.68,30.84
1903,30.49,30.64
1904,30.24,30.46
1905,30.31,30.49
1906,30.61,30.80
1907,30.26,30.48
1908,30.39,30.56
1909,30.08,30.30
1910,30.23,30.41
1911,30.83,30.93
1912,31.13,31.23
1913,30.89,31.05
1914,31.10,31.23
1915,30.60,30.77
1916,30.34,30.54
1917,30.23,30.44
1918,30.44,30.60
1919,31.13,31.24
1920,31.15,31.23
1921,30.78,30.90
1922,30.82,30.98
1923,30.71,30.83
1924,30.93,31.03
1925,30.77,30.90
1926,31.05,31.20
1927,30.99,31.16
1928,30.94,31.07
1929,30.86,31.04
1930,30.88,31.07
1931,30.80,30.93
1932,30.91,31.04
1933,30.68,30.90
1934,30.73,30.95
1935,30.83,31.03
1936,30.84,31.06
1937,30.95,31.20
1938,30.76,31.00
1939,30.63,30.82
1940,31.08,31.24
1941,31.23,31.42
1942,30.93,31.13
1943,30.84,31.05
1944,30.80,30.96
1945,30.78,30.98
1946,31.08,31.18
1947,31.30,31.38
1948,31.08,31.19
1949,31.22,31.35
1950,31.00,31.14
1951,31.50,31.65
1952,31.43,31.51
1953,31.28,31.36
1954,31.02,31.12
1955,30.98,31.08
1956,30.91,31.04
1957,31.08,31.16
1958,31.67,31.78
1959,31.60,31.70
1960,31.46,31.64
1961,31.13,31.23
1962,31.10,31.25
1963,31.29,31.42
1964,31.07,31.19
1965,30.84,31.00
1966,31.34,31.47
1967,30.87,30.97
1968,31.36,31.49
1969,31.43,31.58
1970,31.07,31.19
1971,30.56,30.68
1972,30.86,30.97
1973,31.01,31.14
1974,30.66,30.77
1975,30.78,30.92
1976,30.83,31.00
1977,31.08,31.21
1978,30.98,31.09
1979,31.33,31.43
1980,31.18,31.28
1981,31.03,31.16
1982,31.25,31.34
1983,31.24,31.32
1984,31.04,31.19
1985,31.18,31.31
1986,31.15,31.30
1987,30.96,31.07
1988,30.98,31.07
1989,30.81,30.88
1990,31.18,31.28
1991,31.31,31.43
1992,31.26,31.41
1993,31.18,31.32
1994,31.31,31.45
1995,31.58,31.67
1996,31.69,31.71
1997,31.55,31.62
1998,31.59,31.66
1999,31.58,31.59
2000,31.73,31.74
2001,32.12,32.07
2002,32.11,32.10
2003,31.66,31.73
2004,31.60,31.70
2005,31.77,31.88
2006,31.57,31.67
2007,31.84,31.92
2008,31.64,31.70
2009,31.63,31.73
2010,31.69,31.80
2011,31.41,31.49
2012,31.42,31.54
2013,31.62,31.72
2014,31.50,31.60
2015,31.36,31.52
2016,31.77,31.88
2017,31.66,31.76
2018,31.58,31.66
2019,31.73,31.83
2020,31.73,31.80
