Variable:,tasmax
,Turkmenistan,Chardzhou,"Administrative unit not available",Mary,Tashauz,Balkan,Ahal
1901,22.18,22.88,20.50,23.70,20.35,21.12,23.12
1902,22.16,23.16,20.05,23.94,20.33,20.76,23.03
1903,21.19,21.74,19.96,22.59,19.36,20.40,21.98
1904,20.94,21.81,19.36,22.54,19.12,19.82,21.67
1905,20.96,21.83,19.47,22.69,18.98,19.85,21.67
1906,21.28,22.28,19.74,23.03,19.27,20.16,21.91
1907,20.53,21.44,18.80,22.17,18.68,19.37,21.28
1908,20.70,21.85,18.70,22.55,18.73,19.32,21.43
1909,21.94,23.09,19.79,23.73,20.10,20.51,22.75
1910,21.60,22.31,19.98,23.02,19.88,20.62,22.43
1911,20.12,21.63,17.64,22.25,18.12,18.37,20.81
1912,21.70,22.82,19.78,23.62,19.58,20.34,22.48
1913,21.09,21.98,19.61,22.72,19.25,19.99,21.77
1914,21.97,23.12,20.02,23.88,20.10,20.54,22.66
1915,22.92,24.12,20.60,25.04,20.81,21.35,23.75
1916,20.97,21.97,19.44,22.73,18.90,19.81,21.66
1917,22.21,23.44,20.37,24.20,20.07,20.75,22.94
1918,20.70,21.65,19.27,22.48,18.66,19.62,21.27
1919,21.20,22.00,19.70,22.84,19.11,20.20,21.99
1920,19.85,20.48,18.71,21.22,18.17,19.09,20.39
1921,20.91,21.77,19.23,22.48,19.23,19.77,21.64
1922,21.96,22.96,20.18,23.70,20.04,20.72,22.69
1923,21.03,21.81,19.78,22.60,19.11,20.04,21.71
1924,21.19,22.12,19.45,22.96,19.27,19.95,21.97
1925,22.38,23.37,20.47,24.26,20.41,21.04,23.21
1926,21.45,22.56,19.58,23.27,19.50,20.15,22.14
1927,21.30,22.45,19.28,23.30,19.32,19.79,22.05
1928,19.77,21.01,17.75,21.82,17.83,18.17,20.49
1929,19.85,21.00,18.08,21.80,17.91,18.46,20.46
1930,20.15,21.11,18.78,21.86,18.36,18.95,20.72
1931,19.50,20.63,17.93,21.43,17.48,18.13,20.10
1932,20.34,21.32,18.76,22.11,18.60,19.01,21.01
