Variable:,tasmax
,Tunisia,Ariana,"Ben Arous",Bizerte,Beja,Gabes,Gafsa,Jendouba,Kairouan,Kasserine,Kebili,"Le Kef",Mahdia,Manouba,Monastir,Medenine,Nabeul,Sfax,"Sidi Bouz",Siliana,Sousse,Tataouine,Tozeur,Tunis,Zaghouan
1901,25.22,23.10,23.37,23.19,23.19,24.76,24.97,23.06,22.94,22.20,26.93,22.16,24.28,23.31,24.53,25.16,22.88,24.28,23.71,22.58,24.56,27.38,27.13,23.34,23.66
1902,25.24,23.09,23.36,23.20,23.18,24.79,24.99,23.11,22.93,22.24,26.95,22.20,24.26,23.29,24.50,25.20,22.89,24.26,23.72,22.60,24.54,27.43,27.14,23.33,23.64
1903,24.56,22.38,22.65,22.47,22.45,24.08,24.22,22.32,22.20,21.45,26.28,21.40,23.57,22.58,23.80,24.58,22.16,23.57,22.97,21.83,23.81,26.87,26.44,22.62,22.90
1904,24.91,22.78,23.04,22.90,22.88,24.41,24.60,22.72,22.59,21.83,26.63,21.80,23.94,22.99,24.20,24.90,22.56,23.93,23.34,22.24,24.21,27.16,26.80,23.01,23.31
1905,24.79,22.66,22.93,22.76,22.73,24.32,24.52,22.65,22.48,21.76,26.50,21.73,23.83,22.85,24.06,24.73,22.45,23.82,23.25,22.14,24.08,27.00,26.69,22.90,23.18
1906,24.76,22.60,22.87,22.73,22.71,24.29,24.50,22.58,22.47,21.76,26.46,21.73,23.78,22.81,24.02,24.69,22.39,23.78,23.25,22.13,24.06,26.97,26.65,22.84,23.16
1907,24.62,22.51,22.77,22.63,22.59,24.14,24.30,22.45,22.32,21.57,26.30,21.53,23.67,22.71,23.91,24.59,22.29,23.65,23.08,21.97,23.93,26.86,26.47,22.74,23.04
1908,24.99,22.90,23.17,23.04,23.03,24.54,24.76,22.89,22.74,22.01,26.71,21.98,24.05,23.13,24.28,24.91,22.67,24.05,23.50,22.41,24.34,27.12,26.91,23.14,23.45
1909,24.69,22.51,22.78,22.64,22.63,24.21,24.42,22.52,22.38,21.70,26.39,21.66,23.71,22.72,23.91,24.65,22.26,23.72,23.17,22.05,23.93,26.91,26.58,22.75,23.05
1910,24.44,22.19,22.45,22.30,22.28,23.98,24.10,22.18,22.05,21.33,26.18,21.28,23.40,22.39,23.62,24.47,21.98,23.42,22.84,21.68,23.65,26.79,26.29,22.42,22.73
1911,24.88,22.54,22.81,22.64,22.63,24.41,24.47,22.54,22.41,21.67,26.59,21.64,23.80,22.75,24.01,25.01,22.35,23.83,23.22,22.04,24.03,27.36,26.62,22.78,23.10
1912,24.90,22.64,22.91,22.76,22.74,24.43,24.55,22.61,22.50,21.78,26.62,21.73,23.87,22.85,24.08,24.95,22.41,23.89,23.30,22.15,24.09,27.28,26.73,22.88,23.18
1913,25.31,23.12,23.40,23.22,23.21,24.88,25.01,23.13,22.98,22.28,27.01,22.22,24.32,23.32,24.55,25.32,22.90,24.34,23.78,22.64,24.59,27.55,27.14,23.37,23.67
1914,24.67,22.40,22.66,22.50,22.49,24.20,24.30,22.41,22.22,21.52,26.39,21.49,23.59,22.60,23.81,24.72,22.17,23.61,23.04,21.90,23.83,27.10,26.47,22.63,22.92
1915,24.68,22.43,22.70,22.55,22.51,24.20,24.27,22.38,22.26,21.48,26.36,21.45,23.64,22.64,23.88,24.80,22.24,23.67,23.04,21.90,23.88,27.13,26.41,22.67,22.96
1916,25.34,23.27,23.55,23.31,23.30,24.89,24.96,23.13,23.09,22.23,26.96,22.21,24.46,23.44,24.68,25.41,23.05,24.45,23.82,22.71,24.71,27.60,27.06,23.52,23.79
1917,24.75,22.56,22.84,22.62,22.59,24.30,24.30,22.41,22.40,21.53,26.39,21.50,23.80,22.73,24.03,24.90,22.38,23.80,23.14,21.99,24.02,27.19,26.41,22.81,23.09
1918,24.68,22.55,22.82,22.65,22.64,24.21,24.28,22.47,22.37,21.53,26.32,21.52,23.73,22.76,23.98,24.72,22.34,23.73,23.10,22.04,23.99,27.01,26.40,22.79,23.09
1919,24.49,22.18,22.46,22.24,22.24,24.05,24.05,22.07,22.05,21.25,26.19,21.20,23.45,22.39,23.67,24.64,21.99,23.48,22.84,21.68,23.67,27.00,26.17,22.43,22.74
1920,25.29,23.17,23.44,23.27,23.23,24.83,24.92,23.08,22.97,22.19,26.93,22.17,24.34,23.36,24.58,25.34,22.96,24.34,23.74,22.63,24.61,27.58,26.97,23.41,23.70
1921,24.56,22.31,22.56,22.46,22.41,24.07,24.11,22.28,22.14,21.36,26.23,21.34,23.50,22.52,23.73,24.68,22.12,23.52,22.90,21.77,23.76,27.02,26.26,22.53,22.85
1922,25.12,22.89,23.16,22.94,22.91,24.67,24.69,22.74,22.69,21.89,26.79,21.84,24.08,23.04,24.33,25.29,22.69,24.12,23.48,22.30,24.33,27.59,26.80,23.13,23.40
1923,24.60,22.44,22.71,22.51,22.49,24.11,24.15,22.31,22.23,21.40,26.21,21.39,23.62,22.63,23.88,24.72,22.25,23.62,22.97,21.85,23.86,27.03,26.26,22.68,22.94
1924,25.23,22.95,23.22,23.02,23.01,24.76,24.80,22.85,22.79,22.01,26.91,21.95,24.20,23.14,24.41,25.39,22.75,24.21,23.59,22.41,24.41,27.69,26.95,23.19,23.49
1925,24.80,22.67,22.94,22.73,22.69,24.34,24.38,22.51,22.47,21.63,26.41,21.59,23.87,22.84,24.12,24.94,22.50,23.86,23.22,22.06,24.12,27.19,26.44,22.91,23.18
1926,25.49,23.38,23.66,23.50,23.49,25.03,25.16,23.35,23.19,22.43,27.15,22.41,24.53,23.60,24.76,25.49,23.13,24.53,23.96,22.87,24.81,27.72,27.27,23.63,23.92
1927,25.37,23.20,23.47,23.30,23.29,24.91,24.95,23.13,23.05,22.20,27.00,22.20,24.43,23.41,24.67,25.49,23.02,24.41,23.78,22.69,24.68,27.73,27.05,23.44,23.77
