Variable:,tasmax
,Ukraine,Cherkas'ka,Chernihivs'ka,Chernivets'ka,Dnipropetrovs'ka,Donets'ka,Ivano-frankivs'ka,Kharkivs'ka,Khersons'ka,Khmel'nyts'ka,Kirovohrads'ka,Krym,Kyyivs'ka,L'vivs'ka,Luhans'ka,Mykolayivs'ka,Odes'ka,Poltavs'ka,Rivnens'ka,Sums'ka,Ternopil's'ka,Vinnyts'ka,Volyns'ka,Zakarpats'ka,Zaporiz'ka,Zhytomyrs'ka
1901,13.24,13.12,12.19,13.16,14.07,13.88,11.15,12.87,14.72,14.03,13.42,15.89,12.72,11.80,13.19,13.61,14.49,13.02,12.32,12.00,12.65,13.17,12.12,11.38,14.77,12.37
1902,11.76,11.75,10.40,12.06,12.55,12.24,10.02,11.31,13.22,12.68,12.03,14.40,11.15,10.55,11.58,12.23,13.31,11.54,10.69,10.29,11.37,11.85,10.60,10.25,13.16,10.75
1903,13.51,13.56,12.60,13.78,14.17,13.58,11.74,12.92,14.77,14.60,13.75,15.72,13.21,12.28,12.93,13.85,14.88,13.36,12.74,12.35,13.24,13.68,12.56,11.94,14.65,12.88
1904,12.02,11.99,10.70,12.63,12.66,12.19,10.80,11.09,13.48,13.17,12.24,14.66,11.50,11.29,11.29,12.42,13.54,11.64,11.16,10.30,11.97,12.21,11.08,11.17,13.36,11.18
1905,12.83,12.78,11.56,13.05,13.59,13.24,11.08,12.26,14.32,13.79,13.05,15.44,12.27,11.68,12.51,13.26,14.25,12.54,11.93,11.34,12.49,12.87,11.82,11.32,14.27,11.96
1906,13.36,13.36,12.24,13.43,14.10,13.73,11.40,12.78,14.82,14.34,13.60,15.88,12.91,12.07,13.04,13.77,14.72,13.14,12.50,12.00,12.97,13.44,12.34,11.58,14.77,12.58
1907,11.50,11.49,10.06,12.07,12.12,11.63,10.23,10.60,12.95,12.63,11.75,14.20,10.93,10.77,10.77,11.94,13.06,11.10,10.75,9.70,11.41,11.73,10.68,10.61,12.79,10.69
1908,11.52,11.46,10.15,12.12,12.08,11.69,10.26,10.49,12.94,12.73,11.73,14.26,10.99,10.82,10.71,11.93,13.18,11.00,10.88,9.58,11.48,11.79,10.85,10.61,12.84,10.83
1909,12.47,12.34,10.94,12.69,13.40,13.26,10.69,12.04,14.16,13.23,12.74,15.56,11.72,11.17,12.42,13.00,14.03,12.16,11.14,10.83,11.94,12.42,11.05,10.97,14.24,11.27
1910,13.30,13.28,12.27,13.70,13.83,13.37,11.82,12.43,14.56,14.51,13.45,15.69,12.94,12.46,12.61,13.59,14.63,12.95,12.78,11.84,13.25,13.48,12.69,12.09,14.43,12.73
1911,11.87,11.76,10.68,12.90,11.98,11.39,11.35,10.50,12.86,13.48,11.85,14.02,11.53,12.01,10.65,12.03,13.34,11.23,11.92,10.10,12.45,12.31,11.98,11.75,12.51,11.58
1912,11.51,11.36,10.15,12.02,12.06,11.73,10.25,10.61,12.90,12.61,11.60,14.35,10.90,10.84,10.89,11.84,13.03,11.06,10.88,9.86,11.47,11.67,10.88,10.57,12.78,10.70
1913,13.10,13.19,12.34,13.17,13.74,13.17,11.24,12.46,14.28,14.15,13.31,15.36,12.82,11.89,12.51,13.37,14.36,13.01,12.59,12.02,12.82,13.21,12.41,11.37,14.15,12.53
1914,12.56,12.47,11.72,12.58,13.22,12.79,10.78,11.96,13.71,13.54,12.67,14.88,12.15,11.53,12.11,12.75,13.70,12.36,12.13,11.41,12.28,12.54,12.00,11.01,13.72,11.95
1915,12.73,12.64,11.39,13.12,13.51,13.13,11.20,12.03,14.28,13.67,12.95,15.53,12.15,11.71,12.21,13.17,14.23,12.43,11.83,11.13,12.46,12.81,11.76,11.46,14.18,11.78
1916,12.63,12.57,11.30,13.44,13.05,12.48,11.64,11.42,14.00,14.06,12.79,15.22,12.14,12.21,11.55,13.01,14.34,12.07,12.18,10.81,12.89,13.03,12.14,12.00,13.63,11.97
1917,12.36,12.26,10.96,12.91,13.03,12.62,11.00,11.63,13.83,13.50,12.54,15.07,11.73,11.48,11.79,12.75,14.05,11.95,11.53,10.68,12.26,12.59,11.49,11.26,13.60,11.48
1918,13.11,13.08,11.93,13.39,13.80,13.25,11.56,12.29,14.49,14.22,13.30,15.59,12.72,12.23,12.39,13.46,14.53,12.77,12.53,11.52,13.00,13.28,12.48,11.69,14.33,12.48
1919,12.11,11.94,10.53,12.44,12.96,12.59,10.54,11.16,13.87,13.11,12.36,15.29,11.39,11.10,11.40,12.68,13.90,11.54,11.25,10.15,11.85,12.22,11.25,10.82,13.78,11.16
1920,12.39,12.39,11.59,12.90,12.75,12.13,11.18,11.44,13.25,13.72,12.47,14.33,12.18,11.91,11.45,12.44,13.63,12.05,12.21,11.15,12.58,12.66,12.25,11.49,13.13,12.01
1921,12.82,12.88,12.04,13.27,13.14,12.55,11.50,11.89,13.61,14.19,12.92,14.64,12.66,12.27,11.91,12.87,14.09,12.54,12.72,11.61,12.97,13.13,12.68,11.73,13.53,12.52
1922,12.14,12.05,10.98,12.09,13.19,12.92,10.08,11.72,13.85,12.74,12.43,15.21,11.54,10.64,12.00,12.63,13.58,11.92,10.86,10.74,11.45,11.96,10.69,10.39,13.90,10.96
1923,13.09,12.98,11.38,13.58,14.11,13.71,11.58,12.46,15.00,13.88,13.42,16.25,12.30,11.93,12.71,13.78,14.91,12.67,11.68,11.18,12.64,13.13,11.50,11.99,14.86,11.81
1924,12.02,11.87,10.76,12.40,12.85,12.53,10.44,11.44,13.50,12.92,12.19,14.76,11.44,10.91,11.70,12.41,13.54,11.65,11.01,10.50,11.67,12.11,10.85,10.76,13.47,11.08
1925,13.25,13.29,12.32,13.58,13.87,13.34,11.60,12.54,14.47,14.32,13.45,15.54,12.98,12.15,12.68,13.55,14.67,13.02,12.54,11.97,13.05,13.43,12.37,11.83,14.34,12.58
1926,12.59,12.51,11.22,13.43,13.16,12.58,11.67,11.57,13.89,13.80,12.75,15.06,12.10,12.15,11.68,12.94,14.26,12.07,11.91,10.81,12.75,12.88,11.83,12.12,13.70,11.83
1927,12.44,12.42,10.93,13.25,13.13,12.53,11.36,11.39,14.02,13.58,12.74,15.23,11.87,11.70,11.51,13.02,14.36,11.96,11.40,10.57,12.39,12.80,11.25,11.76,13.72,11.50
1928,11.59,11.42,10.11,12.46,12.12,11.59,10.82,10.40,13.03,12.87,11.72,14.31,10.99,11.31,10.56,11.99,13.29,10.93,11.01,9.66,11.81,11.89,10.97,11.30,12.76,10.87
1929,11.56,11.42,10.24,11.97,12.23,11.74,10.10,10.60,13.06,12.61,11.71,14.41,11.01,10.71,10.73,12.02,13.25,11.07,10.87,9.92,11.37,11.71,10.74,10.53,12.89,10.81
1930,13.20,13.11,11.84,13.82,13.86,13.38,11.93,12.37,14.60,14.33,13.38,15.75,12.68,12.43,12.53,13.60,14.78,12.78,12.43,11.58,13.13,13.42,12.31,12.29,14.43,12.39
1931,11.87,11.71,10.40,12.48,12.52,12.16,10.72,10.96,13.26,13.03,12.01,14.63,11.29,11.25,11.11,12.21,13.49,11.32,11.15,10.08,11.89,12.05,11.07,11.06,13.23,11.05
