Variable:,tasmax
,Uruguay,Artigas,Canelones,"Cerro Largo",Colonia,Durazno,Flores,Florida,Lavalleja,Maldonado,Montevideo,Paysandu,"Rio Negro",Rivera,Rocha,Salto,"San Jose",Soriano,Tacuarembo,"Treinta Y Tres"
1901,22.70,24.63,21.18,22.80,21.80,22.57,22.19,21.71,21.38,20.47,21.26,23.63,23.20,23.59,21.50,24.00,21.57,22.58,23.26,22.32
1902,22.73,24.71,21.12,23.01,21.67,22.60,22.12,21.68,21.41,20.43,21.16,23.61,23.13,23.78,21.58,24.04,21.48,22.46,23.37,22.49
1903,22.33,24.22,20.79,22.65,21.24,22.18,21.69,21.32,21.10,20.17,20.84,23.12,22.66,23.36,21.34,23.55,21.11,22.01,22.93,22.16
1904,22.22,24.21,20.56,22.44,21.16,22.06,21.62,21.14,20.87,19.91,20.60,23.15,22.68,23.22,21.10,23.56,20.95,22.00,22.83,21.95
1905,22.03,24.01,20.39,22.34,20.95,21.87,21.40,20.95,20.69,19.73,20.44,22.90,22.43,23.10,20.93,23.32,20.75,21.76,22.65,21.82
1906,22.82,24.83,21.16,22.95,21.83,22.70,22.28,21.76,21.42,20.42,21.21,23.81,23.35,23.80,21.52,24.21,21.59,22.67,23.45,22.43
1907,22.02,23.98,20.39,22.28,20.97,21.87,21.41,20.96,20.71,19.75,20.44,22.90,22.44,23.04,20.93,23.31,20.76,21.78,22.63,21.78
1908,22.47,24.33,20.95,22.63,21.50,22.35,21.94,21.48,21.21,20.27,21.01,23.36,22.93,23.36,21.38,23.73,21.31,22.28,23.04,22.17
1909,22.27,24.22,20.72,22.45,21.28,22.14,21.72,21.26,20.98,20.05,20.78,23.15,22.73,23.21,21.16,23.54,21.09,22.06,22.86,21.97
1910,22.42,24.30,20.85,22.66,21.37,22.31,21.85,21.43,21.14,20.18,20.88,23.27,22.83,23.42,21.31,23.67,21.21,22.16,23.04,22.18
1911,21.81,23.85,20.13,22.04,20.79,21.66,21.23,20.73,20.43,19.46,20.17,22.75,22.28,22.84,20.64,23.16,20.55,21.61,22.43,21.52
1912,22.48,24.52,20.80,22.68,21.47,22.34,21.91,21.40,21.09,20.11,20.85,23.45,22.99,23.48,21.28,23.84,21.22,22.31,23.10,22.17
1913,23.26,24.97,21.86,23.32,22.52,23.16,22.83,22.35,22.04,21.16,21.94,24.14,23.80,24.00,22.17,24.42,22.24,23.26,23.75,22.91
1914,22.69,24.59,21.04,23.00,21.63,22.53,22.06,21.62,21.39,20.43,21.08,23.54,23.09,23.72,21.65,23.95,21.40,22.44,23.30,22.50
1915,22.45,24.28,20.89,22.71,21.48,22.31,21.87,21.43,21.18,20.23,20.93,23.28,22.87,23.42,21.40,23.65,21.25,22.26,23.03,22.24
1916,22.57,24.35,21.10,22.79,21.66,22.42,22.01,21.60,21.38,20.49,21.14,23.38,22.97,23.43,21.62,23.74,21.43,22.40,23.08,22.36
1917,22.42,24.23,20.98,22.57,21.51,22.30,21.90,21.49,21.23,20.34,21.04,23.26,22.87,23.25,21.43,23.60,21.31,22.27,22.94,22.15
1918,22.36,24.16,20.87,22.60,21.37,22.24,21.78,21.40,21.17,20.25,20.92,23.15,22.76,23.29,21.40,23.52,21.19,22.13,22.92,22.17
1919,22.76,24.70,21.13,23.00,21.69,22.62,22.16,21.71,21.47,20.51,21.16,23.65,23.18,23.73,21.71,24.05,21.48,22.51,23.36,22.54
1920,22.69,24.55,21.15,22.92,21.71,22.56,22.12,21.69,21.44,20.53,21.20,23.55,23.13,23.62,21.66,23.91,21.51,22.49,23.26,22.46
1921,22.23,24.12,20.63,22.52,21.12,22.11,21.61,21.21,20.95,20.00,20.68,23.06,22.62,23.26,21.18,23.46,20.98,21.92,22.87,22.03
1922,22.27,24.09,20.73,22.60,21.17,22.14,21.65,21.28,21.06,20.12,20.77,23.03,22.62,23.30,21.31,23.42,21.04,21.95,22.89,22.14
1923,22.21,24.26,20.46,22.55,21.03,22.06,21.53,21.10,20.85,19.86,20.48,23.11,22.61,23.33,21.12,23.56,20.83,21.88,22.88,22.03
1924,21.82,23.82,20.13,22.11,20.73,21.66,21.17,20.74,20.49,19.52,20.17,22.70,22.23,22.87,20.74,23.12,20.50,21.55,22.44,21.61
1925,22.62,24.57,20.97,22.88,21.54,22.49,22.01,21.56,21.31,20.34,21.01,23.50,23.04,23.63,21.53,23.91,21.33,22.36,23.24,22.39
1926,23.21,25.19,21.50,23.44,22.07,23.12,22.62,22.15,21.86,20.84,21.53,24.15,23.68,24.24,22.02,24.57,21.88,22.95,23.88,22.93
1927,22.92,24.79,21.35,23.15,21.85,22.82,22.35,21.92,21.67,20.71,21.39,23.78,23.35,23.89,21.85,24.15,21.70,22.67,23.55,22.68
1928,22.28,24.16,20.65,22.64,21.12,22.14,21.64,21.24,21.02,20.06,20.69,23.09,22.64,23.36,21.30,23.50,21.00,21.95,22.92,22.16
