Variable:,tasmax
,"Wallis and Futuna","Administrative unit not available"
1901,29.36,29.33
1902,29.42,29.35
1903,29.26,29.23
1904,28.98,28.97
1905,29.04,29.06
1906,29.35,29.34
1907,28.99,28.99
1908,29.12,29.10
1909,28.81,28.86
1910,28.94,28.96
1911,29.60,29.47
1912,29.89,29.75
1913,29.63,29.52
1914,29.85,29.75
1915,29.34,29.31
1916,29.06,29.05
1917,28.95,28.95
1918,29.18,29.17
1919,29.87,29.74
1920,29.90,29.75
1921,29.64,29.57
1922,29.70,29.65
1923,29.51,29.40
1924,29.75,29.65
1925,29.55,29.48
1926,29.78,29.71
1927,29.76,29.69
1928,29.67,29.60
1929,29.54,29.50
1930,29.54,29.48
1931,29.57,29.46
1932,29.70,29.58
1933,29.63,29.56
1934,29.66,29.60
1935,29.71,29.61
1936,29.80,29.74
1937,29.77,29.66
1938,29.67,29.60
1939,29.48,29.41
1940,29.84,29.77
1941,29.93,29.87
1942,29.70,29.66
1943,29.75,29.71
1944,29.56,29.52
1945,29.57,29.54
1946,29.90,29.79
1947,30.08,29.95
1948,29.78,29.66
1949,29.93,29.81
1950,29.63,29.59
1951,29.74,29.62
1952,29.81,29.73
1953,29.73,29.64
1954,29.56,29.49
1955,29.50,29.43
1956,29.58,29.51
1957,29.63,29.53
1958,29.88,29.77
1959,29.93,29.83
1960,29.86,29.76
1961,29.54,29.51
1962,29.56,29.51
1963,29.69,29.61
1964,29.71,29.65
1965,29.28,29.16
1966,29.57,29.46
1967,29.38,29.30
1968,29.73,29.64
1969,29.84,29.75
1970,29.75,29.65
1971,29.57,29.49
1972,29.59,29.48
1973,29.83,29.74
1974,29.68,29.61
1975,29.74,29.69
1976,29.87,29.77
1977,29.84,29.73
1978,29.78,29.66
1979,30.08,29.93
1980,30.03,29.92
1981,30.10,30.03
1982,30.05,29.95
1983,30.04,29.96
1984,30.12,30.05
1985,30.18,30.09
1986,29.95,29.83
1987,29.78,29.67
1988,29.97,29.91
1989,29.78,29.69
1990,30.13,30.06
1991,30.07,29.96
1992,29.86,29.79
1993,29.61,29.52
1994,30.01,29.91
1995,30.40,30.29
1996,30.56,30.43
1997,30.16,30.05
1998,30.20,30.13
1999,30.39,30.25
2000,30.53,30.40
2001,30.63,30.50
2002,30.56,30.36
2003,30.43,30.33
2004,30.48,30.39
2005,30.68,30.57
2006,30.40,30.27
2007,30.88,30.77
2008,30.26,30.16
2009,30.36,30.18
2010,30.69,30.54
2011,30.41,30.29
2012,30.22,30.07
2013,30.37,30.22
2014,30.19,30.10
2015,30.00,29.92
2016,30.48,30.40
2017,30.40,30.33
2018,30.33,30.27
2019,30.56,30.49
2020,30.70,30.61
