Variable:,tasmax
,Zimbabwe,Bulawayo,Harare,Manicaland,"Mashonaland Central","Mashonaland West",Masvingo,"Matabeleland South",Midlands,"Matabeleland North","Mashonaland East"
1901,27.82,26.12,25.77,25.50,28.53,28.43,28.17,27.90,27.53,28.69,26.36
1902,28.21,26.49,26.19,25.99,28.92,28.81,28.60,28.20,27.94,29.06,26.81
1903,28.40,26.70,26.38,26.18,29.11,28.99,28.78,28.39,28.13,29.25,27.00
1904,27.35,25.67,25.27,25.10,28.00,27.90,27.80,27.48,27.04,28.18,25.89
1905,28.22,26.52,26.19,26.00,28.93,28.81,28.59,28.25,27.93,29.06,26.81
1906,27.48,25.77,25.43,25.25,28.17,28.06,27.90,27.55,27.18,28.31,26.06
1907,27.17,25.48,25.12,24.94,27.86,27.74,27.61,27.27,26.86,27.99,25.74
1908,28.01,26.32,25.99,25.80,28.73,28.61,28.39,28.05,27.73,28.85,26.61
1909,27.70,25.99,25.65,25.47,28.39,28.27,28.12,27.77,27.39,28.51,26.27
1910,27.16,25.38,25.08,24.81,27.91,27.78,27.56,27.25,26.83,28.01,25.69
1911,27.21,25.49,25.12,24.87,27.91,27.80,27.62,27.35,26.88,28.05,25.72
1912,28.06,26.29,25.98,25.72,28.81,28.68,28.47,28.16,27.74,28.91,26.59
1913,28.26,26.49,26.19,25.91,28.99,28.88,28.66,28.35,27.94,29.12,26.78
1914,28.58,26.77,26.55,26.24,29.38,29.26,28.91,28.60,28.29,29.46,27.15
1915,28.04,26.30,25.91,25.54,28.80,28.75,28.32,28.11,27.77,28.98,26.50
1916,28.28,26.45,26.24,26.00,29.04,28.91,28.74,28.28,27.98,29.08,26.86
1917,28.04,26.19,26.04,25.74,28.90,28.77,28.32,27.94,27.77,28.93,26.67
1918,27.20,25.52,25.12,25.00,27.86,27.72,27.73,27.37,26.87,27.94,25.78
1919,27.54,25.80,25.51,25.39,28.24,28.06,28.04,27.67,27.18,28.27,26.16
1920,28.01,26.36,25.90,25.59,28.76,28.69,28.34,28.15,27.73,28.90,26.49
1921,27.69,25.99,25.59,25.28,28.43,28.35,28.03,27.78,27.40,28.59,26.17
1922,28.65,26.89,26.67,26.38,29.47,29.32,28.94,28.66,28.34,29.52,27.28
1923,28.23,26.53,26.17,25.87,28.99,28.87,28.58,28.36,27.91,29.10,26.77
1924,27.62,25.83,25.61,25.31,28.43,28.25,28.02,27.68,27.30,28.42,26.23
1925,27.51,25.68,25.51,25.31,28.37,28.13,28.00,27.57,27.15,28.17,26.17
1926,27.85,26.02,25.91,25.71,28.76,28.48,28.34,27.91,27.47,28.48,26.55
1927,27.66,25.95,25.55,25.46,28.35,28.15,28.23,27.89,27.28,28.37,26.22
1928,28.26,26.46,26.25,26.11,29.02,28.84,28.71,28.29,27.90,29.02,26.89
1929,27.94,26.07,26.05,25.86,28.86,28.57,28.37,27.94,27.57,28.61,26.67
1930,27.67,25.89,25.61,25.60,28.41,28.25,28.15,27.71,27.31,28.42,26.29
1931,28.63,26.91,26.52,26.42,29.31,29.20,29.02,28.69,28.29,29.54,27.17
1932,28.00,26.44,25.79,25.67,28.47,28.45,28.53,28.27,27.68,28.91,26.42
1933,27.72,26.05,25.61,25.53,28.35,28.18,28.33,27.98,27.35,28.44,26.26
1934,27.83,26.14,25.80,25.63,28.39,28.24,28.50,28.17,27.49,28.46,26.41
1935,27.39,25.72,25.29,25.06,28.04,27.93,27.83,27.61,27.06,28.26,25.88
1936,27.51,25.85,25.39,25.25,28.10,27.99,28.05,27.76,27.18,28.29,26.01
1937,27.82,26.07,25.73,25.75,28.46,28.30,28.45,27.97,27.45,28.47,26.44
1938,27.92,26.21,25.89,25.82,28.60,28.37,28.54,28.15,27.55,28.55,26.55
1939,26.79,25.01,24.74,24.84,27.38,27.07,27.64,27.11,26.39,27.25,25.47
1940,27.74,26.08,25.61,25.71,28.20,28.00,28.59,28.15,27.35,28.31,26.31
1941,28.30,26.60,26.15,26.40,28.76,28.50,29.19,28.69,27.85,28.84,26.89
1942,28.18,26.49,26.10,26.02,28.75,28.58,28.78,28.45,27.83,28.90,26.76
1943,27.68,25.89,25.66,25.78,28.31,28.02,28.41,27.84,27.28,28.27,26.38
1944,28.08,26.48,25.91,26.08,28.50,28.30,28.92,28.50,27.66,28.69,26.62
1945,27.61,26.02,25.40,25.53,28.06,27.88,28.36,28.03,27.18,28.28,26.10
1946,28.00,26.59,25.63,25.68,28.33,28.27,28.69,28.55,27.65,28.81,26.34
1947,28.34,26.81,26.11,26.10,28.81,28.70,28.96,28.74,27.99,29.10,26.79
1948,27.82,26.24,25.73,25.76,28.39,28.14,28.57,28.22,27.44,28.38,26.42
1949,28.39,26.69,26.31,26.16,29.07,28.92,28.80,28.59,28.03,29.20,26.95
1950,28.00,26.57,25.70,25.74,28.38,28.31,28.64,28.49,27.65,28.82,26.40
1951,27.71,25.96,25.66,25.67,28.50,28.16,28.22,27.89,27.30,28.37,26.41
1952,27.80,26.10,25.63,25.65,28.46,28.18,28.32,28.06,27.38,28.58,26.39
1953,27.32,25.54,25.32,25.33,28.16,27.79,27.92,27.43,26.87,27.89,26.08
1954,27.97,26.23,25.94,25.96,28.69,28.39,28.57,28.12,27.60,28.61,26.68
1955,27.49,25.72,25.48,25.46,28.26,27.98,27.99,27.58,27.12,28.19,26.22
1956,27.54,26.01,25.36,25.49,28.02,27.76,28.28,27.93,27.16,28.20,26.13
1957,28.70,27.09,26.56,26.58,29.19,29.05,29.27,28.94,28.41,29.51,27.26
1958,27.92,26.37,25.78,25.77,28.59,28.29,28.50,28.27,27.51,28.61,26.51
1959,28.37,26.80,26.24,26.14,29.00,28.81,28.80,28.62,28.04,29.21,26.91
1960,27.97,26.41,25.83,25.68,28.58,28.43,28.41,28.24,27.63,28.82,26.46
1961,27.61,25.99,25.41,25.50,28.14,28.00,28.23,27.90,27.28,28.31,26.19
1962,27.95,26.66,25.51,25.68,28.14,28.09,28.79,28.61,27.63,28.66,26.32
1963,27.31,25.86,25.03,25.06,27.74,27.64,27.94,27.75,26.97,28.10,25.77
1964,27.76,26.15,25.52,25.43,28.29,28.26,28.19,27.99,27.49,28.67,26.21
1965,27.76,26.30,25.38,25.41,28.09,28.13,28.29,28.19,27.49,28.69,26.09
1966,27.88,26.24,25.67,25.64,28.49,28.38,28.29,28.08,27.56,28.74,26.41
1967,27.39,25.59,25.34,25.21,28.17,28.02,27.76,27.41,27.05,28.18,26.00
1968,28.05,26.32,25.91,25.67,28.70,28.74,28.29,28.10,27.79,29.04,26.50
1969,27.73,26.02,25.60,25.66,28.41,28.21,28.33,27.94,27.36,28.34,26.37
1970,28.75,27.20,26.42,26.34,29.12,29.25,29.28,29.07,28.52,29.64,27.06
1971,27.97,26.32,25.87,25.70,28.58,28.55,28.39,28.13,27.66,28.80,26.47
1972,27.73,26.01,25.77,25.47,28.55,28.36,28.11,27.88,27.35,28.49,26.31
1973,27.88,26.18,25.84,25.62,28.65,28.48,28.22,28.02,27.49,28.71,26.45
1974,26.94,25.29,24.92,24.86,27.67,27.36,27.57,27.20,26.50,27.58,25.60
1975,27.49,25.79,25.49,25.27,28.26,28.02,27.95,27.66,27.10,28.24,26.10
1976,27.15,25.43,25.21,25.07,27.98,27.66,27.73,27.31,26.75,27.73,25.87
1977,28.11,26.43,26.11,25.83,28.87,28.68,28.56,28.26,27.75,28.87,26.69
1978,27.28,25.68,25.32,25.26,28.11,27.70,27.88,27.58,26.83,27.83,26.03
1979,27.92,26.39,25.87,25.64,28.60,28.40,28.40,28.25,27.54,28.67,26.45
1980,27.78,26.09,25.80,25.58,28.53,28.36,28.22,27.95,27.43,28.50,26.40
1981,27.34,25.58,25.32,25.08,28.17,27.95,27.69,27.45,26.96,28.16,25.93
1982,28.25,26.79,25.97,25.83,28.65,28.70,28.76,28.65,27.97,29.13,26.60
1983,29.06,27.32,27.09,26.74,29.85,29.71,29.39,29.18,28.73,29.87,27.61
1984,28.14,26.41,26.08,25.80,28.85,28.78,28.44,28.24,27.82,29.08,26.63
1985,27.88,26.32,25.69,25.51,28.39,28.36,28.38,28.22,27.55,28.78,26.26
1986,28.09,26.64,25.92,25.80,28.55,28.42,28.81,28.59,27.74,28.78,26.54
1987,29.10,27.39,27.15,26.55,29.87,29.88,29.28,29.16,28.84,30.11,27.54
1988,28.07,26.41,26.01,25.67,28.86,28.69,28.49,28.26,27.71,28.91,26.57
1989,27.90,26.30,25.72,25.54,28.41,28.40,28.36,28.13,27.59,28.85,26.31
1990,28.56,26.88,26.56,26.12,29.25,29.24,28.84,28.71,28.26,29.49,27.02
1991,28.55,26.98,26.42,26.22,29.09,29.03,29.10,28.85,28.26,29.32,27.01
1992,29.31,27.78,27.11,26.93,29.80,29.72,29.84,29.73,28.98,30.14,27.73
1993,28.28,26.71,26.12,26.08,28.81,28.67,28.90,28.65,27.92,28.99,26.78
1994,28.54,26.78,26.51,26.05,29.25,29.25,28.86,28.63,28.32,29.46,27.01
1995,28.99,27.33,26.89,26.63,29.64,29.61,29.36,29.11,28.74,29.87,27.50
1996,28.20,26.41,26.15,25.85,28.92,28.94,28.46,28.19,27.93,29.13,26.74
1997,28.34,26.81,26.10,26.00,28.82,28.80,28.83,28.63,28.04,29.22,26.79
1998,29.09,27.65,26.90,26.77,29.60,29.56,29.59,29.44,28.79,29.91,27.54
1999,28.16,26.86,25.90,25.74,28.54,28.60,28.65,28.66,27.85,29.03,26.47
2000,27.74,26.01,25.71,25.60,28.38,28.24,28.13,27.88,27.42,28.55,26.38
2001,28.32,26.70,26.18,26.02,28.95,28.85,28.71,28.51,27.99,29.22,26.82
2002,29.00,27.39,26.87,26.73,29.55,29.50,29.55,29.26,28.69,29.80,27.48
2003,28.93,27.38,26.65,26.64,29.35,29.26,29.61,29.35,28.58,29.72,27.33
2004,28.85,27.28,26.67,26.48,29.41,29.36,29.30,29.14,28.54,29.73,27.28
2005,29.86,28.19,27.81,27.48,30.55,30.47,30.24,30.02,29.55,30.73,28.36
2006,28.44,26.70,26.37,26.24,29.21,28.98,28.91,28.60,28.07,29.15,27.05
