Variable:,tasmin
,Aruba,"Administrative unit not available"
1901,23.19,23.19
1902,22.76,22.76
1903,22.86,22.86
1904,22.59,22.59
1905,22.64,22.64
1906,22.55,22.55
1907,22.53,22.53
1908,22.43,22.43
1909,22.48,22.48
1910,22.48,22.48
1911,22.56,22.56
1912,22.62,22.62
1913,22.49,22.49
1914,22.53,22.53
1915,23.32,23.32
1916,23.08,23.08
1917,22.79,22.79
1918,22.78,22.78
1919,22.59,22.59
1920,22.48,22.48
1921,22.63,22.63
1922,22.49,22.49
1923,22.90,22.90
1924,23.06,23.06
1925,22.78,22.78
1926,23.32,23.32
1927,22.81,22.81
1928,22.98,22.98
1929,22.79,22.79
1930,22.95,22.95
1931,23.28,23.28
1932,23.48,23.48
1933,23.33,23.33
1934,23.46,23.46
1935,23.16,23.16
1936,23.38,23.38
1937,23.31,23.31
1938,23.13,23.13
1939,23.31,23.31
1940,23.90,23.90
1941,24.09,24.09
1942,23.77,23.77
1943,23.28,23.28
1944,23.33,23.33
1945,23.19,23.19
1946,23.20,23.20
1947,23.61,23.61
1948,23.30,23.30
1949,22.67,22.67
1950,22.47,22.47
1951,23.45,23.45
1952,23.45,23.45
1953,23.14,23.14
1954,22.81,22.81
1955,22.38,22.38
1956,22.58,22.58
1957,23.08,23.08
1958,23.92,23.92
1959,23.14,23.14
1960,23.43,23.43
1961,23.17,23.17
1962,23.21,23.21
1963,23.33,23.33
1964,23.02,23.02
1965,23.13,23.13
1966,23.38,23.38
1967,22.97,22.97
1968,23.15,23.15
1969,23.86,23.86
1970,23.47,23.47
1971,22.91,22.91
1972,23.52,23.52
1973,23.59,23.59
1974,22.98,22.98
1975,23.06,23.06
1976,23.03,23.03
1977,23.65,23.65
1978,23.64,23.64
1979,23.80,23.80
1980,23.92,23.92
1981,23.84,23.84
1982,23.63,23.63
1983,24.14,24.14
1984,23.72,23.72
1985,23.24,23.24
1986,23.11,23.11
1987,24.07,24.07
1988,23.39,23.39
1989,23.56,23.56
1990,23.48,23.48
1991,23.54,23.54
1992,23.96,23.96
1993,23.98,23.98
1994,23.94,23.94
1995,23.97,23.97
1996,24.13,24.13
1997,24.28,24.28
1998,24.89,24.89
1999,23.66,23.66
2000,23.45,23.45
2001,24.18,24.18
2002,24.33,24.33
2003,24.73,24.73
2004,24.09,24.09
2005,24.46,24.46
2006,24.38,24.38
2007,24.36,24.36
2008,24.09,24.09
2009,24.51,24.51
2010,24.85,24.85
2011,24.20,24.20
2012,24.38,24.38
2013,24.33,24.33
2014,24.28,24.28
2015,24.81,24.81
2016,24.97,24.97
2017,24.38,24.38
2018,24.09,24.09
2019,24.45,24.45
2020,24.43,24.43
