Variable:,tasmin
,Angola,Bengo,Benguela,Bie,Cabinda,"Cuando Cubango","Cuanza Sul",Cunene,Huambo,Huila,"Kuanza Norte",Luanda,"Lunda Norte","Lunda Sul",Malanje,Moxico,Namibe,Uige,Zaire
1901,14.61,19.70,15.64,12.68,21.23,13.71,14.70,13.65,12.22,13.06,16.58,21.31,15.20,14.59,14.46,13.93,15.04,16.63,19.75
1902,14.64,19.76,15.71,12.73,21.30,13.73,14.76,13.67,12.28,13.10,16.65,21.38,15.24,14.62,14.52,13.95,15.07,16.68,19.80
1903,14.65,19.77,15.71,12.74,21.42,13.75,14.77,13.67,12.28,13.11,16.65,21.38,15.24,14.62,14.53,13.95,15.08,16.71,19.87
1904,14.56,19.65,15.60,12.65,21.18,13.60,14.65,13.64,12.18,13.03,16.53,21.26,15.17,14.57,14.42,13.89,15.01,16.58,19.70
1905,14.61,19.70,15.64,12.68,21.44,13.71,14.69,13.65,12.22,13.05,16.57,21.30,15.19,14.59,14.45,13.93,15.03,16.66,19.85
1906,14.49,19.52,15.47,12.54,21.33,13.58,14.51,13.60,12.05,12.94,16.39,21.12,15.08,14.52,14.29,13.87,14.94,16.50,19.71
1907,14.50,19.56,15.51,12.57,21.38,13.53,14.55,13.61,12.09,12.97,16.43,21.17,15.11,14.53,14.33,13.86,14.96,16.54,19.76
1908,14.58,19.65,15.61,12.65,21.13,13.68,14.65,13.64,12.18,13.03,16.54,21.27,15.18,14.58,14.42,13.92,15.02,16.58,19.68
1909,14.59,19.70,15.64,12.68,21.52,13.62,14.69,13.65,12.21,13.05,16.57,21.30,15.20,14.59,14.45,13.91,15.04,16.66,19.88
1910,14.63,19.80,15.74,12.77,21.27,13.58,14.80,13.68,12.32,13.13,16.69,21.41,15.26,14.63,14.56,13.92,15.10,16.71,19.80
1911,14.70,19.92,15.84,12.85,21.52,13.60,14.91,13.71,12.41,13.20,16.80,21.53,15.33,14.68,14.66,13.94,15.16,16.84,19.99
1912,14.64,19.76,15.69,12.72,21.61,13.70,14.74,13.66,12.26,13.09,16.63,21.37,15.23,14.61,14.50,13.94,15.07,16.73,19.98
1913,14.65,19.77,15.72,12.75,21.24,13.74,14.77,13.67,12.29,13.11,16.66,21.38,15.25,14.62,14.54,13.96,15.08,16.69,19.79
1914,14.58,19.62,15.56,12.62,21.42,13.74,14.61,13.62,12.14,13.00,16.49,21.22,15.14,14.56,14.38,13.93,14.99,16.59,19.80
1915,14.59,19.68,15.64,12.68,21.25,13.66,14.69,13.65,12.21,13.05,16.57,21.29,15.19,14.59,14.45,13.92,15.03,16.61,19.73
1916,14.56,19.62,15.58,12.63,21.19,13.68,14.62,13.63,12.16,13.01,16.50,21.23,15.15,14.56,14.39,13.92,15.00,16.54,19.66
1917,14.62,19.72,15.67,12.70,21.28,13.69,14.72,13.66,12.24,13.08,16.60,21.33,15.21,14.60,14.48,13.93,15.05,16.64,19.76
