Variable:,tasmin
,"Burkina Faso","Boucle Du Mouhoun",Cascades,Centre,Centre-est,Centre-nord,Centre-ouest,Centre-sud,Est,Hauts-bassins,Nord,"Plateau Central",Sahel,Sud-ouest
1901,20.89,20.71,20.84,20.86,21.04,20.75,20.83,21.09,21.08,20.59,20.77,20.85,21.10,21.03
1902,21.24,21.27,21.16,21.18,21.28,21.03,21.22,21.39,21.27,21.04,21.22,21.14,21.38,21.45
1903,21.51,21.35,21.08,21.60,21.63,21.53,21.49,21.73,21.65,21.00,21.54,21.58,21.89,21.49
1904,21.61,21.48,21.20,21.62,21.73,21.55,21.59,21.80,21.83,21.12,21.60,21.61,21.96,21.64
1905,21.25,21.06,20.90,21.28,21.32,21.29,21.15,21.38,21.44,20.76,21.26,21.29,21.68,21.19
1906,21.22,21.18,20.96,21.26,21.34,21.10,21.27,21.46,21.31,20.86,21.23,21.21,21.44,21.33
1907,20.75,20.84,20.88,20.61,20.69,20.33,20.82,20.88,20.74,20.69,20.63,20.50,20.73,21.18
1908,20.89,21.26,21.12,20.80,20.73,20.48,21.06,21.04,20.50,21.04,20.93,20.66,20.76,21.42
1909,20.96,21.24,20.93,20.89,20.79,20.72,21.02,21.03,20.72,20.93,21.08,20.82,21.05,21.16
1910,21.02,21.17,21.01,20.83,20.93,20.68,20.99,21.02,21.11,20.94,20.96,20.77,21.09,21.27
1911,20.70,20.70,20.81,20.46,20.67,20.29,20.61,20.71,20.94,20.60,20.50,20.41,20.74,21.01
1912,21.30,21.35,21.33,21.10,21.29,20.89,21.26,21.36,21.51,21.18,21.11,21.02,21.33,21.65
1913,21.12,21.16,21.15,21.07,21.18,20.83,21.19,21.35,21.08,20.96,21.06,20.99,21.15,21.54
1914,21.39,21.51,21.22,21.38,21.41,21.18,21.47,21.57,21.33,21.17,21.44,21.30,21.50,21.67
1915,20.59,20.44,20.77,20.60,20.75,20.39,20.61,20.90,20.54,20.42,20.45,20.55,20.67,20.96
1916,19.89,19.69,20.26,19.85,20.12,19.63,19.85,20.16,19.93,19.80,19.66,19.82,19.87,20.28
1917,20.18,20.01,20.36,20.15,20.37,19.99,20.13,20.42,20.25,20.00,20.02,20.14,20.26,20.44
1918,20.04,19.77,20.27,19.94,20.27,19.75,19.95,20.28,20.29,19.83,19.75,19.92,20.06,20.38
1919,21.53,21.44,21.03,21.58,21.63,21.54,21.48,21.69,21.73,21.02,21.59,21.57,21.93,21.44
1920,21.51,21.48,21.09,21.62,21.60,21.54,21.53,21.73,21.53,21.07,21.62,21.59,21.87,21.49
1921,21.47,21.44,21.02,21.56,21.56,21.51,21.46,21.67,21.49,21.01,21.59,21.55,21.84,21.41
1922,20.81,20.72,20.75,20.86,20.96,20.72,20.82,21.07,20.78,20.53,20.78,20.83,21.00,20.99
1923,20.83,20.78,20.65,20.90,20.95,20.78,20.86,21.04,20.80,20.55,20.83,20.88,21.04,20.91
1924,21.31,21.28,20.85,21.41,21.41,21.38,21.29,21.50,21.32,20.85,21.44,21.41,21.70,21.21
1925,20.97,21.00,20.63,21.06,21.00,20.99,20.99,21.14,20.87,20.61,21.12,21.03,21.31,20.95
1926,20.96,20.90,20.66,21.04,21.11,20.92,20.95,21.19,21.01,20.59,20.98,21.01,21.23,21.00
1927,20.25,20.12,19.86,20.24,20.38,20.21,20.13,20.37,20.53,19.79,20.20,20.25,20.63,20.11
1928,20.38,20.27,19.99,20.46,20.50,20.42,20.35,20.58,20.47,19.93,20.41,20.46,20.79,20.34
1929,20.30,20.25,19.86,20.37,20.38,20.36,20.24,20.44,20.39,19.85,20.40,20.38,20.72,20.15
1930,20.95,20.77,20.36,20.97,21.16,20.97,20.83,21.12,21.34,20.35,20.92,21.00,21.40,20.75
1931,21.47,21.40,21.05,21.46,21.60,21.39,21.43,21.63,21.71,21.04,21.43,21.47,21.80,21.43
1932,21.16,21.14,20.79,21.21,21.31,21.04,21.18,21.41,21.32,20.78,21.14,21.16,21.37,21.17
1933,20.78,21.05,20.86,20.72,20.64,20.42,20.92,20.92,20.56,20.79,20.81,20.59,20.71,21.21
1934,21.24,21.33,21.01,21.25,21.31,21.07,21.29,21.45,21.23,21.00,21.23,21.21,21.34,21.39
1935,21.63,21.90,21.13,21.72,21.61,21.52,21.81,21.86,21.44,21.33,21.88,21.64,21.82,21.61
1936,21.03,21.26,20.90,21.06,20.94,20.87,21.15,21.22,20.72,20.90,21.17,20.98,21.19,21.27
1937,22.61,22.58,21.82,22.79,22.72,22.80,22.64,22.83,22.65,21.94,22.87,22.80,23.11,22.41
1938,22.82,22.71,22.13,23.07,23.02,22.98,22.94,23.21,22.77,22.16,22.99,23.04,23.26,22.82
1939,22.28,22.21,21.72,22.31,22.37,22.30,22.25,22.44,22.45,21.74,22.37,22.32,22.70,22.21
1940,21.56,21.49,21.12,21.62,21.64,21.58,21.54,21.74,21.69,21.09,21.63,21.61,21.93,21.48
1941,22.04,21.90,21.49,22.07,22.17,22.05,21.98,22.23,22.29,21.46,22.06,22.09,22.46,21.93
1942,21.89,21.76,21.23,21.96,22.00,21.97,21.82,22.06,22.14,21.27,21.98,21.97,22.38,21.68
1943,21.37,21.21,20.84,21.44,21.52,21.40,21.34,21.57,21.59,20.78,21.40,21.44,21.79,21.30
1944,21.78,21.72,21.29,21.84,21.88,21.81,21.76,21.96,21.91,21.29,21.88,21.84,22.18,21.68
1945,21.43,21.42,21.10,21.48,21.48,21.41,21.43,21.60,21.45,21.05,21.51,21.46,21.74,21.45
1946,21.32,21.26,20.91,21.38,21.41,21.32,21.32,21.52,21.42,20.86,21.39,21.37,21.68,21.30
1947,21.79,21.83,21.37,21.95,21.88,21.85,21.86,22.04,21.63,21.40,21.98,21.92,22.14,21.80
1948,21.21,21.19,20.87,21.29,21.30,21.21,21.23,21.43,21.17,20.81,21.31,21.28,21.52,21.25
1949,21.74,21.74,21.36,21.81,21.81,21.66,21.79,21.96,21.76,21.33,21.80,21.75,22.02,21.83
1950,20.80,20.86,20.79,20.77,20.80,20.58,20.83,21.03,20.74,20.63,20.78,20.67,20.93,20.99
1951,21.24,21.07,20.97,21.24,21.40,21.16,21.20,21.47,21.40,20.77,21.23,21.25,21.60,21.29
1952,20.83,20.68,20.82,20.87,21.07,20.55,20.89,21.18,20.99,20.46,20.70,20.82,20.88,21.13
1953,21.02,20.94,21.00,21.08,21.10,20.79,21.09,21.29,21.03,20.73,20.98,20.99,21.13,21.31
1954,20.98,20.80,20.79,21.07,21.12,20.86,21.01,21.24,21.14,20.49,20.97,21.02,21.21,21.15
1955,20.79,20.74,20.70,20.79,20.78,20.65,20.81,20.93,20.80,20.46,20.83,20.74,21.06,20.98
