Variable:,tasmin
,Bolivia,Pando,Beni,Chuquisaca,Cochabamba,"La Paz",Oruro,Potosi,"Santa Cruz",Tarija
1901,15.10,20.74,20.94,12.51,11.97,11.07,0.82,1.74,19.61,13.79
1902,14.99,20.73,20.90,12.38,11.87,11.02,0.69,1.58,19.45,13.67
1903,14.63,20.50,20.64,11.94,11.56,10.62,0.30,1.16,19.07,13.09
1904,14.43,20.37,20.47,11.82,11.44,10.38,0.16,0.94,18.83,12.91
1905,14.83,20.67,20.84,11.95,11.91,11.07,0.80,1.22,19.26,12.83
1906,14.84,20.54,20.71,12.25,11.84,10.89,0.79,1.47,19.28,13.44
1907,14.62,20.50,20.63,11.82,11.66,10.81,0.55,1.03,19.03,12.77
1908,14.59,20.49,20.61,11.88,11.52,10.58,0.22,0.94,19.11,12.98
1909,14.44,20.34,20.48,11.73,11.36,10.31,-0.02,0.78,19.00,12.87
1910,14.59,20.41,20.59,11.76,11.52,10.52,0.22,0.82,19.24,12.75
1911,14.34,20.69,20.67,11.37,11.29,10.72,-0.06,0.55,18.59,12.43
1912,14.52,20.81,20.68,11.75,11.58,11.13,0.47,1.17,18.50,13.00
1913,14.22,20.64,20.39,11.49,11.20,10.70,-0.00,0.94,18.21,12.86
1914,14.44,20.82,20.63,11.56,11.49,11.14,0.42,1.08,18.40,12.80
1915,14.80,21.00,20.91,11.90,11.98,11.72,1.10,1.55,18.68,12.98
1916,14.24,20.31,20.43,11.28,11.28,10.65,0.14,0.81,18.39,12.50
1917,13.72,20.27,20.12,10.73,10.65,10.02,-0.75,0.05,17.88,11.97
1918,14.43,21.01,20.81,11.39,11.39,11.11,0.20,0.78,18.45,12.38
1919,15.11,21.40,21.40,12.20,12.10,11.70,0.86,1.50,19.21,13.28
1920,14.69,21.10,20.99,11.82,11.80,11.39,0.66,1.26,18.59,12.94
1921,14.55,21.04,20.93,11.60,11.64,11.28,0.49,0.95,18.49,12.57
1922,14.48,21.09,20.85,11.57,11.57,11.32,0.40,0.87,18.37,12.54
1923,14.53,21.19,20.91,11.61,11.62,11.41,0.49,1.03,18.33,12.69
1924,14.62,21.16,20.98,11.72,11.73,11.43,0.60,1.20,18.45,12.71
1925,14.68,21.26,21.02,11.86,11.80,11.51,0.65,1.25,18.47,12.95
1926,15.22,21.83,21.58,12.37,12.30,12.20,1.21,1.70,19.00,13.49
1927,14.78,21.76,21.29,11.78,11.82,11.86,0.73,1.20,18.45,12.79
1928,14.93,21.77,21.41,11.90,12.05,12.04,0.98,1.33,18.63,12.76
1929,14.77,21.65,21.23,11.80,11.82,11.78,0.72,1.26,18.49,12.81
1930,14.84,21.28,21.17,11.93,11.88,11.59,0.67,1.25,18.81,13.04
1931,14.84,21.50,21.31,11.68,12.12,12.09,1.00,1.08,18.59,12.36
1932,14.89,21.30,21.19,12.05,11.97,11.64,0.69,1.29,18.85,13.07
1933,14.53,21.21,20.97,11.70,11.49,11.06,-0.02,0.77,18.59,12.71
1934,14.59,21.16,20.96,11.70,11.60,11.23,0.19,0.91,18.60,12.72
1935,14.87,21.31,21.15,12.15,11.88,11.43,0.50,1.26,18.92,13.22
1936,15.06,21.45,21.39,12.21,12.06,11.65,0.61,1.20,19.21,13.24
1937,14.95,21.52,21.33,12.07,11.93,11.67,0.51,1.06,19.01,13.14
1938,14.67,21.33,21.09,11.83,11.63,11.21,0.09,0.78,18.78,12.84
1939,14.85,21.57,21.36,11.80,11.87,11.54,0.38,1.04,18.86,12.69
1940,15.08,21.75,21.57,12.00,12.06,11.74,0.51,1.17,19.18,12.90
1941,15.02,21.80,21.60,11.55,12.22,12.05,0.84,1.14,18.91,12.40
1942,14.55,21.65,21.27,11.17,11.51,11.34,-0.11,0.38,18.57,12.02
1943,14.96,21.75,21.43,11.86,12.34,11.91,0.86,1.04,18.82,12.75
1944,15.12,21.61,21.48,12.12,12.31,11.79,0.78,1.21,19.22,13.10
1945,15.13,21.66,21.54,12.13,12.35,12.07,1.01,1.43,18.97,13.26
1946,14.98,21.19,21.16,12.27,12.16,11.53,0.81,1.37,19.06,13.59
1947,14.65,21.04,20.91,11.80,11.89,11.31,0.51,0.96,18.65,13.10
1948,14.84,20.88,20.95,12.17,12.04,11.32,0.74,1.32,18.96,13.51
1949,14.66,20.86,20.82,11.91,11.96,11.16,0.63,1.00,18.76,13.21
1950,14.72,20.81,20.85,12.12,12.11,11.15,0.61,1.12,18.82,13.30
1951,14.71,20.55,20.64,12.44,11.79,11.03,0.44,1.21,18.95,13.70
1952,14.70,20.35,20.61,12.42,12.00,11.09,0.70,1.29,18.90,13.48
1953,14.93,20.76,20.92,12.42,12.08,11.23,0.69,1.48,19.20,13.59
1954,14.35,20.56,20.52,11.49,11.33,10.69,0.01,0.72,18.63,12.49
1955,14.35,20.54,20.46,11.62,11.22,10.58,-0.12,0.57,18.74,12.68
1956,13.86,20.27,20.17,10.90,11.02,10.43,-0.30,0.04,17.99,11.65
1957,14.43,20.40,20.43,11.72,11.57,11.06,0.61,1.02,18.56,12.57
1958,14.84,21.24,21.24,11.83,11.90,11.50,0.67,1.09,18.89,12.83
1959,14.59,20.83,20.81,11.63,11.56,11.14,0.38,0.89,18.81,12.52
1960,13.91,20.21,19.95,11.05,10.82,10.42,-0.33,0.38,18.15,12.22
1961,14.72,21.40,20.88,11.82,11.45,11.13,0.22,1.06,18.93,13.30
1962,14.10,21.07,20.39,10.88,10.81,10.85,-0.29,0.27,18.24,12.02
1963,14.97,21.26,20.95,12.38,11.85,11.23,0.59,1.44,19.26,13.59
1964,14.50,21.01,20.70,11.59,11.43,11.05,0.15,0.87,18.63,12.74
1965,14.77,21.38,21.14,11.70,11.68,11.54,0.50,0.89,18.82,12.91
1966,14.75,21.32,21.12,11.61,11.70,11.35,0.33,0.82,18.95,12.61
1967,15.00,21.20,21.17,12.26,12.12,11.46,0.69,1.37,19.17,13.31
1968,14.83,21.13,21.13,11.99,11.97,11.42,0.56,1.11,18.94,12.93
1969,15.32,21.73,21.60,12.41,12.50,12.08,1.31,1.65,19.29,13.39
1970,15.04,21.19,21.31,12.23,12.21,11.60,0.82,1.32,19.17,13.19
1971,14.33,20.57,20.59,11.51,11.55,10.96,0.19,0.69,18.38,12.48
1972,14.91,20.96,21.05,12.12,12.08,11.53,0.87,1.28,19.05,13.05
1973,15.16,20.79,21.23,12.47,12.57,11.75,1.25,1.68,19.32,13.35
1974,14.62,20.60,20.76,11.95,11.76,11.12,0.52,1.15,18.74,12.99
1975,14.46,20.70,20.65,11.70,11.49,10.99,0.19,0.87,18.60,12.87
1976,14.01,20.39,20.24,11.11,10.99,10.74,-0.16,0.41,18.04,12.25
1977,14.52,20.76,20.77,11.63,11.43,11.00,0.13,0.91,18.70,12.92
1978,14.47,20.52,20.55,11.72,11.38,10.88,0.10,0.89,18.73,13.03
1979,14.07,20.63,20.32,11.07,10.92,10.78,-0.18,0.58,18.06,12.50
1980,14.30,20.74,20.51,11.29,11.27,10.97,0.13,0.80,18.34,12.58
1981,14.05,20.42,20.24,11.25,10.93,10.66,-0.15,0.69,18.05,12.61
1982,14.48,20.79,20.79,11.46,11.46,11.15,0.31,1.00,18.50,12.71
1983,14.78,21.27,21.15,11.61,12.00,11.78,1.12,1.31,18.55,12.57
1984,14.92,21.13,21.49,11.84,12.08,11.64,0.72,1.18,18.90,12.75
1985,15.06,21.22,21.53,12.15,12.19,11.68,0.74,1.33,19.10,13.07
1986,14.93,21.14,21.43,11.84,11.95,11.44,0.41,1.14,19.09,12.93
1987,15.34,21.69,21.85,12.12,12.65,12.25,1.40,1.65,19.24,12.81
1988,15.05,21.38,21.51,11.96,12.25,11.76,0.85,1.20,19.11,12.82
1989,14.38,20.58,20.59,11.47,11.49,11.07,0.34,0.96,18.37,12.76
1990,14.62,20.85,20.92,11.55,11.61,11.25,0.41,1.02,18.72,12.71
1991,14.66,20.99,20.98,11.61,11.54,11.19,0.28,1.13,18.78,12.89
1992,14.62,21.20,21.17,11.36,11.76,11.46,0.46,1.02,18.48,12.49
1993,14.67,20.99,21.03,11.56,11.79,11.48,0.59,1.14,18.62,12.62
1994,15.11,21.23,21.13,12.41,12.06,11.60,0.93,1.77,19.26,13.66
1995,14.89,21.19,21.08,11.97,11.94,11.65,0.86,1.40,18.89,13.03
1996,14.44,20.90,20.73,11.52,11.42,11.22,0.32,0.93,18.38,12.78
1997,14.98,21.11,21.05,12.06,12.01,11.76,1.10,1.66,19.00,13.33
1998,15.05,21.49,21.35,12.00,12.15,12.13,1.35,1.67,18.79,13.10
1999,14.40,20.54,20.52,11.39,11.33,11.09,0.39,0.92,18.53,12.70
2000,14.57,20.81,20.72,11.53,11.59,11.38,0.72,1.14,18.55,12.84
2001,14.19,20.78,20.48,10.98,10.75,11.03,-0.04,0.71,18.21,12.45
2002,14.62,20.98,20.80,11.61,11.42,11.30,0.46,1.06,18.73,12.93
2003,14.15,20.67,20.33,11.15,10.81,10.81,-0.12,0.61,18.26,12.63
2004,14.76,21.14,21.06,11.67,11.84,11.62,0.82,1.22,18.71,12.79
2005,14.48,21.06,20.75,11.39,11.39,11.37,0.49,0.96,18.42,12.58
2006,14.66,20.95,20.77,11.74,11.48,11.42,0.74,1.31,18.66,13.12
2007,14.31,20.77,20.48,11.43,11.17,10.93,0.13,0.83,18.39,12.64
2008,13.92,20.53,20.11,10.89,10.60,10.59,-0.29,0.40,17.99,12.28
2009,14.51,21.07,20.79,11.40,11.29,11.27,0.35,0.89,18.54,12.71
2010,14.46,21.24,20.82,11.30,11.29,11.31,0.24,0.86,18.42,12.53
2011,14.62,21.05,20.89,11.59,11.57,11.42,0.57,1.07,18.62,12.77
2012,14.56,21.04,20.82,11.58,11.32,11.23,0.32,1.10,18.58,13.01
2013,14.44,20.95,20.76,11.41,11.30,11.19,0.26,0.87,18.43,12.63
2014,15.08,21.36,21.28,12.20,11.97,11.78,0.95,1.51,19.14,13.60
2015,15.24,21.66,21.38,12.37,11.95,11.97,1.14,1.81,19.27,13.83
2016,14.48,21.42,20.83,11.24,11.14,11.57,0.49,0.95,18.29,12.67
2017,14.94,21.44,21.31,11.84,11.69,11.83,0.85,1.40,18.84,13.25
2018,14.42,20.99,20.87,11.20,11.17,11.46,0.38,0.90,18.25,12.53
2019,14.84,21.31,21.18,11.74,11.64,11.67,0.78,1.30,18.79,13.03
2020,15.19,21.51,21.41,12.11,12.04,11.87,1.05,1.57,19.33,13.36
