Variable:,tasmin
,Barbados,"Christ Church","St. Andrew","St. George","St. James","St. John","St. Joseph","St. Lucy","St. Michael","St. Peter","St. Phillip","St. Tomas"
1901,22.45,22.46,22.50,22.50,22.50,22.34,22.50,22.50,22.50,22.50,22.21,22.50
1902,22.30,22.31,22.35,22.35,22.35,22.19,22.35,22.35,22.35,22.35,22.06,22.35
1903,22.32,22.33,22.37,22.37,22.37,22.22,22.37,22.37,22.37,22.37,22.09,22.37
1904,22.09,22.10,22.14,22.14,22.14,21.98,22.14,22.14,22.14,22.14,21.85,22.14
1905,22.24,22.25,22.29,22.29,22.29,22.13,22.29,22.29,22.29,22.29,22.00,22.29
1906,22.20,22.21,22.25,22.25,22.25,22.11,22.25,22.25,22.25,22.25,21.98,22.25
1907,22.06,22.07,22.11,22.11,22.11,21.96,22.11,22.11,22.11,22.11,21.83,22.11
1908,22.16,22.17,22.21,22.21,22.21,22.05,22.21,22.21,22.21,22.21,21.92,22.21
1909,22.09,22.10,22.14,22.14,22.14,21.99,22.14,22.14,22.14,22.14,21.86,22.14
1910,22.10,22.11,22.15,22.15,22.15,22.00,22.15,22.15,22.15,22.15,21.87,22.15
1911,22.16,22.17,22.21,22.21,22.21,22.06,22.21,22.21,22.21,22.21,21.93,22.21
1912,22.32,22.33,22.37,22.37,22.37,22.21,22.37,22.37,22.37,22.37,22.08,22.37
1913,21.99,22.00,22.04,22.04,22.04,21.89,22.04,22.04,22.04,22.04,21.76,22.04
1914,22.02,22.03,22.07,22.07,22.07,21.92,22.07,22.07,22.07,22.07,21.79,22.07
1915,22.32,22.33,22.37,22.37,22.37,22.21,22.37,22.37,22.37,22.37,22.07,22.37
1916,22.04,22.05,22.10,22.10,22.10,21.93,22.10,22.10,22.10,22.10,21.79,22.10
1917,22.04,22.04,22.08,22.08,22.08,21.95,22.08,22.08,22.08,22.08,21.83,22.08
1918,22.11,22.12,22.16,22.16,22.16,22.02,22.16,22.16,22.16,22.16,21.89,22.16
1919,22.13,22.14,22.18,22.18,22.18,22.02,22.18,22.18,22.18,22.18,21.89,22.18
1920,22.05,22.06,22.10,22.10,22.10,21.95,22.10,22.10,22.10,22.10,21.82,22.10
1921,22.07,22.08,22.12,22.12,22.12,21.97,22.12,22.12,22.12,22.12,21.84,22.12
1922,21.97,21.98,22.01,22.01,22.01,21.89,22.01,22.01,22.01,22.01,21.78,22.01
1923,22.07,22.08,22.12,22.12,22.12,21.97,22.12,22.12,22.12,22.12,21.84,22.12
1924,22.13,22.14,22.18,22.18,22.18,22.04,22.18,22.18,22.18,22.18,21.91,22.18
1925,22.10,22.10,22.14,22.14,22.14,22.00,22.14,22.14,22.14,22.14,21.88,22.14
1926,22.39,22.40,22.44,22.44,22.44,22.28,22.44,22.44,22.44,22.44,22.15,22.44
1927,22.10,22.10,22.14,22.14,22.14,22.00,22.14,22.14,22.14,22.14,21.88,22.14
1928,22.15,22.16,22.20,22.20,22.20,22.06,22.20,22.20,22.20,22.20,21.93,22.20
1929,21.99,22.00,22.03,22.03,22.03,21.91,22.03,22.03,22.03,22.03,21.80,22.03
1930,22.17,22.18,22.22,22.22,22.22,22.06,22.22,22.22,22.22,22.22,21.93,22.22
1931,22.52,22.53,22.57,22.57,22.57,22.41,22.57,22.57,22.57,22.57,22.28,22.57
1932,22.52,22.53,22.57,22.57,22.57,22.41,22.57,22.57,22.57,22.57,22.28,22.57
1933,22.20,22.21,22.25,22.25,22.25,22.10,22.25,22.25,22.25,22.25,21.97,22.25
1934,22.20,22.20,22.24,22.24,22.24,22.10,22.24,22.24,22.24,22.24,21.98,22.24
1935,22.02,22.03,22.06,22.06,22.06,21.93,22.06,22.06,22.06,22.06,21.82,22.06
1936,22.19,22.19,22.23,22.23,22.23,22.09,22.23,22.23,22.23,22.23,21.97,22.23
