Variable:,tasmin
,Brunei,Belait,"Brunei and Muara",Temburong,Tutong
1901,22.03,21.77,22.59,21.34,22.25
1902,22.03,21.77,22.59,21.34,22.25
1903,22.03,21.77,22.58,21.29,22.25
1904,22.01,21.77,22.51,21.24,22.19
1905,22.02,21.76,22.55,21.27,22.22
1906,22.03,21.77,22.57,21.30,22.24
1907,22.22,21.96,22.78,21.52,22.44
1908,22.06,21.79,22.61,21.33,22.27
1909,22.10,21.83,22.65,21.39,22.31
1910,22.14,21.88,22.69,21.45,22.35
1911,22.15,21.88,22.71,21.43,22.37
1912,22.17,21.91,22.73,21.49,22.39
1913,22.04,21.79,22.57,21.32,22.24
1914,22.03,21.76,22.59,21.33,22.24
1915,22.03,21.76,22.59,21.35,22.24
1916,22.02,21.75,22.57,21.26,22.23
1917,22.02,21.76,22.57,21.29,22.24
1918,22.04,21.79,22.57,21.30,22.24
1919,22.22,21.94,22.81,21.57,22.45
1920,22.16,21.89,22.73,21.47,22.38
1921,22.26,21.99,22.83,21.58,22.48
1922,22.21,21.95,22.78,21.54,22.44
1923,22.23,21.96,22.79,21.52,22.45
1924,22.24,21.97,22.83,21.59,22.48
1925,22.25,21.97,22.83,21.57,22.48
1926,22.21,21.93,22.78,21.54,22.43
1927,22.12,21.86,22.68,21.44,22.34
1928,22.16,21.89,22.73,21.49,22.38
1929,22.24,21.97,22.81,21.54,22.46
1930,22.18,21.91,22.76,21.51,22.41
1931,22.14,21.87,22.72,21.49,22.36
1932,22.12,21.86,22.68,21.43,22.34
1933,22.18,21.91,22.74,21.51,22.40
1934,22.15,21.88,22.73,21.49,22.38
1935,22.16,21.89,22.73,21.49,22.38
1936,22.16,21.90,22.74,21.51,22.38
1937,22.24,21.97,22.84,21.60,22.48
1938,22.21,21.94,22.78,21.54,22.43
1939,22.25,21.97,22.83,21.59,22.48
1940,22.31,22.04,22.88,21.65,22.54
1941,22.71,22.43,23.29,22.04,22.94
1942,22.03,21.77,22.59,21.34,22.25
1943,22.03,21.77,22.59,21.34,22.25
1944,22.03,21.77,22.59,21.34,22.25
1945,22.03,21.77,22.59,21.34,22.25
1946,22.03,21.77,22.59,21.34,22.25
1947,22.05,21.78,22.63,21.38,22.27
1948,22.03,21.77,22.57,21.32,22.24
1949,22.02,21.76,22.57,21.31,22.24
1950,22.32,22.07,22.86,21.62,22.52
1951,22.38,22.13,22.92,21.67,22.58
1952,22.39,22.13,22.92,21.65,22.59
1953,22.23,21.98,22.76,21.48,22.42
1954,22.01,21.77,22.52,21.25,22.19
1955,22.01,21.76,22.54,21.25,22.21
1956,21.86,21.61,22.38,21.11,22.05
1957,22.23,21.98,22.75,21.49,22.42
1958,22.40,22.14,22.92,21.64,22.59
1959,22.14,21.88,22.67,21.39,22.34
1960,22.22,21.97,22.76,21.48,22.43
1961,21.84,21.57,22.41,21.14,22.06
1962,21.93,21.66,22.49,21.24,22.14
1963,21.98,21.72,22.53,21.26,22.19
1964,21.86,21.60,22.41,21.14,22.06
1965,21.64,21.38,22.19,20.93,21.85
1966,21.96,21.69,22.53,21.25,22.18
1967,21.70,21.43,22.25,20.97,21.91
1968,21.59,21.33,22.15,20.87,21.81
1969,21.95,21.69,22.50,21.22,22.16
1970,21.90,21.64,22.46,21.19,22.11
1971,21.84,21.58,22.39,21.12,22.05
1972,22.03,21.77,22.58,21.31,22.24
1973,22.31,22.05,22.87,21.61,22.52
1974,21.92,21.66,22.47,21.20,22.13
1975,21.94,21.67,22.50,21.26,22.15
1976,21.64,21.37,22.22,20.97,21.87
1977,22.01,21.73,22.59,21.34,22.24
1978,21.97,21.70,22.53,21.30,22.18
1979,22.04,21.78,22.61,21.38,22.26
1980,21.92,21.65,22.49,21.27,22.13
1981,22.22,21.95,22.78,21.54,22.43
1982,22.20,21.94,22.77,21.52,22.42
1983,22.60,22.34,23.15,21.91,22.81
1984,21.99,21.72,22.56,21.31,22.21
1985,22.04,21.77,22.62,21.39,22.27
1986,22.17,21.90,22.74,21.51,22.39
1987,22.58,22.31,23.16,21.92,22.81
1988,22.48,22.22,23.03,21.81,22.69
1989,22.13,21.86,22.72,21.46,22.37
1990,22.38,22.12,22.96,21.76,22.61
1991,22.60,22.33,23.18,21.91,22.83
1992,22.30,22.04,22.87,21.65,22.52
1993,22.31,22.04,22.89,21.66,22.53
1994,22.38,22.11,22.95,21.72,22.60
1995,22.54,22.27,23.10,21.87,22.76
1996,22.41,22.14,22.97,21.74,22.62
1997,22.66,22.39,23.23,21.97,22.88
1998,23.10,22.84,23.65,22.40,23.31
1999,22.53,22.27,23.11,21.89,22.75
2000,22.57,22.31,23.13,21.89,22.79
2001,22.62,22.35,23.18,21.93,22.83
2002,22.61,22.34,23.18,21.92,22.83
2003,22.53,22.28,23.09,21.86,22.74
2004,22.48,22.22,23.04,21.82,22.69
2005,22.47,22.21,23.03,21.81,22.69
2006,22.45,22.19,23.02,21.79,22.67
2007,22.46,22.20,23.02,21.77,22.68
2008,22.18,21.92,22.73,21.50,22.39
2009,22.50,22.24,23.06,21.81,22.72
2010,22.48,22.22,23.03,21.78,22.69
2011,22.34,22.08,22.89,21.66,22.55
2012,22.45,22.18,23.03,21.78,22.68
2013,22.57,22.31,23.10,21.87,22.76
2014,22.41,22.14,22.97,21.72,22.62
2015,22.85,22.58,23.41,22.15,23.06
2016,23.13,22.87,23.68,22.45,23.34
2017,22.60,22.33,23.17,21.91,22.82
2018,22.59,22.34,23.14,21.88,22.80
2019,22.82,22.56,23.37,22.11,23.03
2020,22.63,22.36,23.19,21.93,22.84
