Variable:,tasmin
,Cameroon,Adamaoua,Centre,Est,"Extrême - Nord",Littoral,Nord,"Nord - Ouest",Ouest,Sud,"Sud - Ouest"
1901,18.75,16.58,18.99,18.37,20.45,21.08,19.37,17.17,17.03,19.52,19.99
1902,18.99,16.85,19.25,18.60,20.53,21.34,19.60,17.46,17.30,19.77,20.26
1903,19.08,16.92,19.37,18.71,20.53,21.48,19.63,17.56,17.42,19.91,20.38
1904,19.01,17.00,19.21,18.53,20.75,21.23,19.83,17.52,17.31,19.62,20.19
1905,18.79,16.32,19.18,18.67,19.89,21.46,18.92,17.11,17.11,20.03,20.28
1906,18.93,16.60,19.27,18.70,20.19,21.47,19.26,17.33,17.26,19.98,20.34
1907,19.40,17.41,19.68,18.91,20.95,21.68,20.13,17.99,17.79,20.05,20.62
1908,18.57,16.20,18.84,18.35,19.99,21.07,18.96,16.89,16.81,19.59,19.94
1909,19.26,17.06,19.61,18.93,20.53,21.73,19.68,17.75,17.65,20.19,20.61
1910,19.06,17.16,19.30,18.54,20.74,21.20,19.89,17.72,17.46,19.52,20.22
1911,19.47,17.59,19.81,18.95,20.90,21.70,20.15,18.22,17.99,19.99,20.69
1912,19.34,17.33,19.76,18.95,20.50,21.71,19.77,18.08,17.90,20.05,20.67
1913,18.84,16.72,19.17,18.51,20.16,21.21,19.35,17.42,17.25,19.61,20.17
1914,19.32,17.27,19.73,18.94,20.48,21.71,19.75,18.01,17.86,20.07,20.67
1915,19.18,17.14,19.50,18.77,20.60,21.51,19.78,17.78,17.60,19.88,20.45
1916,19.15,17.08,19.50,18.77,20.45,21.51,19.65,17.77,17.60,19.88,20.46
1917,19.02,16.88,19.44,18.74,20.05,21.48,19.34,17.64,17.52,19.88,20.42
1918,19.30,17.34,19.63,18.83,20.70,21.56,19.93,17.99,17.78,19.89,20.55
1919,19.08,17.00,19.50,18.77,20.11,21.51,19.42,17.76,17.61,19.88,20.47
1920,18.97,16.78,19.35,18.69,20.09,21.45,19.31,17.51,17.39,19.88,20.36
1921,19.04,16.88,19.35,18.69,20.43,21.45,19.55,17.53,17.40,19.88,20.36
1922,18.94,16.74,19.35,18.69,19.94,21.45,19.21,17.50,17.39,19.88,20.36
1923,19.12,17.00,19.41,18.70,20.61,21.49,19.67,17.72,17.53,19.88,20.42
1924,19.08,16.94,19.38,18.70,20.51,21.48,19.60,17.63,17.48,19.88,20.37
1925,19.15,17.14,19.59,18.82,20.20,21.53,19.58,17.74,17.65,19.89,20.41
1926,19.35,17.42,19.63,18.81,20.92,21.59,20.07,18.12,17.86,19.89,20.60
1927,19.26,17.24,19.51,18.75,20.96,21.53,19.98,17.93,17.69,19.88,20.50
1928,18.89,16.62,19.26,18.66,20.11,21.40,19.21,17.30,17.26,19.88,20.23
1929,18.99,16.82,19.38,18.74,20.20,21.43,19.37,17.35,17.34,19.88,20.22
1930,19.24,17.18,19.52,18.76,20.90,21.54,19.86,17.95,17.70,19.88,20.57
1931,19.39,17.41,19.60,18.77,21.27,21.61,20.18,18.29,17.90,19.88,20.75
1932,19.51,17.67,19.77,18.87,21.16,21.66,20.33,18.48,18.11,19.89,20.80
1933,19.41,17.52,19.72,18.87,20.91,21.61,20.12,18.23,17.94,19.89,20.69
1934,19.46,17.60,19.73,18.86,21.06,21.64,20.24,18.36,18.03,19.89,20.72
1935,19.39,17.46,19.64,18.80,21.05,21.60,20.15,18.27,17.93,19.88,20.69
1936,19.46,17.60,19.67,18.83,21.37,21.59,20.39,18.15,17.86,19.89,20.58
1937,19.45,17.55,19.65,18.82,21.34,21.60,20.34,18.24,17.90,19.89,20.68
1938,19.65,17.84,19.73,18.83,22.00,21.67,20.80,18.61,18.10,19.89,20.88
1939,19.06,16.82,19.25,18.61,20.91,21.45,19.69,17.64,17.39,19.87,20.47
