Variable:,tasmin
,"Cook Islands","Administrative unit not available"
1901,20.95,21.20
1902,21.04,21.31
1903,21.20,21.56
1904,21.05,21.24
1905,20.96,21.20
1906,20.88,21.15
1907,20.55,20.85
1908,21.23,21.45
1909,21.10,21.33
1910,21.04,21.28
1911,21.03,21.26
1912,20.78,21.01
1913,20.36,20.61
1914,20.37,20.61
1915,20.53,20.77
1916,21.06,21.29
1917,20.95,21.19
1918,19.85,20.10
1919,20.12,20.37
1920,20.76,21.01
1921,21.27,21.49
1922,21.41,21.62
1923,20.52,20.75
1924,21.28,21.49
1925,20.45,20.69
1926,20.69,20.93
1927,20.94,21.19
1928,20.38,20.62
1929,20.27,20.53
1930,20.17,20.42
1931,20.09,20.33
1932,20.30,20.56
1933,20.38,20.62
1934,20.55,20.80
1935,20.86,21.12
1936,21.04,21.28
1937,21.13,21.41
1938,21.43,21.68
1939,21.04,21.32
1940,20.63,20.98
1941,20.81,21.14
1942,21.48,21.76
1943,20.90,21.20
1944,20.70,21.00
1945,21.03,21.32
1946,20.83,21.13
1947,20.95,21.26
1948,20.34,20.63
1949,20.88,21.11
1950,20.99,21.18
1951,20.41,20.69
1952,21.08,21.33
1953,20.88,21.11
1954,21.18,21.38
1955,20.76,20.94
1956,20.44,20.65
1957,20.66,20.94
1958,20.45,20.78
1959,20.78,21.09
1960,20.78,21.05
1961,20.88,21.10
1962,20.47,20.74
1963,20.34,20.61
1964,21.06,21.26
1965,20.17,20.45
1966,20.63,20.88
1967,20.66,20.91
1968,20.76,20.94
1969,20.83,21.10
1970,21.34,21.56
1971,20.93,21.13
1972,20.93,21.16
1973,21.91,22.07
1974,20.94,21.13
1975,21.06,21.25
1976,20.68,20.91
1977,20.86,21.12
1978,21.08,21.34
1979,21.00,21.24
1980,21.41,21.66
1981,21.38,21.60
1982,20.68,20.94
1983,20.98,21.25
1984,21.16,21.41
1985,21.33,21.59
1986,21.44,21.72
1987,20.98,21.30
1988,21.66,21.91
1989,21.43,21.64
1990,21.53,21.76
1991,21.52,21.75
1992,21.34,21.60
1993,21.18,21.45
1994,21.12,21.40
1995,21.28,21.54
1996,21.59,21.81
1997,20.91,21.16
1998,21.28,21.54
1999,21.92,22.14
2000,21.68,21.92
2001,21.54,21.76
2002,21.23,21.54
2003,21.34,21.59
2004,21.61,21.85
2005,21.07,21.38
2006,21.08,21.41
2007,21.08,21.39
2008,21.06,21.37
2009,21.07,21.42
2010,21.08,21.45
2011,21.08,21.43
2012,21.06,21.35
2013,21.08,21.35
2014,21.05,21.37
2015,21.05,21.36
2016,21.08,21.41
2017,21.08,21.42
2018,21.06,21.37
2019,21.07,21.38
2020,21.08,21.43
