Variable:,tasmin
,"Dominican Republic",Azua,Baoruco,Barahona,Dajabon,"Santo Domingo",Duarte,"El Seibo",Espaillat,Independencia,"La Altagracia","Elias Pina","La Romana","La Vega","Maria Trinidad Sanches","Monte Cristi",Pedernales,Peravia,"Puerto Plata",Salcedo,Samana,"San Cristobal","San Juan","San Pedro de Macoris","Sanchez Ramirez",Santiago,"Santiago Rodriguez",Valverde,"Hato Mayor","Monsenor Nouel","Monte Plata","San José de Ocoa","Distrito Nacional"
1901,18.78,15.89,17.98,19.14,19.43,19.73,20.10,20.55,20.03,17.76,21.05,17.53,21.06,16.09,20.44,21.38,19.04,20.31,20.74,20.02,20.29,19.21,16.75,20.40,19.37,16.85,15.68,20.22,20.35,17.71,19.76,16.20,20.44
1902,18.46,15.56,17.69,18.83,19.21,19.37,19.77,20.16,19.74,17.48,20.65,17.28,20.66,15.78,20.11,21.17,18.72,19.95,20.48,19.70,19.93,18.85,16.47,20.02,19.02,16.57,15.41,19.98,19.97,17.36,19.40,15.85,20.06
1903,18.52,15.62,17.73,18.88,19.22,19.44,19.84,20.25,19.78,17.52,20.75,17.30,20.75,15.83,20.17,21.18,18.78,20.02,20.52,19.77,20.00,18.92,16.51,20.10,19.09,16.61,15.44,20.01,20.05,17.43,19.47,15.92,20.14
1904,18.10,15.20,17.35,18.47,18.92,18.97,19.40,19.74,19.39,17.14,20.22,16.97,20.23,15.44,19.74,20.87,18.37,19.56,20.14,19.35,19.55,18.46,16.14,19.61,18.65,16.24,15.10,19.65,19.56,16.99,19.01,15.49,19.64
1905,18.49,15.59,17.73,18.85,19.34,19.36,19.80,20.11,19.79,17.53,20.59,17.37,20.61,15.84,20.14,21.28,18.75,19.94,20.57,19.75,19.94,18.85,16.51,19.97,19.05,16.65,15.48,20.06,19.93,17.38,19.40,15.88,20.02
1906,18.25,15.35,17.48,18.61,19.04,19.12,19.56,19.92,19.53,17.28,20.40,17.10,20.41,15.59,19.90,20.99,18.52,19.70,20.29,19.49,19.71,18.62,16.27,19.77,18.81,16.38,15.22,19.79,19.73,17.15,19.16,15.65,19.80
1907,18.07,15.16,17.32,18.43,18.94,18.93,19.37,19.65,19.36,17.12,20.14,16.98,20.16,15.42,19.70,20.88,18.33,19.49,20.16,19.31,19.50,18.41,16.12,19.53,18.62,16.25,15.10,19.66,19.48,16.96,18.97,15.45,19.58
1908,18.17,15.26,17.42,18.54,19.01,19.05,19.50,19.80,19.47,17.24,20.28,17.05,20.29,15.49,19.82,20.97,18.45,19.62,20.23,19.45,19.62,18.53,16.20,19.66,18.74,16.30,15.16,19.74,19.62,17.06,19.10,15.55,19.70
1909,18.19,15.29,17.41,18.54,18.95,19.11,19.52,19.89,19.48,17.19,20.39,17.00,20.40,15.52,19.86,20.92,18.42,19.68,20.23,19.45,19.68,18.58,16.19,19.75,18.77,16.30,15.14,19.72,19.70,17.10,19.15,15.59,19.79
1910,18.13,15.24,17.34,18.49,18.82,19.09,19.44,19.87,19.40,17.12,20.39,16.90,20.40,15.45,19.78,20.77,18.38,19.66,20.11,19.37,19.62,18.57,16.11,19.74,18.71,16.22,15.04,19.59,19.66,17.07,19.12,15.56,19.79
1911,18.00,15.09,17.26,18.39,18.89,18.86,19.28,19.58,19.28,17.07,20.07,16.91,20.08,15.33,19.62,20.84,18.28,19.42,20.08,19.23,19.42,18.33,16.04,19.45,18.53,16.15,15.01,19.60,19.40,16.87,18.90,15.37,19.52
