Variable:,tasmin
,Algeria,Adrar,Ain-Defla,Ain-Temouchent,Alger,Annaba,Batna,Bechar,Bejaia,Biskra,Blida,"Bordj Bou Arrer",Bouira,Boumerdes,Chlef,Constantine,Djelfa,"El Bayadh","El Oued",El-Tarf,Ghardaia,Guelma,Illizi,Jijel,Khenchela,Laghouat,Mascara,Medea,Mila,Mostaganem,M'Sila,Naama,Oran,Ouargla,"Oum El Bouaghi",Relizane,Saida,Setif,"Sidi Bel Abbes",Skikda,Souk-Ahras,Tamanrasset,Tebessa,Tindouf,Tiaret,Tipaza,Tissemsilt,"Tizi Ouzou",Tlemcen
1901,15.40,17.74,11.05,10.82,11.42,9.82,8.25,15.12,9.42,12.59,10.60,8.40,8.79,10.71,11.24,7.68,10.03,11.22,14.07,10.09,13.67,8.00,15.15,9.00,9.09,10.16,10.48,9.30,7.86,11.77,9.69,9.26,11.54,14.86,7.09,11.22,8.31,7.61,8.38,9.05,7.71,17.51,8.70,16.59,8.77,11.63,9.29,9.73,8.56
1902,15.42,17.68,11.39,10.92,11.85,10.30,8.70,14.91,9.93,12.98,11.01,8.87,9.25,11.18,11.54,8.14,10.40,11.34,14.39,10.58,13.82,8.43,15.14,9.51,9.49,10.45,10.66,9.71,8.34,12.01,10.12,9.28,11.72,15.03,7.54,11.50,8.48,8.10,8.48,9.54,8.16,17.54,9.12,16.20,9.07,11.99,9.61,10.20,8.59
1903,15.34,17.74,11.19,10.76,11.69,10.05,8.53,14.82,9.78,12.77,10.84,8.70,9.06,11.03,11.32,8.00,10.14,11.05,14.15,10.33,13.52,8.20,15.04,9.32,9.30,10.15,10.40,9.51,8.19,11.77,9.91,9.10,11.54,14.73,7.35,11.25,8.21,7.94,8.26,9.37,7.91,17.58,8.89,16.13,8.81,11.81,9.38,10.06,8.46
1904,15.51,17.82,11.69,11.20,12.19,10.51,8.96,15.09,10.28,13.21,11.35,9.19,9.59,11.54,11.81,8.41,10.61,11.48,14.52,10.75,13.88,8.68,15.15,9.80,9.68,10.60,10.86,10.03,8.63,12.26,10.40,9.52,12.02,15.04,7.76,11.72,8.66,8.40,8.71,9.84,8.37,17.60,9.31,16.18,9.29,12.30,9.89,10.58,8.89
1905,15.27,17.63,11.00,10.60,11.45,9.77,8.23,14.75,9.49,12.54,10.60,8.43,8.81,10.77,11.17,7.66,9.98,10.97,13.92,10.05,13.50,7.94,15.08,9.02,8.95,10.05,10.30,9.30,7.87,11.67,9.68,8.96,11.41,14.68,7.02,11.13,8.10,7.64,8.12,9.06,7.63,17.51,8.61,16.14,8.68,11.61,9.23,9.79,8.29
1906,15.27,17.58,10.94,10.70,11.37,9.64,8.08,14.75,9.34,12.39,10.53,8.28,8.69,10.66,11.15,7.54,9.86,10.93,13.82,9.88,13.42,7.77,15.24,8.83,8.83,9.95,10.29,9.21,7.72,11.66,9.55,8.99,11.48,14.66,6.88,11.10,8.10,7.49,8.18,8.90,7.52,17.56,8.47,16.13,8.63,11.56,9.17,9.64,8.38
1907,15.17,17.49,10.89,10.55,11.40,9.69,8.08,14.54,9.43,12.36,10.53,8.33,8.75,10.72,11.04,7.51,9.84,10.79,13.78,9.97,13.31,7.82,15.05,8.95,8.85,9.89,10.20,9.20,7.74,11.56,9.56,8.83,11.33,14.54,6.89,11.00,7.99,7.52,8.05,8.94,7.55,17.50,8.48,16.02,8.56,11.52,9.11,9.74,8.23
1908,15.29,17.63,11.12,10.86,11.58,9.81,8.24,14.72,9.51,12.54,10.71,8.45,8.87,10.87,11.32,7.69,10.01,11.05,13.98,10.07,13.50,7.94,15.06,9.05,8.98,10.10,10.49,9.38,7.88,11.83,9.69,9.14,11.63,14.75,7.03,11.28,8.29,7.65,8.36,9.08,7.66,17.54,8.61,16.10,8.80,11.73,9.34,9.81,8.54
1909,15.25,17.67,10.88,10.49,11.35,9.91,8.26,14.59,9.48,12.54,10.51,8.42,8.80,10.73,11.00,7.74,9.91,10.81,14.00,10.18,13.42,7.99,15.03,9.00,9.06,9.93,10.13,9.22,7.90,11.49,9.65,8.81,11.25,14.71,7.09,10.98,7.93,7.65,7.99,9.11,7.78,17.54,8.74,16.13,8.53,11.48,9.10,9.76,8.18
1910,15.28,17.57,11.27,10.72,11.83,10.09,8.54,14.69,9.90,12.79,10.96,8.80,9.19,11.17,11.40,7.97,10.16,10.99,14.15,10.39,13.53,8.23,15.00,9.37,9.31,10.13,10.44,9.59,8.20,11.90,9.96,8.98,11.60,14.72,7.36,11.31,8.14,7.99,8.21,9.36,7.96,17.54,8.93,16.10,8.78,11.92,9.42,10.19,8.36
