Variable:,tasmin
,Spain,Andalucía,Aragón,"Principado de Asturias","Illes Balears",Canarias,Cantabria,"Castilla y León","Castilla-La Mancha",Cataluña/Catalunya,"Ciudad Autónoma de Ceuta","Comunitat Valenciana",Extremadura,Galicia,"Comunidad de Madrid","Ciudad Autónoma de Melilla","Región de Murcia","Comunidad Foral de Navarra","País Vasco/Euskadi","La Rioja"
1901,6.83,9.55,4.55,5.36,10.61,14.04,5.95,4.93,6.30,6.25,11.41,8.26,9.20,6.72,6.63,11.55,8.54,5.15,5.72,3.45
1902,7.15,9.83,4.87,5.64,11.00,14.01,6.19,5.27,6.64,6.56,11.52,8.58,9.55,7.05,6.97,11.58,8.83,5.42,5.98,3.74
1903,7.17,9.80,4.91,5.75,10.74,13.70,6.32,5.34,6.63,6.59,11.56,8.52,9.53,7.16,6.99,11.56,8.77,5.53,6.09,3.86
1904,7.53,10.17,5.32,5.96,11.25,13.59,6.60,5.65,7.03,7.05,11.88,8.98,9.89,7.37,7.39,11.96,9.20,5.89,6.41,4.16
1905,6.91,9.58,4.65,5.40,10.65,13.72,5.95,5.02,6.41,6.36,11.31,8.33,9.29,6.82,6.75,11.37,8.59,5.22,5.75,3.51
1906,7.14,9.72,4.95,5.66,10.75,13.66,6.32,5.29,6.58,6.67,11.45,8.54,9.47,7.16,6.96,11.48,8.73,5.55,6.09,3.85
1907,7.02,9.58,4.92,5.48,10.78,13.36,6.22,5.14,6.44,6.70,11.26,8.43,9.37,6.99,6.80,11.30,8.56,5.55,6.08,3.80
1908,7.29,9.88,5.15,5.77,10.86,13.51,6.46,5.40,6.74,6.86,11.61,8.72,9.62,7.27,7.08,11.62,8.89,5.73,6.27,4.03
1909,6.91,9.60,4.57,5.40,10.50,13.76,5.98,5.03,6.40,6.25,11.31,8.22,9.42,6.99,6.75,11.26,8.50,5.13,5.72,3.48
1910,7.24,9.68,5.30,5.65,11.12,13.67,6.37,5.29,6.72,7.11,11.33,8.85,9.39,7.09,7.02,11.37,9.07,5.86,6.33,4.04
1911,7.34,9.70,5.49,5.82,11.62,13.64,6.56,5.38,6.72,7.43,11.33,8.95,9.39,7.29,7.02,11.51,9.02,6.08,6.53,4.20
1912,7.19,9.65,5.24,5.58,11.19,13.71,6.32,5.21,6.65,7.06,11.30,8.81,9.34,7.08,6.95,11.43,8.97,5.78,6.24,3.96
1913,7.53,9.93,5.63,6.01,11.52,13.67,6.75,5.62,6.90,7.48,11.48,9.04,9.73,7.45,7.27,11.63,9.02,6.23,6.71,4.35
1914,7.18,9.67,5.10,5.74,11.23,13.86,6.40,5.30,6.58,6.90,11.26,8.62,9.46,7.22,6.95,11.35,8.73,5.72,6.25,3.94
1915,7.30,9.83,5.13,5.92,11.10,14.06,6.44,5.47,6.70,6.89,11.46,8.61,9.68,7.37,7.11,11.43,8.71,5.78,6.27,4.00
1916,7.31,9.73,5.34,5.87,11.12,13.67,6.68,5.46,6.72,7.15,11.33,8.75,9.48,7.18,7.08,11.46,8.80,5.98,6.52,4.21
1917,6.60,9.06,4.64,5.10,10.59,13.43,5.86,4.67,6.03,6.43,10.72,8.14,8.74,6.43,6.35,10.93,8.21,5.24,5.73,3.44
1918,7.13,9.49,5.20,5.82,10.74,13.12,6.67,5.32,6.51,6.95,11.16,8.56,9.28,7.14,6.89,11.20,8.55,5.88,6.45,4.14
1919,7.00,9.51,4.85,5.65,10.64,14.22,6.21,5.18,6.38,6.57,11.14,8.31,9.37,7.12,6.77,11.14,8.43,5.53,6.06,3.74
1920,7.38,9.84,5.29,5.98,11.38,13.46,6.62,5.52,6.81,7.09,11.48,8.81,9.62,7.43,7.19,11.56,8.90,5.90,6.43,4.12
1921,7.40,9.81,5.39,6.03,11.59,13.22,6.70,5.53,6.82,7.13,11.50,8.92,9.54,7.50,7.17,11.66,9.02,6.06,6.57,4.28
1922,6.86,9.47,4.74,5.22,11.01,13.74,6.00,4.87,6.38,6.47,11.21,8.47,9.08,6.71,6.64,11.44,8.68,5.30,5.83,3.57
1923,7.16,9.63,5.24,5.61,11.21,13.88,6.52,5.23,6.53,7.13,11.41,8.67,9.29,6.92,6.84,11.53,8.78,6.01,6.48,4.15
1924,7.30,10.06,5.14,5.50,11.40,13.89,6.29,5.25,6.84,6.91,11.91,8.86,9.65,7.01,7.05,12.13,9.22,5.64,6.14,3.88
1925,6.43,9.09,4.23,4.90,10.30,13.71,5.63,4.47,5.85,6.05,11.04,7.79,8.75,6.42,6.12,10.97,8.11,4.97,5.47,3.17
1926,7.70,10.33,5.67,6.00,11.68,14.70,6.81,5.69,7.24,7.40,12.30,9.24,9.86,7.43,7.50,12.30,9.50,6.21,6.70,4.43
1927,7.21,9.58,5.33,5.63,11.39,14.38,6.48,5.32,6.60,7.23,11.48,8.62,9.36,7.13,7.04,11.39,8.62,5.92,6.35,4.02
1928,7.23,9.41,5.52,5.78,11.50,14.36,6.67,5.35,6.62,7.44,11.33,8.72,9.13,7.14,7.04,11.17,8.65,6.18,6.61,4.25
1929,7.35,9.85,5.35,5.74,11.24,14.02,6.51,5.42,6.87,7.08,11.65,8.89,9.48,7.17,7.24,11.72,9.03,5.88,6.34,4.09
1930,7.76,10.13,6.08,6.05,11.96,14.22,7.07,5.73,7.22,7.97,11.87,9.52,9.69,7.37,7.49,12.11,9.58,6.64,7.07,4.75
1931,7.27,9.78,5.42,5.49,11.45,14.17,6.34,5.20,6.84,7.17,11.63,9.14,9.27,6.85,7.05,11.90,9.31,5.86,6.29,4.01
1932,6.98,9.35,5.37,5.14,11.34,13.86,6.14,4.86,6.50,7.24,11.14,8.89,8.78,6.44,6.73,11.52,9.00,5.88,6.22,3.93
