Variable:,tasmin
,Estonia,"Harju maakond","Hiiu maakond","Ida-Viru maakond","Järva maakond","Jõgeva maakond","Lääne-Viru maakond","Lääne maakond","Pärnu maakond","Põlva maakond","Rapla maakond","Saare maakond","Tartu maakond","Valga maakond","Viljandi maakond","Võru maakond","Administrative unit not available"
1901,1.11,1.23,2.65,0.41,0.91,0.54,0.37,2.09,1.81,0.40,1.61,2.93,0.50,0.90,1.11,0.41,0.66
1902,-0.67,-0.64,0.79,-1.38,-0.94,-1.26,-1.49,0.29,0.07,-1.30,-0.23,1.08,-1.24,-0.77,-0.66,-1.19,-1.10
1903,2.46,2.50,3.38,1.98,2.29,2.07,1.85,3.13,2.97,1.99,2.80,3.58,2.04,2.44,2.51,2.06,2.26
1904,0.59,0.67,2.00,-0.07,0.37,0.02,-0.19,1.46,1.27,-0.04,1.04,2.25,0.02,0.46,0.62,0.07,0.18
1905,1.73,1.84,2.95,1.17,1.59,1.22,1.09,2.53,2.34,1.11,2.17,3.17,1.18,1.56,1.75,1.14,1.39
1906,2.17,2.19,3.35,1.62,2.01,1.67,1.49,2.94,2.78,1.61,2.58,3.59,1.68,2.06,2.21,1.65,1.86
1907,0.27,0.45,1.80,-0.35,0.19,-0.37,-0.36,1.32,1.03,-0.57,0.82,2.04,-0.46,-0.08,0.23,-0.53,-0.30
1908,0.98,1.13,2.36,0.32,0.89,0.39,0.35,1.93,1.71,0.26,1.51,2.57,0.36,0.70,0.99,0.26,0.53
1909,0.96,1.09,2.11,0.46,0.85,0.46,0.39,1.75,1.53,0.32,1.40,2.33,0.40,0.75,0.96,0.34,0.63
1910,2.56,2.65,3.78,2.02,2.41,2.04,1.94,3.36,3.15,1.95,2.98,4.01,2.03,2.40,2.57,1.99,2.20
1911,1.56,1.70,3.24,0.93,1.40,0.91,0.88,2.59,2.35,0.73,2.10,3.48,0.85,1.25,1.53,0.79,1.04
1912,0.96,1.10,2.41,0.31,0.85,0.38,0.30,1.91,1.65,0.24,1.47,2.60,0.34,0.68,0.96,0.23,0.50
1913,2.06,2.15,3.48,1.46,1.89,1.52,1.39,2.93,2.72,1.41,2.51,3.71,1.48,1.88,2.08,1.46,1.64
1914,2.23,2.36,3.69,1.69,2.09,1.68,1.60,3.13,2.89,1.52,2.70,3.90,1.62,1.97,2.21,1.53,1.86
1915,-0.17,-0.12,1.31,-0.78,-0.36,-0.71,-0.90,0.72,0.46,-0.75,0.24,1.52,-0.74,-0.28,-0.15,-0.65,-0.56
1916,1.54,1.73,2.60,1.14,1.48,1.10,1.06,2.26,2.06,0.90,1.98,2.75,0.97,1.30,1.53,0.92,1.25
1917,0.49,0.66,1.91,-0.12,0.38,-0.06,-0.15,1.44,1.17,-0.29,1.00,2.15,-0.13,0.21,0.51,-0.31,0.04
1918,1.31,1.46,2.74,0.72,1.17,0.75,0.69,2.25,1.92,0.66,1.76,2.94,0.74,1.07,1.27,0.65,0.91
1919,0.54,0.69,1.95,-0.07,0.42,-0.00,-0.08,1.44,1.18,-0.13,1.00,2.15,-0.02,0.28,0.54,-0.20,0.15
1920,2.49,2.71,3.60,2.12,2.43,2.06,2.03,3.23,3.02,1.80,2.94,3.80,1.93,2.13,2.47,1.70,2.21
1921,1.39,1.54,3.01,0.74,1.25,0.80,0.72,2.41,2.08,0.63,1.90,3.20,0.77,1.13,1.37,0.60,0.94
1922,0.69,0.83,1.91,0.20,0.57,0.18,0.12,1.46,1.29,-0.01,1.14,2.17,0.09,0.43,0.70,-0.01,0.32
1923,1.00,1.10,2.42,0.26,0.84,0.38,0.27,1.91,1.70,0.35,1.49,2.71,0.41,0.84,1.00,0.40,0.54
1924,1.70,1.93,2.90,1.20,1.64,1.21,1.18,2.54,2.32,0.88,2.22,3.13,1.07,1.33,1.69,0.82,1.35
1925,2.42,2.52,3.71,1.68,2.30,1.88,1.73,3.23,3.11,1.78,2.91,4.03,1.86,2.29,2.48,1.83,1.99
1926,1.15,1.15,2.77,0.20,0.95,0.47,0.23,2.17,1.97,0.53,1.67,3.07,0.58,1.09,1.22,0.65,0.57
1927,1.44,1.59,3.06,0.62,1.32,0.85,0.72,2.48,2.23,0.62,2.01,3.31,0.76,1.17,1.48,0.67,0.90
1928,1.38,1.52,2.70,0.74,1.27,0.83,0.73,2.25,2.04,0.66,1.86,2.98,0.78,1.19,1.42,0.73,0.95
1929,0.67,0.96,2.20,0.08,0.60,0.12,0.10,1.70,1.34,-0.22,1.23,2.39,-0.02,0.27,0.66,-0.27,0.20
1930,2.91,3.15,4.52,2.22,2.81,2.34,2.22,3.95,3.63,2.05,3.50,4.71,2.24,2.53,2.91,2.00,2.39
1931,0.70,0.87,2.08,0.06,0.54,0.11,0.03,1.61,1.34,-0.02,1.17,2.38,0.10,0.51,0.73,0.04,0.22
1932,2.19,2.32,3.40,1.61,2.04,1.70,1.55,2.99,2.74,1.57,2.59,3.67,1.70,2.07,2.27,1.60,1.85
1933,1.04,1.28,2.76,0.36,0.96,0.48,0.37,2.06,1.76,0.15,1.62,2.98,0.37,0.60,1.03,0.05,0.53
1934,3.40,3.61,4.87,2.77,3.27,2.82,2.77,4.34,4.05,2.63,3.90,5.08,2.77,3.13,3.40,2.63,2.93
1935,2.13,2.34,3.67,1.53,2.03,1.58,1.51,3.09,2.79,1.31,2.65,3.88,1.49,1.82,2.12,1.29,1.67
1936,2.73,2.86,4.16,2.15,2.61,2.18,2.06,3.55,3.38,1.98,3.18,4.35,2.11,2.56,2.80,1.99,2.34
1937,2.45,2.66,3.96,1.90,2.34,1.87,1.86,3.35,3.07,1.68,2.91,4.14,1.82,2.18,2.46,1.66,1.99
1938,3.26,3.51,4.62,2.72,3.19,2.71,2.72,4.13,3.88,2.47,3.78,4.77,2.62,2.94,3.25,2.44,2.78
1939,2.07,2.26,3.73,1.32,1.88,1.44,1.32,3.13,2.87,1.23,2.63,3.97,1.38,1.87,2.07,1.26,1.53
1940,-0.44,-0.27,1.03,-0.97,-0.54,-0.99,-1.04,0.48,0.22,-1.27,0.04,1.24,-1.09,-0.73,-0.42,-1.33,-0.85
1941,-1.18,-1.07,0.54,-1.95,-1.41,-1.86,-1.96,-0.05,-0.34,-2.00,-0.64,0.81,-1.89,-1.35,-1.20,-1.89,-1.75
1942,-1.00,-0.81,0.36,-1.58,-1.14,-1.56,-1.59,-0.12,-0.40,-1.71,-0.52,0.56,-1.63,-1.24,-1.03,-1.66,-1.42
1943,2.93,3.16,4.35,2.35,2.83,2.38,2.32,3.89,3.59,2.13,3.48,4.52,2.29,2.56,2.92,2.06,2.46
1944,2.38,2.60,3.94,1.74,2.23,1.80,1.74,3.42,3.08,1.59,2.91,4.13,1.71,2.10,2.37,1.60,1.89
1945,1.50,1.69,3.24,0.80,1.32,0.86,0.80,2.60,2.28,0.63,2.07,3.47,0.77,1.19,1.45,0.63,0.94
1946,1.55,1.76,3.11,0.93,1.41,0.94,0.92,2.55,2.23,0.75,2.07,3.29,0.87,1.31,1.54,0.79,1.03
1947,0.64,0.88,2.08,0.04,0.54,0.05,0.02,1.63,1.31,-0.15,1.20,2.27,-0.02,0.34,0.61,-0.18,0.18
1948,2.18,2.43,3.54,1.59,2.11,1.62,1.58,3.05,2.86,1.35,2.72,3.76,1.50,1.93,2.21,1.36,1.71
1949,3.34,3.60,4.67,2.77,3.28,2.79,2.76,4.23,4.02,2.47,3.89,4.89,2.63,3.01,3.37,2.47,2.85
1950,1.82,2.03,3.39,1.22,1.70,1.19,1.18,2.87,2.53,0.98,2.35,3.65,1.10,1.48,1.79,0.99,1.29
1951,1.45,1.64,2.98,0.85,1.34,0.88,0.81,2.48,2.15,0.61,1.97,3.22,0.75,1.08,1.45,0.59,0.95
1952,1.01,1.12,2.39,0.54,0.91,0.46,0.37,1.89,1.62,0.30,1.44,2.66,0.40,0.73,1.02,0.27,0.66
1953,2.16,2.47,3.80,1.54,2.08,1.54,1.62,3.29,2.90,1.20,2.77,3.95,1.36,1.71,2.13,1.17,1.57
1954,1.78,2.02,3.18,1.31,1.70,1.22,1.27,2.71,2.43,0.94,2.32,3.33,1.08,1.38,1.75,0.93,1.33
1955,0.66,0.75,2.30,-0.21,0.46,0.05,-0.19,1.77,1.47,-0.04,1.19,2.59,0.02,0.46,0.72,-0.01,0.10
1956,-0.08,0.07,1.45,-0.77,-0.20,-0.64,-0.76,0.92,0.65,-0.85,0.44,1.69,-0.75,-0.37,-0.06,-0.83,-0.54
1957,2.33,2.39,3.48,1.73,2.19,1.79,1.64,3.10,2.97,1.79,2.78,3.76,1.81,2.17,2.34,1.83,2.02
1958,0.77,0.84,2.16,0.06,0.61,0.22,0.01,1.64,1.46,0.17,1.22,2.50,0.20,0.62,0.82,0.20,0.36
1959,2.33,2.58,3.84,1.64,2.24,1.74,1.69,3.33,3.02,1.47,2.89,4.02,1.63,2.02,2.37,1.49,1.81
1960,1.28,1.46,2.76,0.60,1.18,0.75,0.65,2.27,1.94,0.53,1.79,2.97,0.63,1.01,1.29,0.55,0.78
1961,3.11,3.32,4.34,2.58,3.04,2.61,2.58,3.91,3.71,2.40,3.58,4.51,2.51,2.85,3.11,2.38,2.70
1962,1.25,1.39,2.46,0.73,1.15,0.79,0.69,2.01,1.81,0.63,1.66,2.67,0.69,1.03,1.24,0.64,0.88
1963,0.06,0.36,1.64,-0.57,-0.00,-0.49,-0.51,1.12,0.73,-0.84,0.63,1.78,-0.64,-0.33,0.05,-0.90,-0.45
1964,1.38,1.59,2.69,0.82,1.31,0.88,0.83,2.25,1.99,0.66,1.87,2.86,0.78,1.09,1.37,0.63,0.96
1965,0.82,1.09,2.28,0.18,0.72,0.30,0.25,1.83,1.47,-0.01,1.35,2.44,0.17,0.49,0.82,-0.05,0.33
1966,0.45,0.60,1.77,-0.25,0.37,-0.15,-0.28,1.33,1.13,-0.18,0.96,2.03,-0.14,0.30,0.52,-0.15,-0.00
1967,1.58,1.73,2.99,1.06,1.42,1.05,0.97,2.48,2.20,0.87,2.02,3.26,0.98,1.32,1.57,0.84,1.19
1968,0.81,1.01,2.35,0.21,0.72,0.22,0.16,1.77,1.45,0.01,1.32,2.61,0.16,0.49,0.82,-0.03,0.36
