Variable:,tasmin
,Ghana,Ashanti,"Brong Ahafo",Central,Eastern,"Greater Accra",Northern,"Upper East","Upper West",Volta,Western
1901,22.02,21.92,21.98,22.91,22.18,23.81,21.86,21.65,21.31,22.10,22.49
1902,22.26,22.13,22.21,23.10,22.38,24.01,22.13,21.92,21.67,22.31,22.69
1903,22.18,21.94,22.08,22.90,22.18,23.81,22.16,22.16,21.81,22.15,22.49
1904,22.38,22.15,22.29,23.11,22.39,24.02,22.34,22.28,21.94,22.35,22.69
1905,21.87,21.68,21.75,22.73,21.92,23.59,21.77,21.78,21.43,21.81,22.35
1906,22.15,21.96,22.07,22.86,22.24,23.85,22.09,21.99,21.61,22.27,22.41
1907,21.96,21.90,21.96,22.89,22.17,23.81,21.73,21.44,21.33,22.05,22.48
1908,22.07,21.97,22.06,22.95,22.23,23.86,21.87,21.59,21.52,22.13,22.53
1909,21.63,21.45,21.54,22.47,21.69,23.37,21.50,21.45,21.26,21.60,22.08
1910,21.95,21.83,21.92,22.77,22.10,23.72,21.80,21.55,21.41,22.06,22.33
1911,21.90,21.89,21.91,22.91,22.16,23.80,21.63,21.30,21.14,22.03,22.49
1912,22.48,22.40,22.49,23.34,22.67,24.26,22.29,21.96,21.81,22.58,22.90
1913,22.55,22.48,22.59,23.36,22.76,24.33,22.39,21.97,21.81,22.74,22.89
1914,22.47,22.30,22.45,23.12,22.59,24.16,22.41,22.12,21.93,22.66,22.65
1915,22.14,22.13,22.16,23.12,22.39,24.03,21.91,21.54,21.25,22.29,22.70
1916,21.68,21.77,21.73,22.79,22.06,23.70,21.35,20.86,20.55,21.94,22.37
1917,21.65,21.65,21.65,22.67,21.94,23.58,21.38,21.05,20.69,21.85,22.25
1918,21.78,21.85,21.82,22.87,22.15,23.78,21.46,20.99,20.66,22.03,22.46
1919,22.07,21.81,21.95,22.78,22.06,23.69,22.06,22.10,21.74,22.03,22.36
1920,22.11,21.85,21.99,22.81,22.09,23.73,22.09,22.13,21.77,22.06,22.39
1921,22.02,21.75,21.89,22.72,22.00,23.63,22.00,22.05,21.70,21.96,22.31
1922,21.96,21.86,21.92,22.85,22.12,23.76,21.81,21.60,21.28,22.05,22.43
1923,21.69,21.51,21.59,22.49,21.78,23.41,21.59,21.52,21.16,21.74,22.08
1924,21.82,21.54,21.70,22.49,21.79,23.42,21.82,21.87,21.48,21.81,22.08
1925,21.49,21.21,21.39,22.15,21.42,23.02,21.48,21.51,21.20,21.39,21.80
1926,21.89,21.73,21.76,22.85,22.05,23.74,21.73,21.66,21.28,21.97,22.42
1927,20.95,20.78,20.80,21.93,21.11,22.85,20.79,20.78,20.36,21.04,21.49
1928,21.06,20.84,20.93,21.89,21.14,22.83,20.97,20.97,20.60,21.11,21.47
1929,20.82,20.60,20.67,21.71,20.89,22.61,20.70,20.77,20.38,20.82,21.33
1930,21.64,21.43,21.45,22.56,21.83,23.59,21.51,21.55,21.06,21.82,22.03
1931,22.15,21.94,22.05,22.90,22.19,23.81,22.10,22.09,21.70,22.16,22.48
1932,21.97,21.76,21.81,22.83,22.11,23.81,21.87,21.88,21.47,22.05,22.33
1933,21.97,21.90,21.93,22.96,22.21,23.92,21.72,21.42,21.37,22.10,22.48
1934,22.10,21.89,22.01,22.80,22.15,23.75,22.04,21.96,21.65,22.16,22.38
1935,21.92,21.49,21.75,22.27,21.74,23.30,22.11,22.27,21.89,21.91,21.83
1936,21.79,21.55,21.72,22.47,21.76,23.37,21.75,21.68,21.48,21.74,22.10
1937,22.73,22.34,22.62,23.05,22.49,23.98,22.92,23.12,22.72,22.59,22.65
1938,23.35,22.99,23.29,23.65,23.11,24.56,23.55,23.62,23.23,23.20,23.27
1939,22.73,22.43,22.64,23.24,22.61,24.13,22.80,22.85,22.50,22.62,22.87
1940,22.09,21.82,21.97,22.79,22.08,23.70,22.08,22.14,21.77,22.05,22.38
1941,22.62,22.37,22.48,23.38,22.65,24.31,22.59,22.64,22.24,22.61,22.93
1942,22.30,22.02,22.14,22.99,22.28,23.93,22.32,22.44,21.99,22.27,22.54
1943,22.07,21.82,21.93,22.83,22.11,23.78,22.02,22.04,21.63,22.08,22.39
1944,22.29,22.04,22.15,23.02,22.27,23.91,22.27,22.34,21.97,22.24,22.61
1945,22.05,21.82,21.94,22.84,22.06,23.71,21.98,21.99,21.69,21.98,22.47
1946,21.98,21.73,21.86,22.75,22.01,23.66,21.92,21.94,21.59,21.97,22.33
1947,22.39,22.11,22.26,23.06,22.35,23.97,22.39,22.42,22.10,22.34,22.64
1948,21.90,21.67,21.79,22.67,21.91,23.56,21.85,21.84,21.52,21.86,22.27
1949,22.50,22.26,22.39,23.23,22.52,24.14,22.46,22.43,22.11,22.48,22.81
1950,21.81,21.65,21.75,22.66,21.92,23.56,21.71,21.57,21.19,21.84,22.24
1951,22.25,22.13,22.13,23.27,22.45,24.15,22.07,21.90,21.59,22.37,22.77
1952,22.00,21.83,21.90,22.94,22.07,23.80,21.89,21.72,21.43,21.96,22.52
1953,21.99,21.79,21.89,22.86,21.98,23.69,21.90,21.78,21.58,21.85,22.52
1954,21.75,21.49,21.64,22.54,21.65,23.35,21.69,21.66,21.41,21.54,22.32
1955,21.67,21.47,21.57,22.58,21.70,23.42,21.55,21.38,21.21,21.60,22.25
1956,21.66,21.42,21.56,22.44,21.63,23.29,21.60,21.55,21.31,21.60,22.08
1957,21.85,21.70,21.78,22.73,21.87,23.52,21.73,21.66,21.41,21.80,22.35
1958,22.08,21.84,21.97,22.84,22.01,23.64,22.04,22.07,21.84,21.98,22.43
1959,22.04,21.81,21.92,22.84,22.04,23.72,21.95,21.99,21.69,21.94,22.52
1960,21.90,21.69,21.79,22.75,21.94,23.61,21.80,21.77,21.44,21.87,22.40
1961,21.79,21.65,21.76,22.62,21.87,23.45,21.68,21.52,21.20,21.78,22.27
1962,21.95,21.73,21.91,22.67,21.93,23.46,21.92,21.83,21.48,21.83,22.36
1963,22.21,22.03,22.14,22.97,22.26,23.83,22.12,22.02,21.72,22.15,22.63
1964,21.88,21.55,21.80,22.51,21.76,23.40,21.93,21.95,21.56,21.76,22.14
1965,21.92,21.71,21.86,22.67,21.96,23.59,21.86,21.76,21.32,21.96,22.29
1966,22.21,22.07,22.17,23.07,22.28,23.89,22.07,21.96,21.59,22.20,22.72
