.,
Variable:,Guadeloupe
1901,22.5
1902,22.17
1903,22.25
1904,21.84
1905,22.13
1906,21.99
1907,21.73
1908,21.91
1909,21.81
1910,21.79
1911,21.79
1912,22.08
1913,21.52
1914,21.82
1915,22.33
1916,21.9
1917,21.82
1918,21.84
1919,21.86
1920,21.75
1921,21.83
1922,21.71
1923,21.98
1924,22.28
1925,21.94
1926,22.4
1927,22.07
1928,22.11
1929,21.85
1930,22.01
1931,22.69
1932,22.58
1933,22.23
1934,22.09
1935,21.98
1936,22.26
1937,22.53
1938,22.08
1939,22.16
1940,22.89
1941,22.89
1942,22.98
1943,22.42
1944,22.49
1945,22.07
1946,22.24
1947,22.62
1948,22.62
1949,22.31
1950,22.24
1951,22.6
1952,22.53
1953,22.39
1954,22.26
1955,22.32
1956,22.44
1957,22.5
1958,22.97
1959,22.55
1960,22.59
1961,22.72
1962,22.6
1963,22.88
1964,22.55
1965,22.44
1966,22.79
1967,22.27
1968,22.22
1969,22.78
1970,22.7
1971,22.19
1972,22.71
1973,22.72
1974,22.59
1975,22.41
1976,22.48
1977,22.83
1978,23.01
1979,23.11
1980,23.29
1981,23.4
1982,22.98
1983,23.45
1984,22.85
1985,22.75
1986,22.81
1987,23.54
1988,23.29
1989,22.79
1990,23.12
1991,23.14
1992,23.04
1993,23.25
1994,22.99
1995,23.19
1996,23.19
1997,23.24
1998,23.87
1999,23.34
2000,23.18
2001,23.4
2002,23.52
2003,23.7
2004,23.43
2005,23.63
2006,23.43
2007,23.35
2008,23.08
2009,23.51
2010,23.79
2011,23.39
2012,23.5
2013,23.54
2014,23.54
2015,23.75
2016,23.74
2017,23.59
2018,23.24
2019,23.59
2020,23.66
