Variable:,tasmin
,"Gambia, The","Central River","Lower River","North Bank","Upper River","West Coast","Kanifing Municipal Council"
1901,20.53,20.75,20.38,20.28,21.14,20.10,19.98
1902,20.79,21.05,20.63,20.54,21.42,20.33,20.19
1903,20.61,20.82,20.46,20.38,21.18,20.20,20.10
1904,20.33,20.56,20.17,20.09,20.95,19.90,19.78
1905,20.54,20.75,20.40,20.30,21.12,20.14,20.03
1906,20.64,20.87,20.49,20.42,21.20,20.25,20.15
1907,19.89,20.12,19.74,19.64,20.52,19.47,19.35
1908,20.70,20.95,20.53,20.45,21.32,20.25,20.14
1909,20.45,20.69,20.29,20.21,21.05,20.01,19.89
1910,20.67,20.91,20.51,20.42,21.28,20.23,20.13
1911,20.44,20.68,20.28,20.19,21.04,20.02,19.92
1912,20.71,20.97,20.54,20.44,21.36,20.24,20.11
1913,20.69,20.93,20.53,20.45,21.29,20.26,20.15
1914,20.37,20.63,20.20,20.11,21.00,19.93,19.84
1915,20.87,21.10,20.71,20.61,21.49,20.44,20.34
1916,20.37,20.62,20.21,20.11,21.00,19.92,19.82
1917,20.27,20.50,20.12,20.01,20.87,19.84,19.73
1918,20.54,20.76,20.38,20.30,21.12,20.12,20.02
1919,20.89,21.12,20.73,20.67,21.43,20.48,20.38
1920,20.23,20.45,20.09,19.99,20.83,19.81,19.70
1921,20.20,20.43,20.05,19.95,20.81,19.78,19.68
1922,19.89,20.14,19.75,19.61,20.56,19.42,19.27
1923,20.45,20.71,20.28,20.19,21.09,19.99,19.88
1924,20.13,20.35,19.96,19.89,20.71,19.71,19.62
1925,20.30,20.54,20.14,20.04,20.90,19.87,19.78
1926,20.67,20.87,20.50,20.47,21.18,20.30,20.22
1927,20.27,20.47,20.09,20.09,20.76,19.93,19.88
1928,19.96,20.20,19.80,19.74,20.48,19.59,19.53
1929,19.83,20.06,19.66,19.60,20.39,19.44,19.38
1930,19.76,20.00,19.58,19.51,20.35,19.32,19.23
1931,20.44,20.70,20.28,20.19,21.05,19.99,19.88
1932,20.36,20.59,20.20,20.13,20.90,19.97,19.88
1933,20.43,20.66,20.28,20.19,21.02,20.02,19.93
1934,20.20,20.46,20.04,19.94,20.85,19.74,19.61
1935,20.19,20.45,20.02,19.93,20.81,19.72,19.60
1936,20.47,20.70,20.31,20.25,21.03,20.07,19.98
1937,20.66,20.88,20.50,20.45,21.22,20.27,20.17
