Variable:,tasmin
,Guatemala,Guatemala,"El Progreso",Sacatepéquez,Chimaltenango,Escuintla,"Santa Rosa",Sololá,Totonicapán,Quetzaltenango,Suchitepéquez,Retalhuleu,"San Marcos",Huehuetenango,Quiché,"Baja Verapaz","Alta Verapaz",Petén,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa
1901,17.72,15.55,16.32,15.00,13.37,21.26,18.83,11.26,10.35,14.27,19.66,20.04,13.72,11.70,13.57,14.26,18.10,20.14,20.34,18.11,16.42,17.01,17.85
1902,17.82,15.63,16.39,15.08,13.45,21.33,18.89,11.33,10.44,14.34,19.74,20.11,13.79,11.79,13.66,14.35,18.19,20.28,20.45,18.19,16.49,17.09,17.90
1903,17.83,15.64,16.41,15.09,13.46,21.34,18.91,11.34,10.44,14.35,19.74,20.12,13.80,11.80,13.67,14.36,18.20,20.29,20.46,18.21,16.51,17.11,17.93
1904,17.72,15.55,16.32,15.00,13.37,21.26,18.83,11.26,10.35,14.27,19.66,20.04,13.72,11.70,13.57,14.26,18.10,20.16,20.35,18.11,16.42,17.01,17.85
1905,17.73,15.55,16.32,15.00,13.37,21.26,18.83,11.26,10.35,14.27,19.66,20.04,13.72,11.70,13.57,14.26,18.10,20.19,20.36,18.11,16.42,17.01,17.85
1906,17.45,15.33,16.07,14.77,13.14,21.09,18.65,11.03,10.11,14.05,19.48,19.86,13.48,11.41,13.29,14.00,17.80,19.83,20.06,17.85,16.18,16.78,17.66
1907,17.56,15.42,16.17,14.87,13.23,21.15,18.72,11.12,10.20,14.13,19.55,19.93,13.57,11.53,13.40,14.11,17.92,19.96,20.19,17.96,16.28,16.88,17.73
1908,17.55,15.40,16.16,14.85,13.22,21.14,18.70,11.12,10.20,14.13,19.55,19.93,13.56,11.52,13.40,14.10,17.92,19.95,20.17,17.94,16.26,16.86,17.71
1909,17.71,15.54,16.30,14.99,13.36,21.27,18.81,11.25,10.34,14.26,19.67,20.05,13.70,11.69,13.56,14.25,18.09,20.14,20.33,18.09,16.39,16.99,17.82
1910,16.81,14.82,15.52,14.28,12.64,20.64,18.20,10.53,9.57,13.55,19.03,19.42,12.96,10.80,12.68,13.42,17.16,19.04,19.43,17.27,15.65,16.25,17.19
1911,17.49,15.36,16.10,14.81,13.18,21.10,18.67,11.06,10.13,14.08,19.50,19.88,13.51,11.46,13.33,14.04,17.85,19.90,20.12,17.89,16.21,16.81,17.68
1912,17.64,15.47,16.22,14.91,13.28,21.19,18.75,11.17,10.26,14.18,19.59,19.97,13.63,11.60,13.46,14.16,17.99,20.08,20.26,18.01,16.33,16.93,17.76
1913,17.26,15.16,15.89,14.61,12.98,20.94,18.50,10.88,9.94,13.89,19.33,19.72,13.32,11.23,13.09,13.81,17.60,19.62,19.89,17.67,16.01,16.61,17.50
1914,17.27,15.17,15.91,14.62,12.99,20.94,18.50,10.88,9.95,13.89,19.33,19.72,13.33,11.24,13.11,13.83,17.61,19.64,19.90,17.69,16.04,16.63,17.51
1915,17.46,15.33,16.07,14.77,13.14,21.08,18.65,11.03,10.11,14.06,19.47,19.85,13.49,11.43,13.30,14.01,17.81,19.86,20.09,17.85,16.18,16.78,17.66
1916,17.32,15.21,15.96,14.66,13.03,20.97,18.54,10.92,9.98,13.94,19.37,19.75,13.35,11.27,13.15,13.88,17.68,19.70,19.97,17.75,16.08,16.67,17.55
1917,17.60,15.48,16.27,14.90,13.25,21.15,18.80,11.09,10.15,14.00,19.49,19.82,13.39,11.38,13.37,14.16,18.01,20.04,20.34,18.10,16.42,17.00,17.84
1918,17.65,15.50,16.29,14.93,13.28,21.18,18.83,11.13,10.20,14.09,19.54,19.89,13.51,11.49,13.43,14.20,18.04,20.08,20.39,18.12,16.44,17.01,17.85
1919,17.48,15.37,16.13,14.80,13.16,21.08,18.68,11.02,10.09,13.99,19.44,19.80,13.42,11.37,13.28,14.04,17.85,19.88,20.19,17.93,16.26,16.84,17.70
1920,17.52,15.40,16.16,14.84,13.20,21.10,18.70,11.06,10.12,14.03,19.48,19.84,13.45,11.41,13.32,14.07,17.89,19.93,20.21,17.97,16.29,16.88,17.74
1921,17.40,15.30,16.05,14.73,13.09,21.02,18.62,10.95,10.02,13.94,19.39,19.76,13.36,11.29,13.20,13.95,17.77,19.79,20.09,17.85,16.18,16.77,17.65
1922,17.84,15.66,16.45,15.09,13.45,21.33,18.95,11.33,10.41,14.28,19.70,20.06,13.71,11.71,13.64,14.39,18.24,20.32,20.54,18.27,16.58,17.15,17.97
1923,17.63,15.49,16.26,14.92,13.29,21.18,18.78,11.16,10.24,14.15,19.57,19.94,13.57,11.54,13.44,14.18,18.00,20.06,20.31,18.05,16.37,16.96,17.80
1924,17.51,15.39,16.16,14.83,13.18,21.10,18.70,11.03,10.10,14.01,19.46,19.82,13.44,11.40,13.31,14.06,17.89,19.92,20.21,17.97,16.29,16.88,17.72
1925,17.41,15.31,16.09,14.73,13.08,20.99,18.65,10.91,9.98,13.85,19.33,19.67,13.27,11.24,13.19,13.97,17.80,19.80,20.15,17.91,16.24,16.81,17.69
1926,17.58,15.46,16.24,14.89,13.24,21.14,18.78,11.08,10.15,14.03,19.48,19.83,13.44,11.43,13.37,14.14,17.98,20.00,20.32,18.06,16.38,16.96,17.81
1927,17.64,15.50,16.29,14.93,13.28,21.19,18.81,11.14,10.21,14.11,19.55,19.91,13.53,11.49,13.43,14.21,18.05,20.06,20.39,18.13,16.46,17.01,17.87
1928,17.63,15.50,16.29,14.93,13.28,21.19,18.80,11.14,10.22,14.12,19.55,19.91,13.54,11.52,13.44,14.19,18.02,20.03,20.33,18.09,16.41,17.00,17.84
1929,17.78,15.62,16.41,15.04,13.40,21.29,18.91,11.26,10.35,14.25,19.66,20.03,13.68,11.65,13.58,14.33,18.18,20.22,20.50,18.24,16.54,17.13,17.94
1930,17.44,15.34,16.10,14.77,13.13,21.05,18.67,10.98,10.05,13.96,19.41,19.76,13.38,11.34,13.26,14.01,17.82,19.81,20.13,17.90,16.23,16.82,17.69
1931,17.45,15.33,16.07,14.79,13.15,21.05,18.62,11.01,10.09,13.99,19.43,19.79,13.42,11.39,13.29,14.01,17.83,19.86,20.09,17.86,16.18,16.78,17.66
1932,17.68,15.53,16.31,14.95,13.32,21.19,18.82,11.17,10.26,14.15,19.57,19.93,13.57,11.57,13.50,14.24,18.08,20.12,20.36,18.12,16.43,17.02,17.85
1933,17.75,15.58,16.36,15.01,13.37,21.26,18.89,11.24,10.34,14.22,19.64,20.00,13.66,11.67,13.57,14.29,18.14,20.20,20.39,18.15,16.46,17.06,17.89
1934,17.44,15.30,16.06,14.74,13.10,20.99,18.58,10.98,10.05,13.95,19.37,19.73,13.37,11.35,13.27,14.00,17.83,19.87,20.11,17.86,16.18,16.76,17.60
1935,17.52,15.36,16.14,14.78,13.15,21.02,18.65,11.01,10.10,13.95,19.39,19.73,13.38,11.41,13.33,14.07,17.92,19.98,20.22,17.96,16.28,16.85,17.69
1936,17.95,15.81,16.58,15.25,13.61,21.50,19.10,11.48,10.56,14.45,19.88,20.24,13.88,11.87,13.78,14.51,18.34,20.38,20.62,18.38,16.70,17.28,18.13
1937,17.77,15.62,16.38,15.07,13.44,21.31,18.89,11.33,10.42,14.33,19.72,20.09,13.76,11.73,13.62,14.33,18.15,20.21,20.39,18.16,16.47,17.07,17.91
1938,17.14,14.97,15.76,14.40,12.76,20.64,18.27,10.63,9.72,13.59,19.01,19.37,13.02,11.04,12.95,13.69,17.53,19.61,19.81,17.56,15.87,16.46,17.30
1939,17.47,15.31,16.09,14.73,13.10,20.97,18.60,10.96,10.05,13.92,19.35,19.71,13.36,11.38,13.29,14.01,17.85,19.92,20.14,17.89,16.21,16.79,17.62
1940,17.42,15.27,16.00,14.73,13.10,21.00,18.56,10.98,10.07,13.99,19.40,19.78,13.43,11.40,13.27,13.95,17.77,19.84,20.02,17.79,16.09,16.71,17.55
1941,17.66,15.48,16.23,14.93,13.31,21.21,18.77,11.22,10.31,14.25,19.62,20.00,13.69,11.67,13.51,14.20,18.01,20.10,20.24,18.00,16.30,16.92,17.76
1942,17.34,15.16,15.93,14.60,12.95,20.87,18.50,10.81,9.88,13.76,19.22,19.56,13.19,11.20,13.10,13.84,17.71,19.81,20.06,17.79,16.11,16.65,17.54
1943,17.11,14.92,15.67,14.37,12.72,20.67,18.29,10.63,9.71,13.62,19.03,19.41,13.05,11.04,12.91,13.60,17.45,19.58,19.75,17.49,15.82,16.40,17.27
1944,17.73,15.64,16.30,15.13,13.51,21.47,18.98,11.46,10.54,14.53,19.91,20.34,14.00,11.90,13.67,14.28,18.07,20.05,20.14,18.02,16.35,17.00,17.90
1945,17.58,15.60,16.25,15.09,13.47,21.47,18.97,11.41,10.47,14.47,19.90,20.32,13.90,11.76,13.58,14.22,17.93,19.75,19.97,17.92,16.28,16.97,17.92
1946,17.78,15.69,16.39,15.15,13.54,21.48,18.99,11.48,10.56,14.54,19.93,20.35,13.98,11.90,13.72,14.36,18.14,20.12,20.22,18.08,16.41,17.07,17.94
1947,18.03,15.84,16.59,15.28,13.66,21.57,19.14,11.60,10.71,14.63,19.99,20.39,14.09,12.08,13.92,14.55,18.39,20.48,20.53,18.33,16.63,17.29,18.11
1948,17.90,15.79,16.48,15.28,13.65,21.60,19.11,11.60,10.69,14.63,20.02,20.42,14.09,12.05,13.86,14.47,18.25,20.26,20.31,18.16,16.48,17.17,18.03
1949,17.44,15.37,16.02,14.88,13.23,21.22,18.71,11.15,10.24,14.22,19.63,20.06,13.67,11.59,13.39,13.99,17.76,19.76,19.81,17.69,16.04,16.72,17.63
1950,17.28,15.10,15.82,14.58,12.96,20.86,18.37,10.88,9.98,13.91,19.28,19.68,13.36,11.35,13.19,13.81,17.64,19.73,19.77,17.56,15.84,16.50,17.32
1951,17.60,15.44,16.19,14.89,13.27,21.14,18.71,11.16,10.24,14.17,19.56,19.95,13.62,11.62,13.46,14.14,17.97,20.03,20.19,17.96,16.28,16.89,17.71
1952,17.72,15.54,16.30,14.99,13.37,21.27,18.81,11.26,10.36,14.32,19.69,20.08,13.74,11.74,13.57,14.25,18.08,20.16,20.31,18.07,16.38,16.98,17.81
1953,17.90,15.67,16.44,15.13,13.50,21.38,18.95,11.38,10.48,14.41,19.79,20.17,13.85,11.85,13.71,14.40,18.29,20.38,20.56,18.29,16.59,17.14,17.96
1954,17.24,15.10,15.80,14.59,12.97,20.86,18.40,10.88,9.99,13.93,19.29,19.70,13.37,11.36,13.15,13.79,17.57,19.61,19.84,17.58,15.91,16.50,17.37
1955,17.38,15.22,15.92,14.71,13.09,20.99,18.51,11.02,10.11,14.05,19.44,19.86,13.49,11.48,13.27,13.91,17.70,19.75,19.96,17.71,16.03,16.63,17.49
1956,17.15,15.08,15.73,14.59,12.97,20.89,18.42,10.90,9.98,13.91,19.31,19.70,13.35,11.30,13.07,13.70,17.44,19.44,19.72,17.48,15.84,16.44,17.41
1957,17.99,15.90,16.61,15.36,13.75,21.69,19.21,11.67,10.76,14.68,20.13,20.50,14.13,12.11,13.91,14.56,18.33,20.30,20.54,18.33,16.67,17.29,18.18
1958,18.52,16.43,17.20,15.85,14.21,22.13,19.75,12.08,11.17,15.07,20.50,20.84,14.49,12.50,14.41,15.13,18.94,20.87,21.10,18.93,17.26,17.90,18.76
1959,18.15,16.02,16.79,15.45,13.82,21.72,19.30,11.69,10.79,14.70,20.13,20.49,14.14,12.14,14.03,14.74,18.56,20.55,20.74,18.54,16.85,17.48,18.29
1960,17.81,15.63,16.39,15.08,13.46,21.36,18.93,11.35,10.44,14.37,19.81,20.23,13.83,11.79,13.66,14.35,18.18,20.23,20.43,18.18,16.49,17.09,17.97
1961,17.84,15.72,16.47,15.15,13.52,21.41,18.99,11.43,10.52,14.42,19.82,20.22,13.89,11.86,13.70,14.37,18.18,20.25,20.44,18.22,16.53,17.16,18.00
1962,17.37,15.23,15.98,14.67,13.04,20.94,18.50,10.94,10.04,13.96,19.35,19.74,13.42,11.40,13.24,13.91,17.71,19.77,20.01,17.76,16.08,16.67,17.52
1963,17.58,15.49,16.20,14.97,13.36,21.20,18.75,11.25,10.36,14.32,19.66,20.08,13.76,11.69,13.51,14.17,17.96,19.88,20.20,17.98,16.31,16.91,17.77
1964,17.73,15.52,16.32,14.94,13.32,21.20,18.79,11.22,10.31,14.24,19.62,20.01,13.71,11.69,13.55,14.26,18.17,20.16,20.49,18.18,16.49,17.00,17.82
1965,17.48,15.32,16.10,14.74,13.11,20.99,18.62,10.98,10.08,14.01,19.39,19.77,13.49,11.44,13.30,14.01,17.85,19.88,20.21,17.92,16.26,16.82,17.68
1966,17.68,15.52,16.30,14.96,13.32,21.22,18.83,11.20,10.27,14.22,19.61,19.99,13.65,11.59,13.50,14.22,18.07,20.08,20.43,18.14,16.46,17.00,17.87
1967,17.31,15.07,15.83,14.54,12.91,20.81,18.36,10.83,9.90,13.84,19.22,19.60,13.28,11.22,13.09,13.77,17.66,19.82,19.96,17.67,15.99,16.53,17.36
1968,17.06,14.87,15.62,14.33,12.70,20.58,18.15,10.58,9.68,13.61,18.99,19.39,13.08,11.04,12.88,13.58,17.42,19.52,19.68,17.43,15.73,16.31,17.15
1969,17.97,15.76,16.52,15.22,13.59,21.46,19.02,11.48,10.60,14.53,19.87,20.26,13.98,11.97,13.81,14.50,18.39,20.42,20.58,18.36,16.65,17.20,18.03
1970,17.53,15.32,16.08,14.79,13.16,21.00,18.58,11.03,10.14,14.03,19.42,19.79,13.46,11.46,13.35,14.05,17.90,20.01,20.18,17.91,16.23,16.76,17.60
1971,17.12,14.91,15.67,14.37,12.76,20.61,18.16,10.68,9.79,13.69,19.08,19.46,13.15,11.15,12.97,13.65,17.51,19.59,19.69,17.46,15.77,16.35,17.15
1972,17.80,15.59,16.33,15.06,13.44,21.26,18.84,11.32,10.42,14.32,19.69,20.08,13.75,11.76,13.63,14.31,18.15,20.30,20.39,18.11,16.42,17.02,17.82
1973,17.67,15.49,16.22,14.96,13.36,21.21,18.74,11.28,10.35,14.26,19.66,20.05,13.71,11.70,13.54,14.20,18.01,20.13,20.23,17.97,16.28,16.91,17.73
1974,17.32,15.13,15.90,14.57,12.94,20.82,18.40,10.83,9.92,13.81,19.22,19.60,13.26,11.29,13.16,13.84,17.67,19.82,19.90,17.67,15.99,16.60,17.38
1975,17.60,15.41,16.13,14.90,13.28,21.12,18.64,11.15,10.26,14.17,19.55,19.95,13.62,11.64,13.47,14.12,17.96,20.06,20.19,17.93,16.23,16.82,17.63
1976,17.64,15.49,16.24,14.94,13.31,21.21,18.76,11.22,10.30,14.20,19.62,20.01,13.62,11.64,13.49,14.17,18.00,20.07,20.24,17.98,16.31,16.93,17.76
1977,17.92,15.81,16.56,15.25,13.61,21.54,19.12,11.50,10.57,14.49,19.93,20.32,13.91,11.88,13.77,14.47,18.28,20.32,20.54,18.31,16.66,17.29,18.16
1978,17.81,15.67,16.41,15.13,13.50,21.42,18.98,11.39,10.45,14.37,19.80,20.18,13.82,11.78,13.63,14.34,18.18,20.22,20.38,18.17,16.54,17.14,18.00
1979,18.04,15.86,16.61,15.30,13.66,21.55,19.15,11.53,10.63,14.51,19.94,20.34,13.95,11.95,13.85,14.53,18.40,20.55,20.64,18.39,16.70,17.31,18.16
1980,18.13,15.94,16.73,15.36,13.71,21.61,19.24,11.58,10.67,14.55,19.97,20.36,14.03,12.01,13.91,14.63,18.52,20.61,20.81,18.54,16.90,17.44,18.28
1981,17.99,15.89,16.63,15.35,13.72,21.62,19.19,11.64,10.73,14.63,20.04,20.43,14.06,12.06,13.92,14.57,18.38,20.34,20.52,18.36,16.66,17.34,18.18
1982,18.07,15.93,16.66,15.38,13.76,21.64,19.22,11.67,10.76,14.66,20.06,20.45,14.13,12.13,13.97,14.61,18.40,20.48,20.60,18.37,16.68,17.37,18.21
1983,18.14,16.07,16.81,15.51,13.88,21.77,19.36,11.77,10.85,14.78,20.18,20.57,14.20,12.20,14.04,14.72,18.46,20.50,20.70,18.50,16.84,17.54,18.40
1984,17.64,15.49,16.24,14.96,13.32,21.23,18.78,11.24,10.34,14.24,19.62,20.00,13.66,11.65,13.52,14.19,18.01,20.04,20.23,18.03,16.33,16.94,17.77
1985,17.89,15.74,16.50,15.17,13.53,21.43,19.03,11.41,10.50,14.42,19.82,20.21,13.88,11.87,13.73,14.42,18.23,20.33,20.50,18.27,16.60,17.22,18.03
1986,17.67,15.44,16.23,14.89,13.25,21.13,18.74,11.13,10.23,14.14,19.52,19.91,13.59,11.59,13.46,14.16,18.04,20.18,20.33,18.06,16.37,16.92,17.76
1987,17.96,15.83,16.61,15.26,13.61,21.48,19.16,11.43,10.53,14.41,19.84,20.21,13.86,11.82,13.76,14.50,18.36,20.36,20.73,18.45,16.78,17.31,18.16
1988,18.26,16.17,16.94,15.60,13.96,21.85,19.46,11.83,10.89,14.79,20.22,20.58,14.20,12.20,14.12,14.85,18.67,20.62,20.96,18.74,17.07,17.66,18.49
1989,17.90,15.77,16.55,15.18,13.56,21.44,19.09,11.45,10.53,14.46,19.85,20.21,13.88,11.86,13.74,14.47,18.29,20.29,20.57,18.32,16.64,17.25,18.09
