Variable:,tasmin
,Jordan,Ajloon,Balqa,Aqaba,Karak,Amman,Tafiela,Irbid,Jarash,Ma'an,Madaba,Mafraq,Zarqa
1901,10.80,11.54,11.84,12.11,11.04,10.73,10.65,11.77,11.54,10.95,12.11,10.15,10.58
1902,10.69,11.42,11.72,11.99,10.94,10.61,10.54,11.65,11.42,10.83,11.98,10.05,10.47
1903,9.60,10.36,10.66,10.92,9.88,9.56,9.47,10.59,10.36,9.76,10.92,8.92,9.40
1904,10.23,10.98,11.28,11.56,10.50,10.17,10.10,11.22,10.98,10.39,11.54,9.53,10.00
1905,10.51,11.27,11.57,11.90,10.80,10.46,10.39,11.49,11.27,10.71,11.83,9.74,10.29
1906,10.83,11.54,11.86,12.31,11.15,10.78,10.77,11.75,11.54,11.09,12.17,9.98,10.58
1907,10.17,10.90,11.21,11.62,10.45,10.11,10.07,11.11,10.90,10.40,11.48,9.37,9.93
1908,10.35,11.07,11.39,11.84,10.64,10.31,10.27,11.25,11.07,10.62,11.68,9.50,10.10
1909,11.52,12.26,12.57,12.99,11.83,11.49,11.43,12.45,12.26,11.78,12.86,10.68,11.29
1910,10.41,11.13,11.44,11.83,10.67,10.34,10.27,11.35,11.13,10.61,11.71,9.67,10.16
1911,10.25,11.02,11.32,11.71,10.55,10.22,10.16,11.22,11.02,10.50,11.59,9.39,10.03
1912,10.55,11.23,11.55,11.91,10.79,10.46,10.40,11.47,11.23,10.72,11.84,9.88,10.29
1913,10.55,11.36,11.66,11.88,10.84,10.55,10.43,11.58,11.36,10.74,11.91,9.81,10.38
1914,11.05,11.80,12.10,12.43,11.33,11.00,10.94,12.01,11.80,11.25,12.37,10.30,10.82
1915,11.80,12.51,12.84,13.31,12.13,11.77,11.76,12.69,12.51,12.08,13.15,10.91,11.55
1916,11.72,12.43,12.75,13.17,12.02,11.67,11.64,12.65,12.43,11.95,13.05,10.93,11.47
1917,11.28,11.96,12.27,12.67,11.53,11.19,11.15,12.18,11.96,11.48,12.56,10.56,11.01
1918,11.33,12.08,12.39,12.70,11.62,11.28,11.20,12.30,12.08,11.52,12.67,10.59,11.10
1919,11.67,12.39,12.70,13.11,11.97,11.62,11.57,12.60,12.39,11.90,13.00,10.88,11.43
1920,11.05,11.83,12.13,12.43,11.35,11.03,10.96,12.03,11.83,11.27,12.40,10.27,10.86
1921,10.73,11.43,11.75,12.20,11.04,10.70,10.67,11.60,11.43,11.00,12.06,9.87,10.48
1922,11.56,12.27,12.59,12.97,11.84,11.51,11.45,12.48,12.27,11.77,12.88,10.80,11.32
1923,11.55,12.33,12.63,12.91,11.85,11.52,11.43,12.54,12.33,11.75,12.90,10.81,11.34
1924,11.46,12.18,12.49,12.84,11.74,11.41,11.36,12.40,12.18,11.65,12.77,10.74,11.22
1925,11.45,12.21,12.52,12.82,11.73,11.41,11.34,12.42,12.21,11.65,12.80,10.71,11.23
