Variable:,tasmin
,Kiribati,"Administrative unit not available"
1901,24.24,24.50
1902,24.24,24.50
1903,24.24,24.50
1904,24.24,24.50
1905,24.24,24.50
1906,24.24,24.50
1907,24.24,24.50
1908,24.24,24.50
1909,24.24,24.50
1910,24.24,24.50
1911,24.24,24.50
1912,24.24,24.50
1913,24.24,24.50
1914,24.24,24.50
1915,24.24,24.50
1916,24.24,24.50
1917,24.24,24.50
1918,24.24,24.50
1919,24.24,24.50
1920,24.24,24.50
1921,24.24,24.45
1922,24.82,24.87
1923,25.08,25.00
1924,24.81,24.82
1925,24.83,24.97
1926,24.24,24.50
1927,24.24,24.73
1928,24.24,24.71
1929,24.77,25.02
1930,24.95,25.04
1931,24.24,24.61
1932,24.24,24.64
1933,24.24,24.62
1934,24.24,24.64
1935,24.24,24.64
1936,24.24,24.52
1937,24.24,24.57
1938,24.24,24.49
1939,24.24,24.49
1940,24.24,24.46
1941,24.31,24.54
1942,24.26,24.54
1943,24.58,24.75
1944,24.44,24.69
1945,24.42,24.73
1946,24.35,24.64
1947,24.41,24.67
1948,24.60,24.63
1949,24.24,24.40
1950,24.24,24.35
1951,24.29,24.51
1952,23.56,24.10
1953,23.13,23.71
1954,23.28,23.85
1955,23.51,23.93
1956,23.49,23.98
1957,23.63,24.09
1958,23.81,24.27
1959,23.85,24.34
1960,24.24,24.60
1961,24.24,24.55
1962,24.24,24.59
1963,24.54,24.74
1964,24.24,24.45
1965,24.24,24.43
1966,24.24,24.52
1967,24.26,24.51
1968,24.08,24.31
1969,24.36,24.54
1970,24.17,24.44
1971,23.68,24.04
1972,23.94,24.24
1973,23.90,24.34
1974,23.98,24.35
1975,23.91,24.23
1976,23.97,24.21
1977,24.53,24.63
1978,24.30,24.54
1979,24.25,24.46
1980,24.37,24.55
1981,24.02,24.38
1982,24.38,24.62
1983,24.43,24.74
1984,24.20,24.56
1985,24.31,24.67
1986,24.53,24.75
1987,24.76,24.86
1988,24.51,24.73
1989,24.27,24.52
1990,24.48,24.63
1991,24.10,24.36
1992,24.24,24.46
1993,24.24,24.44
1994,24.24,24.58
1995,24.24,24.64
1996,24.24,24.61
1997,24.24,24.59
1998,24.24,24.68
1999,24.24,24.56
2000,24.24,24.60
2001,24.24,24.63
2002,24.24,24.60
2003,24.24,24.62
2004,24.24,24.62
2005,24.24,24.61
2006,24.24,24.59
2007,24.24,24.57
2008,24.24,24.55
2009,24.24,24.57
2010,24.24,24.52
2011,24.24,24.54
2012,24.24,24.62
2013,24.24,24.61
2014,24.24,24.61
2015,24.24,24.63
2016,24.24,24.64
2017,24.24,24.63
2018,24.24,24.62
2019,24.24,24.66
2020,24.24,24.73
