Variable:,tasmin
,Lesotho,Berea,"Butha Buthe",Leribe,Mafeteng,Maseru,"Mohale's Hoek",Mokhotlong,"Qacha's Nek",Quthing,"Thaba Tseka"
1901,4.50,5.56,2.79,4.52,6.80,5.71,5.75,2.40,4.07,5.33,3.23
1902,4.33,5.41,2.63,4.37,6.63,5.53,5.58,2.22,3.89,5.17,3.05
1903,4.31,5.39,2.67,4.38,6.57,5.51,5.52,2.26,3.86,5.09,3.04
1904,4.44,5.51,2.72,4.45,6.73,5.63,5.69,2.33,4.02,5.29,3.16
1905,4.40,5.48,2.74,4.45,6.70,5.60,5.64,2.32,3.96,5.22,3.12
1906,4.19,5.26,2.48,4.21,6.48,5.40,5.46,2.09,3.76,5.04,2.92
1907,4.04,5.11,2.31,4.04,6.35,5.25,5.32,1.91,3.61,4.90,2.76
1908,4.22,5.31,2.55,4.27,6.52,5.43,5.46,2.13,3.77,5.04,2.94
1909,4.28,5.37,2.53,4.29,6.62,5.51,5.58,2.13,3.83,5.16,2.99
1910,3.90,4.98,2.03,3.85,6.32,5.17,5.26,1.66,3.46,4.85,2.59
1911,4.30,5.35,2.48,4.25,6.67,5.53,5.63,2.13,3.90,5.24,3.01
1912,4.57,5.65,2.75,4.55,6.94,5.81,5.90,2.37,4.13,5.48,3.28
1913,4.76,5.84,2.98,4.76,7.12,6.00,6.07,2.61,4.33,5.66,3.47
1914,4.88,5.96,3.11,4.90,7.21,6.10,6.16,2.74,4.45,5.76,3.60
1915,4.62,5.70,2.82,4.60,6.97,5.86,5.93,2.43,4.19,5.52,3.33
1916,4.48,5.55,2.62,4.43,6.90,5.74,5.84,2.26,4.06,5.43,3.17
1917,4.06,5.14,2.30,4.06,6.41,5.30,5.36,1.91,3.62,4.96,2.76
1918,4.43,5.50,2.61,4.40,6.81,5.67,5.76,2.25,4.00,5.35,3.13
1919,4.75,5.83,2.96,4.72,7.12,6.00,6.07,2.57,4.33,5.66,3.46
1920,4.71,5.77,2.88,4.67,7.09,5.95,6.04,2.51,4.29,5.64,3.41
1921,4.20,5.28,2.38,4.17,6.56,5.44,5.53,2.00,3.78,5.13,2.91
1922,4.84,5.93,3.12,4.87,7.16,6.06,6.11,2.72,4.40,5.69,3.57
1923,4.90,5.98,3.10,4.88,7.26,6.14,6.20,2.73,4.47,5.79,3.61
1924,4.20,5.28,2.42,4.19,6.55,5.44,5.51,2.03,3.77,5.11,2.90
1925,4.67,5.74,2.86,4.64,7.02,5.89,5.99,2.50,4.25,5.58,3.38
1926,4.73,5.81,2.93,4.72,7.09,5.97,6.04,2.56,4.32,5.63,3.44
1927,5.02,6.09,3.15,4.97,7.44,6.28,6.38,2.77,4.60,5.98,3.71
1928,4.68,5.76,2.89,4.67,7.08,5.92,5.99,2.50,4.24,5.58,3.38
1929,4.87,5.94,3.11,4.87,7.20,6.09,6.15,2.73,4.44,5.73,3.58
1930,4.64,5.71,2.83,4.61,7.02,5.87,5.96,2.45,4.21,5.56,3.34
1931,5.10,6.19,3.33,5.10,7.44,6.32,6.37,2.95,4.67,5.96,3.82
1932,5.38,6.46,3.58,5.36,7.75,6.63,6.69,3.21,4.97,6.28,4.10
1933,5.15,6.27,3.28,5.12,7.56,6.42,6.49,2.91,4.74,6.10,3.85
1934,5.36,6.40,3.56,5.32,7.71,6.59,6.67,3.19,4.95,6.28,4.07
1935,4.38,5.47,2.56,4.34,6.77,5.64,5.73,2.16,3.94,5.31,3.08
1936,4.77,5.84,2.93,4.73,7.17,6.03,6.10,2.55,4.34,5.70,3.47
1937,5.10,6.16,3.19,5.02,7.52,6.37,6.48,2.84,4.69,6.09,3.79
1938,5.20,6.28,3.46,5.21,7.52,6.41,6.47,3.09,4.79,6.07,3.92
1939,4.86,5.91,3.03,4.81,7.25,6.10,6.20,2.67,4.45,5.80,3.56
1940,5.17,6.25,3.42,5.19,7.42,6.37,6.40,3.09,4.78,5.97,3.94
1941,5.31,6.35,3.65,5.34,7.50,6.47,6.51,3.29,4.93,6.10,4.07
1942,5.46,6.53,3.72,5.47,7.73,6.67,6.72,3.37,5.07,6.31,4.20
1943,4.78,5.83,3.04,4.78,7.06,5.97,6.03,2.70,4.40,5.62,3.54
1944,5.04,6.07,3.36,5.06,7.29,6.21,6.26,2.99,4.65,5.86,3.78
1945,4.98,6.00,3.26,4.97,7.33,6.17,6.29,2.87,4.55,5.89,3.67
1946,5.18,6.24,3.50,5.21,7.43,6.36,6.43,3.12,4.78,6.00,3.94
1947,5.33,6.41,3.65,5.36,7.61,6.53,6.57,3.25,4.91,6.15,4.07
1948,4.82,5.87,3.11,4.84,7.08,6.01,6.07,2.76,4.42,5.67,3.56
1949,5.18,6.23,3.43,5.16,7.47,6.38,6.44,3.07,4.79,6.05,3.91
1950,5.34,6.38,3.58,5.32,7.61,6.53,6.61,3.24,4.95,6.21,4.08
1951,4.47,5.53,2.81,4.53,6.69,5.63,5.65,2.44,4.07,5.25,3.23
1952,5.24,6.30,3.58,5.29,7.44,6.39,6.43,3.21,4.84,6.03,4.00
1953,4.81,5.80,2.99,4.73,7.18,6.03,6.15,2.64,4.43,5.78,3.52
1954,4.75,5.82,3.01,4.75,7.04,5.96,5.97,2.66,4.36,5.55,3.49
1955,4.27,5.33,2.58,4.29,6.53,5.46,5.51,2.19,3.88,5.11,3.01
1956,4.87,5.95,3.18,4.90,7.13,6.07,6.07,2.82,4.48,5.64,3.63
1957,5.23,6.31,3.58,5.29,7.48,6.42,6.41,3.22,4.82,5.98,3.99
1958,5.14,6.22,3.51,5.23,7.38,6.32,6.29,3.13,4.71,5.86,3.88
1959,4.87,5.93,3.12,4.86,7.19,6.09,6.13,2.78,4.48,5.70,3.61
1960,5.36,6.46,3.47,5.32,7.84,6.65,6.71,3.15,4.88,6.25,4.07
1961,5.65,6.73,3.90,5.69,8.01,6.87,6.94,3.51,5.19,6.53,4.36
1962,5.28,6.35,3.47,5.23,7.66,6.50,6.58,3.16,4.91,6.17,3.99
1963,5.31,6.39,3.48,5.29,7.73,6.55,6.65,3.12,4.84,6.24,3.99
1964,4.94,5.98,3.27,4.99,7.08,6.06,6.10,2.96,4.62,5.74,3.75
1965,5.04,6.10,3.30,5.05,7.32,6.24,6.28,2.96,4.71,5.86,3.80
1966,5.46,6.53,3.64,5.42,7.91,6.71,6.75,3.30,5.07,6.28,4.18
1967,5.26,6.31,3.44,5.18,7.63,6.48,6.54,3.11,4.88,6.12,4.02
1968,4.86,5.92,3.15,4.90,7.19,6.05,6.09,2.76,4.45,5.69,3.59
1969,5.78,6.84,4.08,5.81,8.13,6.97,7.03,3.64,5.41,6.64,4.51
1970,5.45,6.53,3.67,5.43,7.82,6.67,6.77,3.26,5.04,6.39,4.13
1971,5.39,6.39,3.67,5.36,7.62,6.54,6.65,3.32,5.03,6.29,4.14
1972,5.32,6.34,3.57,5.28,7.56,6.48,6.56,3.26,5.00,6.18,4.07
1973,5.30,6.42,3.69,5.40,7.58,6.49,6.49,3.24,4.87,6.03,4.05
1974,5.47,6.58,3.62,5.42,8.00,6.79,6.84,3.22,4.93,6.37,4.16
1975,5.02,6.06,3.42,5.05,7.15,6.17,6.14,3.07,4.68,5.77,3.84
1976,5.14,6.18,3.30,5.08,7.54,6.40,6.44,3.01,4.69,5.99,3.90
1977,5.53,6.55,3.81,5.50,7.74,6.68,6.78,3.50,5.19,6.43,4.29
1978,5.37,6.31,3.82,5.40,7.34,6.41,6.44,3.53,5.16,6.10,4.24
1979,5.88,6.97,4.23,5.97,8.04,7.04,7.05,3.84,5.49,6.62,4.66
1980,5.30,6.31,3.48,5.23,7.56,6.47,6.55,3.20,5.02,6.18,4.09
1981,4.97,6.04,3.19,4.99,7.23,6.21,6.23,2.91,4.51,5.80,3.72
1982,5.57,6.63,3.83,5.60,7.78,6.76,6.83,3.46,5.21,6.50,4.29
1983,6.18,7.23,4.56,6.25,8.41,7.35,7.42,4.13,5.76,7.04,4.89
1984,5.77,6.85,4.08,5.80,8.05,6.98,7.00,3.71,5.35,6.57,4.48
1985,6.05,7.22,4.19,6.06,8.41,7.33,7.41,3.87,5.52,6.93,4.73
1986,6.02,7.18,4.27,6.06,8.38,7.31,7.30,3.89,5.48,6.82,4.70
1987,6.20,7.29,4.56,6.27,8.39,7.41,7.36,4.23,5.77,6.89,4.96
1988,5.76,6.85,4.00,5.78,8.00,6.97,7.03,3.66,5.31,6.60,4.50
1989,5.45,6.52,3.76,5.46,7.54,6.62,6.63,3.47,5.03,6.23,4.25
1990,5.51,6.54,3.95,5.60,7.48,6.61,6.55,3.64,5.25,6.16,4.37
1991,5.88,6.84,4.18,5.87,8.04,7.00,7.12,3.85,5.58,6.73,4.69
1992,5.76,6.79,4.22,5.87,7.73,6.84,6.80,3.94,5.48,6.44,4.60
1993,6.10,7.15,4.47,6.18,8.27,7.24,7.28,4.14,5.73,6.88,4.86
1994,4.84,5.91,3.04,4.77,7.06,6.02,6.09,2.77,4.50,5.71,3.60
1995,5.78,6.97,4.11,5.85,7.89,6.95,6.94,3.79,5.39,6.52,4.56
1996,5.64,6.75,4.04,5.70,7.77,6.78,6.82,3.68,5.23,6.41,4.40
1997,5.72,6.75,4.17,5.74,7.70,6.76,6.83,3.87,5.41,6.52,4.51
1998,5.91,7.01,4.21,5.92,8.03,7.03,7.15,3.92,5.52,6.78,4.64
1999,6.13,7.26,4.27,6.11,8.45,7.37,7.48,3.94,5.71,7.08,4.80
2000,5.54,6.60,3.95,5.60,7.70,6.67,6.73,3.56,5.15,6.33,4.29
