Variable:,tasmin
,"Macao SAR, China","Administrative unit not available"
1901,18.83,18.83
1902,19.38,19.38
1903,18.71,18.71
1904,18.59,18.59
1905,19.09,19.09
1906,19.17,19.17
1907,19.06,19.06
1908,19.00,19.00
1909,19.33,19.33
1910,18.97,18.97
1911,18.88,18.88
1912,18.76,18.76
1913,18.71,18.71
1914,19.42,19.42
1915,19.55,19.55
1916,18.76,18.76
1917,18.21,18.21
1918,18.63,18.63
1919,19.18,19.18
1920,19.45,19.45
1921,18.98,18.98
1922,19.78,19.78
1923,19.48,19.48
1924,19.81,19.81
1925,19.18,19.18
1926,19.55,19.55
1927,19.23,19.23
1928,19.88,19.88
1929,19.68,19.68
1930,19.71,19.71
1931,19.89,19.89
1932,19.23,19.23
1933,19.55,19.55
1934,19.14,19.14
1935,20.00,20.00
1936,19.14,19.14
1937,20.06,20.06
1938,19.87,19.87
1939,19.21,19.21
1940,19.18,19.18
1941,19.64,19.64
1942,19.42,19.42
1943,19.13,19.13
1944,19.21,19.21
1945,18.67,18.67
1946,20.08,20.08
1947,18.95,18.95
1948,19.71,19.71
1949,19.63,19.63
1950,19.34,19.34
1951,19.17,19.17
1952,19.68,19.68
1953,19.88,19.88
1954,19.53,19.53
1955,19.12,19.12
1956,19.28,19.28
1957,19.33,19.33
1958,19.44,19.44
1959,19.77,19.77
1960,19.69,19.69
1961,19.71,19.71
1962,18.93,18.93
1963,19.23,19.23
1964,19.63,19.63
1965,19.64,19.64
1966,19.95,19.95
1967,19.08,19.08
1968,19.33,19.33
1969,19.03,19.03
1970,19.18,19.18
1971,18.94,18.94
1972,19.48,19.48
1973,19.96,19.96
1974,19.08,19.08
1975,19.56,19.56
1976,18.96,18.96
1977,19.48,19.48
1978,19.61,19.61
1979,19.67,19.67
1980,19.69,19.69
1981,19.78,19.78
1982,19.71,19.71
1983,19.63,19.63
1984,19.14,19.14
1985,19.46,19.46
1986,19.55,19.55
1987,20.44,20.44
1988,19.58,19.58
1989,19.88,19.88
1990,20.16,20.16
1991,20.18,20.18
1992,19.50,19.50
1993,19.79,19.79
1994,20.26,20.26
1995,19.70,19.70
1996,19.63,19.63
1997,20.07,20.07
1998,20.79,20.79
1999,20.19,20.19
2000,20.13,20.13
2001,20.30,20.30
2002,20.69,20.69
2003,20.43,20.43
2004,20.00,20.00
2005,20.21,20.21
2006,20.61,20.61
2007,20.48,20.48
2008,19.82,19.82
2009,20.33,20.33
2010,20.27,20.27
2011,19.44,19.44
2012,20.16,20.16
2013,20.15,20.15
2014,20.26,20.26
2015,20.86,20.86
2016,20.58,20.58
2017,20.52,20.52
2018,20.47,20.47
2019,20.78,20.78
2020,20.94,20.94
