Variable:,tasmin
,Namibia,Caprivi,Erongo,Hardap,Karas,Kavango,Khomas,Kunene,Ohangwena,Omaheke,Omusati,Oshana,Oshikoto,Otjozondjupa
1901,12.49,14.92,13.39,11.26,11.18,14.50,11.74,12.97,14.53,11.97,13.32,14.12,14.08,12.98
1902,12.44,15.14,13.39,11.16,11.03,14.52,11.70,12.97,14.53,11.92,13.33,14.12,14.08,12.98
1903,12.43,15.25,13.39,11.17,10.86,14.54,11.74,12.97,14.53,11.98,13.33,14.12,14.08,12.99
1904,12.39,14.42,13.39,11.15,10.97,14.34,11.71,12.97,14.52,11.84,13.32,14.12,14.08,12.92
1905,12.49,15.10,13.39,11.30,11.14,14.49,11.79,12.97,14.52,12.01,13.32,14.12,14.08,12.98
1906,12.38,14.48,13.39,11.13,10.94,14.33,11.70,12.96,14.51,11.82,13.31,14.11,14.07,12.91
1907,12.35,14.20,13.39,11.10,10.93,14.23,11.68,12.96,14.51,11.74,13.32,14.11,14.07,12.87
1908,12.45,14.92,13.39,11.23,11.03,14.45,11.75,12.97,14.52,11.95,13.32,14.12,14.08,12.96
1909,12.47,14.62,13.39,11.28,11.25,14.33,11.75,12.97,14.53,11.88,13.33,14.12,14.08,12.91
1910,12.44,14.29,13.39,11.24,11.21,14.27,11.73,12.98,14.53,11.83,13.33,14.12,14.08,12.89
1911,12.48,14.31,13.39,11.31,11.29,14.28,11.76,12.98,14.54,11.88,13.34,14.13,14.08,12.90
1912,12.54,15.02,13.39,11.38,11.33,14.47,11.81,12.97,14.53,12.03,13.33,14.12,14.08,12.98
1913,12.55,15.21,13.39,11.37,11.32,14.53,11.81,12.97,14.53,12.06,13.33,14.12,14.08,12.99
1914,12.57,15.43,13.39,11.43,11.35,14.54,11.84,12.97,14.52,12.10,13.32,14.12,14.08,13.00
1915,12.53,14.98,13.39,11.37,11.34,14.38,11.80,12.97,14.53,11.96,13.33,14.12,14.08,12.93
1916,12.52,15.10,13.39,11.35,11.29,14.45,11.80,12.97,14.52,11.99,13.32,14.12,14.08,12.96
1917,12.44,15.05,13.39,11.16,11.11,14.44,11.69,12.97,14.53,11.86,13.33,14.12,14.08,12.95
1918,12.35,13.99,13.38,11.28,11.27,13.73,11.75,12.96,14.32,11.64,13.32,14.07,13.84,12.59
1919,12.49,14.35,13.39,11.48,11.48,14.00,11.85,12.96,14.39,11.89,13.32,14.09,13.92,12.74
1920,12.54,14.95,13.39,11.40,11.38,14.37,11.83,12.97,14.52,11.98,13.32,14.12,14.06,12.92
1921,12.42,14.71,13.39,11.18,11.05,14.38,11.74,12.97,14.56,11.85,13.33,14.13,14.10,12.93
1922,12.70,15.64,13.39,11.53,11.42,14.92,11.92,12.98,14.67,12.32,13.33,14.17,14.25,13.22
1923,12.60,14.88,13.39,11.50,11.46,14.47,11.88,12.97,14.56,12.12,13.32,14.14,14.11,13.00
1924,12.46,14.99,13.39,11.25,11.15,14.37,11.77,12.98,14.52,11.88,13.34,14.12,14.06,12.90
1925,12.42,14.53,13.38,11.31,11.33,14.03,11.76,12.97,14.39,11.75,13.32,14.08,13.92,12.72
1926,12.50,14.90,13.39,11.41,11.33,14.23,11.83,12.97,14.45,11.94,13.33,14.11,13.99,12.84
1927,12.62,14.56,13.39,11.63,11.80,14.14,11.89,12.97,14.44,12.00,13.33,14.09,13.98,12.82
1928,12.67,15.41,13.39,11.52,11.46,14.75,11.91,12.98,14.64,12.27,13.34,14.16,14.19,13.14
1929,12.65,15.34,13.39,11.53,11.52,14.66,11.90,12.97,14.59,12.18,13.32,14.14,14.15,13.07
1930,12.54,14.59,13.39,11.45,11.50,14.23,11.84,12.97,14.50,11.95,13.33,14.12,14.03,12.86
1931,12.82,15.18,13.60,11.76,11.72,14.74,12.16,13.05,14.64,12.42,13.38,14.21,14.23,13.23
1932,12.74,14.66,13.49,11.79,11.89,14.37,12.04,13.00,14.53,12.21,13.33,14.14,14.10,13.01
1933,12.97,14.91,13.92,12.15,12.00,14.57,12.49,13.15,14.60,12.48,13.44,14.25,14.22,13.27
1934,12.60,15.73,13.12,11.41,11.63,14.69,11.67,12.90,14.59,12.12,13.29,14.09,14.10,12.95
1935,12.23,14.61,12.81,10.91,11.08,14.26,11.26,12.80,14.49,11.70,13.22,13.99,13.95,12.64
1936,12.45,14.48,13.26,11.35,11.39,14.15,11.70,12.93,14.47,11.88,13.31,14.08,13.99,12.78
1937,12.51,14.20,13.33,11.54,11.70,13.89,11.76,12.96,14.39,11.83,13.32,14.07,13.92,12.68
