Variable:,tasmin
,"New Caledonia","Administrative unit not available"
1901,19.44,19.55
1902,18.71,18.82
1903,19.46,19.57
1904,18.45,18.56
1905,18.68,18.79
1906,19.07,19.18
1907,19.56,19.67
1908,19.06,19.17
1909,19.71,19.82
1910,20.43,20.54
1911,18.98,19.09
1912,18.98,19.09
1913,18.98,19.09
1914,18.98,19.09
1915,19.29,19.40
1916,19.29,19.40
1917,19.11,19.22
1918,18.98,19.09
1919,18.96,19.07
1920,19.11,19.22
1921,19.17,19.28
1922,18.88,19.00
1923,18.98,19.09
1924,19.09,19.20
1925,19.18,19.29
1926,19.05,19.16
1927,18.88,18.99
1928,18.94,19.05
1929,18.99,19.10
1930,19.09,19.20
1931,19.09,19.20
1932,19.28,19.40
1933,19.03,19.15
1934,18.99,19.10
1935,19.08,19.19
1936,18.85,18.96
1937,18.86,18.97
1938,18.95,19.06
1939,18.74,18.85
1940,18.71,18.82
1941,19.08,19.19
1942,19.69,19.80
1943,19.27,19.38
1944,19.22,19.33
1945,18.71,18.82
1946,19.42,19.53
1947,19.40,19.51
1948,19.45,19.56
1949,19.54,19.65
1950,19.58,19.70
1951,18.67,18.78
1952,18.88,18.99
1953,18.66,18.77
1954,18.68,18.79
1955,18.75,18.87
1956,18.76,18.87
1957,18.29,18.40
1958,18.82,18.92
1959,18.67,18.79
1960,18.55,18.66
1961,19.23,19.34
1962,18.97,19.08
1963,18.77,18.88
1964,19.08,19.18
1965,18.16,18.28
1966,18.11,18.22
1967,19.10,19.21
1968,18.48,18.58
1969,18.92,19.03
1970,19.45,19.56
1971,18.95,19.05
1972,18.68,18.79
1973,19.60,19.71
1974,19.04,19.15
1975,19.28,19.40
1976,19.08,19.20
1977,18.80,18.92
1978,18.81,18.93
1979,18.86,18.98
1980,19.00,19.11
1981,18.93,19.04
1982,18.81,18.92
1983,19.03,19.14
1984,19.25,19.36
1985,19.09,19.20
1986,18.87,18.97
1987,18.82,18.93
1988,19.91,20.02
1989,19.19,19.29
1990,19.35,19.45
1991,18.79,18.89
1992,18.82,18.92
1993,18.56,18.66
1994,18.64,18.75
1995,19.41,19.51
1996,19.33,19.42
1997,18.87,18.98
1998,20.02,20.13
1999,19.71,19.83
2000,19.27,19.39
2001,19.36,19.47
2002,19.36,19.47
2003,19.20,19.31
2004,19.15,19.26
2005,19.24,19.35
2006,19.00,19.11
2007,19.53,19.64
2008,19.45,19.55
2009,19.19,19.31
2010,19.51,19.62
2011,19.40,19.51
2012,19.07,19.18
2013,19.03,19.14
2014,19.00,19.11
2015,19.19,19.30
2016,19.75,19.87
2017,19.71,19.82
2018,19.34,19.46
2019,19.23,19.34
2020,19.76,19.87
