Variable:,tasmin
,Niger,Agadez,Diffa,Dosso,Maradi,Niamey,Tahoua,Tillaberi,Zinder
1901,19.48,18.52,19.42,21.75,20.57,21.84,21.45,21.64,20.09
1902,19.51,18.53,19.42,21.86,20.57,22.03,21.53,21.83,20.09
1903,19.57,18.54,19.42,22.11,20.58,22.41,21.70,22.24,20.09
1904,19.68,18.57,19.44,22.48,20.93,22.72,22.00,22.51,20.22
1905,19.44,18.45,19.33,21.94,20.28,22.23,21.44,22.06,19.87
1906,19.61,18.62,19.38,21.92,20.94,22.06,21.71,21.87,20.26
1907,19.48,18.54,19.47,21.51,20.64,21.64,21.33,21.42,20.22
1908,19.35,18.52,19.35,20.96,20.31,21.17,20.98,21.01,20.04
1909,19.35,18.48,19.41,21.16,20.16,21.44,21.03,21.28,19.98
1910,19.59,18.61,19.27,21.98,21.01,22.07,21.73,21.83,20.21
1911,19.58,18.57,19.38,21.97,21.15,21.99,21.71,21.71,20.25
1912,19.72,18.65,19.18,22.51,21.50,22.57,22.18,22.29,20.28
1913,19.47,18.61,19.04,21.69,20.60,21.78,21.51,21.59,19.95
1914,19.57,18.65,19.18,21.91,20.75,22.03,21.69,21.86,20.10
1915,19.25,18.46,19.29,20.94,19.96,21.05,20.81,20.90,19.85
1916,19.12,18.44,19.24,20.44,19.82,20.38,20.45,20.21,19.78
1917,19.15,18.46,19.00,20.79,19.94,20.78,20.71,20.61,19.62
1918,19.30,18.49,19.29,21.13,20.40,21.00,21.01,20.77,19.96
1919,19.56,18.56,19.11,22.31,20.73,22.58,21.86,22.39,19.93
1920,19.44,18.52,19.18,21.83,20.29,22.17,21.45,22.02,19.84
1921,19.48,18.52,19.36,21.80,20.30,22.13,21.44,22.00,19.98
1922,19.24,18.47,19.10,21.08,19.93,21.26,20.90,21.13,19.71
1923,19.60,18.79,19.78,21.24,20.16,21.40,21.12,21.25,20.27
1924,19.61,18.71,19.59,21.62,20.30,21.92,21.38,21.81,20.18
1925,18.95,18.16,18.70,21.06,19.48,21.46,20.73,21.34,19.18
1926,19.67,18.89,19.66,21.43,20.22,21.63,21.26,21.50,20.20
1927,19.85,19.07,19.93,21.42,20.54,21.49,21.37,21.33,20.56
1928,19.45,18.75,19.38,21.00,19.88,21.22,20.95,21.12,19.96
1929,19.03,18.17,18.89,20.96,19.78,21.16,20.88,21.05,19.63
1930,20.33,19.44,20.07,22.32,21.41,22.35,22.28,22.17,21.08
1931,20.44,19.51,20.22,22.55,21.43,22.67,22.35,22.47,21.20
1932,19.63,18.60,19.54,22.02,20.90,22.13,21.68,21.92,20.33
1933,19.39,18.50,19.32,21.22,20.55,21.34,21.18,21.12,20.10
1934,19.70,18.80,19.60,21.72,20.65,21.85,21.52,21.67,20.43
1935,19.85,18.94,19.61,21.87,20.77,22.14,21.79,21.99,20.54
1936,19.45,18.54,19.61,21.05,20.13,21.38,21.08,21.27,20.32
1937,20.19,19.04,20.11,22.78,21.23,23.19,22.34,23.08,20.93
1938,20.57,19.41,20.93,22.79,21.33,23.20,22.39,23.13,21.55
1939,20.32,19.14,20.35,23.03,21.48,23.31,22.52,23.13,21.08
1940,19.55,18.50,19.42,22.13,20.58,22.43,21.69,22.26,20.09
1941,20.56,19.41,20.54,23.03,21.88,23.20,22.75,23.03,21.45
1942,20.22,19.06,20.18,22.82,21.48,23.02,22.50,22.85,20.98
1943,19.59,18.54,19.44,22.16,20.72,22.41,21.81,22.22,20.14
1944,19.57,18.44,19.40,22.34,20.73,22.65,21.86,22.47,20.13
1945,19.06,18.01,18.86,21.77,20.11,22.11,21.27,21.94,19.47
1946,19.41,18.41,19.20,21.92,20.41,22.19,21.53,22.02,19.86
1947,19.50,18.66,19.27,21.61,20.05,22.03,21.28,21.95,19.84
1948,18.94,17.95,18.82,21.42,19.81,21.76,21.01,21.62,19.35
