Variable:,tasmin
,Niue,"Administrative unit not available"
1901,21.39,21.40
1902,21.35,21.36
1903,21.19,21.19
1904,21.00,21.01
1905,21.06,21.06
1906,21.41,21.42
1907,21.09,21.10
1908,21.11,21.11
1909,20.95,20.96
1910,20.42,20.43
1911,20.81,20.81
1912,21.32,21.33
1913,21.05,21.06
1914,21.49,21.50
1915,21.21,21.21
1916,21.06,21.06
1917,20.88,20.88
1918,20.74,20.75
1919,21.43,21.43
1920,21.01,21.02
1921,21.78,21.78
1922,22.00,22.00
1923,20.85,20.86
1924,21.29,21.29
1925,21.23,21.23
1926,21.25,21.25
1927,21.43,21.44
1928,21.30,21.31
1929,21.11,21.12
1930,21.09,21.10
1931,21.21,21.22
1932,21.31,21.31
1933,21.02,21.03
1934,21.16,21.17
1935,21.62,21.63
1936,21.30,21.30
1937,21.16,21.17
1938,21.42,21.42
1939,20.88,20.88
1940,21.22,21.23
1941,21.42,21.43
1942,21.67,21.67
1943,21.27,21.28
1944,20.85,20.86
1945,21.35,21.36
1946,21.20,21.21
1947,21.45,21.45
1948,20.82,20.82
1949,21.56,21.56
1950,21.76,21.76
1951,21.41,21.41
1952,21.79,21.80
1953,21.65,21.65
1954,22.20,22.20
1955,21.88,21.89
1956,21.43,21.43
1957,21.56,21.56
1958,21.78,21.78
1959,22.16,22.16
1960,21.68,21.69
1961,21.83,21.84
1962,21.69,21.69
1963,21.57,21.58
1964,21.70,21.71
1965,21.12,21.13
1966,21.59,21.60
1967,21.60,21.61
1968,21.36,21.36
1969,21.52,21.52
1970,21.81,21.81
1971,21.27,21.27
1972,21.65,21.66
1973,21.98,21.98
1974,21.13,21.13
1975,21.44,21.44
1976,21.22,21.22
1977,21.65,21.65
1978,21.48,21.48
1979,21.40,21.40
1980,21.74,21.75
1981,21.41,21.42
1982,21.63,21.63
1983,21.83,21.83
1984,21.73,21.73
1985,21.75,21.75
1986,21.60,21.61
1987,21.41,21.41
1988,22.30,22.31
1989,21.73,21.74
1990,22.21,22.21
1991,22.12,22.12
1992,22.21,22.22
1993,22.07,22.07
1994,22.07,22.08
1995,22.23,22.23
1996,22.44,22.45
1997,22.25,22.26
1998,22.37,22.37
1999,22.13,22.14
2000,22.32,22.32
2001,22.62,22.63
2002,22.73,22.74
2003,22.51,22.52
2004,22.39,22.40
2005,22.74,22.75
2006,22.44,22.45
2007,22.73,22.74
2008,22.39,22.40
2009,22.36,22.36
2010,22.09,22.09
2011,22.09,22.10
2012,22.22,22.23
2013,22.47,22.48
2014,22.27,22.27
2015,22.23,22.24
2016,22.70,22.71
2017,22.55,22.56
2018,22.40,22.41
2019,22.58,22.59
2020,22.54,22.54
