Variable:,tasmin
,Nauru,"Administrative unit not available"
1901,24.60,24.60
1902,24.60,24.60
1903,24.60,24.60
1904,24.60,24.60
1905,24.60,24.60
1906,24.60,24.60
1907,24.60,24.60
1908,24.60,24.60
1909,24.60,24.60
1910,24.60,24.60
1911,24.60,24.60
1912,24.60,24.60
1913,24.60,24.60
1914,24.60,24.60
1915,24.60,24.60
1916,24.60,24.60
1917,24.60,24.60
1918,24.60,24.60
1919,24.60,24.60
1920,24.60,24.60
1921,24.35,24.35
1922,24.44,24.44
1923,24.21,24.21
1924,24.22,24.22
1925,24.92,24.92
1926,24.60,24.60
1927,25.73,25.73
1928,25.63,25.63
1929,25.33,25.33
1930,24.82,24.82
1931,25.12,25.12
1932,25.30,25.30
1933,25.13,25.13
1934,25.22,25.22
1935,25.26,25.26
1936,24.60,24.60
1937,24.80,24.80
1938,24.48,24.48
1939,24.42,24.42
1940,24.18,24.18
1941,24.36,24.36
1942,24.60,24.60
1943,24.60,24.60
1944,24.60,24.60
1945,24.60,24.60
1946,24.60,24.60
1947,24.52,24.52
1948,23.78,23.78
1949,23.93,23.93
1950,23.95,23.95
1951,24.37,24.37
1952,24.70,24.70
1953,24.45,24.45
1954,24.63,24.63
1955,24.23,24.23
1956,24.56,24.56
1957,24.45,24.45
1958,24.61,24.61
1959,24.77,24.77
1960,24.62,24.62
1961,24.51,24.51
1962,24.69,24.69
1963,24.71,24.71
1964,24.23,24.23
1965,24.19,24.19
1966,24.61,24.61
1967,24.54,24.54
1968,24.53,24.53
1969,24.54,24.54
1970,24.52,24.52
1971,24.47,24.47
1972,24.39,24.39
1973,24.92,24.92
1974,24.68,24.68
1975,24.38,24.38
1976,24.30,24.30
1977,24.34,24.34
1978,24.73,24.73
1979,24.58,24.58
1980,24.61,24.61
1981,24.70,24.70
1982,24.54,24.54
1983,24.94,24.94
1984,25.06,25.06
1985,25.13,25.13
1986,24.84,24.84
1987,24.49,24.49
1988,24.62,24.62
1989,24.66,24.66
1990,24.66,24.66
1991,24.68,24.68
1992,24.65,24.65
1993,24.55,24.55
1994,24.68,24.68
1995,24.79,24.79
1996,24.74,24.74
1997,24.69,24.69
1998,24.78,24.78
1999,24.49,24.49
2000,24.62,24.62
2001,24.68,24.68
2002,24.70,24.70
2003,24.71,24.71
2004,24.71,24.71
2005,24.70,24.70
2006,24.69,24.69
2007,24.67,24.67
2008,24.62,24.62
2009,24.64,24.64
2010,24.60,24.60
2011,24.63,24.63
2012,24.71,24.71
2013,24.69,24.69
2014,24.69,24.69
2015,24.72,24.72
2016,24.73,24.73
2017,24.71,24.71
2018,24.70,24.70
2019,24.93,24.93
2020,25.02,25.02
