Variable:,tasmin
,Pakistan,Balochistan,"Federally Administered Tribal Areas",Islamabad,"North-West Frontier",Punjab,Sindh,"Administrative unit not available","Administrative unit not available"
1901,13.44,14.13,11.78,13.71,7.61,17.65,18.96,8.12,-5.77
1902,13.76,14.50,12.02,13.93,7.87,17.91,19.40,8.31,-5.60
1903,12.87,13.65,11.04,12.96,6.81,17.10,18.47,7.38,-6.63
1904,13.34,14.06,11.61,13.56,7.45,17.50,18.90,7.98,-5.85
1905,12.93,13.77,11.19,13.02,6.95,17.04,18.50,7.36,-6.52
1906,13.18,13.86,11.59,13.60,7.51,17.36,18.56,7.99,-5.72
1907,12.93,13.70,11.08,13.04,6.95,17.04,18.55,7.45,-6.32
1908,12.94,13.57,11.42,13.48,7.34,17.18,18.27,7.88,-5.91
1909,12.83,13.47,11.42,13.47,7.43,16.89,18.11,7.86,-5.70
1910,12.81,13.47,11.23,13.26,7.18,16.95,18.21,7.64,-6.04
1911,13.07,13.71,11.37,13.36,7.22,17.29,18.59,7.79,-5.86
1912,13.39,14.08,11.67,13.65,7.64,17.45,18.89,8.09,-5.40
1913,12.97,13.71,11.37,13.28,7.28,17.02,18.46,7.65,-6.13
1914,13.27,13.96,11.72,13.61,7.70,17.30,18.66,8.03,-5.48
1915,13.73,14.35,12.28,14.23,8.18,17.91,19.10,8.59,-5.12
1916,13.18,13.80,11.55,13.59,7.42,17.41,18.63,8.03,-5.69
1917,12.76,13.44,11.41,13.38,7.46,16.68,18.00,7.75,-5.67
1918,12.98,13.66,11.21,13.36,7.13,17.16,18.55,7.68,-6.09
1919,12.82,13.64,10.97,12.93,6.69,16.94,18.49,7.28,-6.58
1920,12.86,13.73,10.69,12.70,6.54,16.95,18.70,7.08,-6.74
1921,13.61,14.34,11.65,13.71,7.46,17.88,19.33,8.07,-5.85
1922,13.39,14.03,11.74,13.74,7.75,17.53,18.83,8.16,-5.37
1923,12.92,13.62,11.04,13.11,6.94,17.12,18.53,7.54,-6.20
1924,13.11,13.86,11.23,13.27,7.11,17.22,18.79,7.68,-6.03
1925,13.17,13.95,11.41,13.37,7.22,17.22,18.82,7.68,-6.02
1926,13.02,13.79,11.25,13.22,7.21,16.98,18.62,7.63,-5.93
1927,12.86,13.57,11.26,13.20,7.26,16.91,18.21,7.61,-5.88
1928,13.29,14.01,11.42,13.43,7.25,17.60,18.84,7.83,-6.03
1929,13.03,13.76,11.20,13.19,6.96,17.28,18.70,7.60,-6.46
1930,12.87,13.64,11.07,12.94,6.89,17.01,18.54,7.38,-6.47
1931,13.31,13.81,11.82,13.97,7.80,17.58,18.87,8.37,-5.63
1932,13.50,14.04,12.00,14.09,7.88,17.80,19.03,8.47,-5.56
1933,13.07,13.74,11.54,13.50,7.43,17.16,18.63,7.87,-5.94
1934,13.28,13.98,11.59,13.67,7.42,17.54,18.81,8.03,-6.10
1935,12.72,13.36,11.06,12.97,6.92,16.95,18.37,7.39,-6.56
1936,13.22,13.90,11.45,13.61,7.34,17.44,18.74,8.08,-5.91
1937,12.89,13.52,11.10,13.38,7.01,17.17,18.45,7.85,-6.17
1938,13.27,13.96,11.42,13.51,7.26,17.56,18.78,7.95,-5.89
1939,13.30,14.00,11.47,13.56,7.36,17.50,18.85,8.04,-5.79
1940,13.61,14.31,11.91,14.05,7.88,17.70,19.05,8.54,-5.16
