Variable:,tasmin
,"Korea, Democratic People's Republic of",Chagang-do,Kaesong-si,Kangwon-do,Hamgyong-bukto,Hwanghae-bukto,P'yongan-bukto,P'yongyang-si,Hamgyong-namdo,Hwanghae-namdo,P'yongan-namdo,Yanggang-do
1901,-0.20,-2.34,4.60,2.93,-1.86,3.40,1.64,3.51,-1.36,4.75,1.29,-5.89
1902,-0.00,-2.17,5.02,3.27,-2.02,3.77,1.92,3.83,-1.15,5.21,1.57,-5.85
1903,0.10,-2.08,5.03,3.33,-1.66,3.77,1.93,3.82,-1.05,5.13,1.59,-5.65
1904,-0.10,-2.26,4.79,3.12,-1.98,3.58,1.79,3.67,-1.22,4.96,1.45,-5.88
1905,-0.08,-2.34,4.72,3.21,-1.78,3.57,1.66,3.69,-1.15,4.89,1.46,-5.87
1906,-0.83,-3.20,4.19,2.59,-2.57,2.96,0.84,3.00,-1.89,4.30,0.72,-6.70
1907,-0.47,-2.76,4.45,2.85,-2.20,3.27,1.28,3.35,-1.56,4.63,1.08,-6.32
1908,-0.74,-3.03,4.14,2.59,-2.41,2.95,0.97,3.01,-1.81,4.27,0.76,-6.51
1909,-0.87,-3.21,4.29,2.60,-2.75,2.92,0.82,2.88,-1.93,4.38,0.65,-6.77
1910,-1.12,-3.43,4.04,2.34,-3.00,2.68,0.58,2.63,-2.19,4.11,0.40,-7.00
1911,-0.65,-2.92,4.41,2.74,-2.37,3.06,1.00,3.03,-1.71,4.49,0.81,-6.45
1912,-0.99,-3.29,4.15,2.47,-2.79,2.77,0.70,2.74,-2.07,4.21,0.50,-6.83
1913,-1.32,-3.58,3.72,2.04,-3.08,2.38,0.35,2.35,-2.39,3.84,0.13,-7.10
1914,0.33,-1.94,5.43,3.75,-1.49,4.13,2.04,4.11,-0.75,5.53,1.84,-5.55
1915,-0.92,-3.28,4.48,2.70,-2.96,3.08,0.81,2.96,-2.03,4.50,0.62,-6.97
1916,-0.51,-2.81,4.69,2.98,-2.31,3.34,1.13,3.26,-1.61,4.71,0.93,-6.40
1917,-1.38,-3.60,3.62,1.97,-2.98,2.29,0.24,2.28,-2.45,3.60,0.01,-7.13
1918,-0.79,-2.98,4.13,2.45,-2.36,2.83,0.87,2.85,-1.86,4.22,0.59,-6.49
1919,-0.59,-2.89,4.52,2.80,-2.32,3.18,1.04,3.16,-1.69,4.59,0.86,-6.39
1920,0.03,-2.27,5.15,3.43,-1.77,3.84,1.71,3.83,-1.07,5.22,1.51,-5.82
1921,-0.45,-2.74,4.55,2.94,-2.16,3.28,1.22,3.31,-1.55,4.61,1.02,-6.20
1922,-0.64,-3.00,4.69,2.94,-2.63,3.32,1.09,3.29,-1.79,4.74,0.95,-6.65
1923,-0.71,-3.02,4.41,2.73,-2.37,3.04,0.89,3.05,-1.79,4.36,0.73,-6.49
1924,-0.73,-2.99,4.35,2.66,-2.53,3.04,1.02,3.08,-1.84,4.42,0.79,-6.57
