Variable:,tasmin
,"Saudi Arabia",Asir,Baha,"Eastern Province",Hail,Jawf,Jizan,Madinah,Makkah,Najran,"Northern Frontier",Quassim,Riyad,Tabuk
1901,18.35,15.89,17.75,20.87,16.25,13.27,19.14,18.67,19.08,18.36,14.71,17.96,19.03,15.35
1902,18.10,15.86,17.68,20.46,16.07,13.11,19.12,18.53,19.01,18.31,14.51,17.72,18.72,15.10
1903,17.52,15.81,17.63,19.73,15.51,12.12,19.11,18.16,18.91,18.22,13.70,17.20,18.14,14.22
1904,17.73,15.82,17.60,19.99,15.75,12.66,19.11,18.16,18.81,18.23,14.08,17.41,18.34,14.70
1905,17.78,15.83,17.65,19.95,15.82,12.91,19.10,18.37,18.94,18.25,14.10,17.40,18.32,15.03
1906,17.84,15.77,17.55,19.88,15.96,13.23,19.07,18.72,19.02,18.23,14.21,17.45,18.28,15.47
1907,17.65,15.81,17.66,19.77,15.69,12.64,19.07,18.33,18.97,18.20,13.88,17.29,18.17,14.87
1908,18.02,15.85,17.66,20.38,15.90,12.84,19.09,18.55,19.09,18.33,14.10,17.62,18.68,15.10
1909,18.28,15.86,17.83,20.43,16.32,13.87,19.06,19.14,19.34,18.29,14.74,17.81,18.71,16.06
1910,17.58,15.78,17.61,19.57,15.71,12.81,19.13,18.42,18.95,18.18,13.92,17.21,18.02,15.04
1911,17.30,15.70,17.42,19.11,15.55,12.67,19.08,18.30,18.76,18.11,13.64,16.94,17.65,14.94
1912,17.72,15.80,17.61,19.82,15.81,12.92,19.07,18.39,18.90,18.21,14.13,17.35,18.21,15.06
1913,17.63,15.78,17.49,19.69,15.78,12.96,19.04,18.25,18.71,18.20,14.08,17.26,18.11,14.99
1914,18.02,15.85,17.73,20.18,16.07,13.41,19.10,18.73,19.11,18.27,14.45,17.59,18.50,15.52
1915,18.39,15.86,17.77,20.52,16.42,14.10,19.08,19.38,19.40,18.36,14.80,17.85,18.80,16.35
1916,18.27,15.80,17.54,20.33,16.39,14.04,19.01,19.29,19.17,18.36,14.75,17.75,18.67,16.29
1917,18.20,15.80,17.49,20.42,16.24,13.64,19.02,18.95,19.02,18.36,14.61,17.74,18.72,15.82
1918,18.10,15.82,17.56,20.26,16.11,13.59,19.04,18.86,19.05,18.36,14.48,17.61,18.61,15.74
1919,18.38,15.87,17.75,20.59,16.39,13.97,19.10,19.17,19.29,18.36,14.83,17.87,18.84,16.12
1920,18.16,15.93,17.84,20.44,16.12,13.44,19.11,18.71,19.17,18.36,14.52,17.71,18.73,15.49
1921,18.19,15.86,17.68,20.57,16.08,13.21,19.06,18.74,19.14,18.36,14.37,17.78,18.83,15.41
1922,18.35,15.83,17.60,20.62,16.35,13.86,19.03,19.05,19.14,18.36,14.80,17.88,18.87,16.00
1923,18.23,15.84,17.64,20.36,16.33,13.88,19.04,18.99,19.12,18.36,14.77,17.77,18.69,15.96
1924,18.42,15.88,17.76,20.80,16.36,13.79,19.09,18.94,19.21,18.36,14.87,17.95,18.98,15.86
1925,18.19,15.87,17.74,20.31,16.26,13.78,19.08,18.96,19.18,18.36,14.68,17.72,18.65,15.88
1926,18.21,15.90,17.78,20.47,16.19,13.56,19.10,18.78,19.14,18.36,14.63,17.75,18.76,15.63
1927,18.34,15.85,17.68,20.56,16.38,13.96,19.08,19.04,19.17,18.36,14.85,17.86,18.82,16.05
1928,18.32,15.82,17.69,20.37,16.49,14.27,19.10,19.23,19.21,18.29,14.99,17.86,18.66,16.35
1929,18.15,15.82,17.63,20.35,16.24,13.52,19.06,18.90,19.08,18.31,14.59,17.74,18.64,15.74
