Variable:,tasmin
,"Sierra Leone",Eastern,Northern,Southern,"Western Area"
1901,21.62,20.85,21.54,22.40,21.41
1902,21.65,20.79,21.64,22.34,21.44
1903,21.29,20.42,21.28,22.02,21.19
1904,21.12,20.26,21.11,21.84,20.95
1905,21.31,20.44,21.29,22.05,21.17
1906,21.31,20.42,21.29,22.03,21.21
1907,20.99,20.17,20.93,21.74,20.79
1908,21.40,20.52,21.41,22.08,21.22
1909,21.24,20.36,21.24,21.94,21.07
1910,21.50,20.64,21.48,22.21,21.31
1911,21.17,20.31,21.16,21.86,20.99
1912,21.64,20.83,21.61,22.34,21.38
1913,21.35,20.46,21.35,22.04,21.18
1914,21.20,20.36,21.18,21.91,20.98
1915,21.63,20.79,21.61,22.34,21.44
1916,21.12,20.30,21.09,21.83,20.89
1917,21.26,20.45,21.20,22.02,21.07
1918,21.23,20.36,21.23,21.94,21.12
1919,21.23,20.25,21.30,21.88,21.20
1920,21.08,20.23,21.05,21.82,20.96
1921,20.88,20.02,20.88,21.58,20.71
1922,20.83,20.03,20.78,21.54,20.59
1923,21.15,20.31,21.14,21.84,20.93
1924,20.75,19.89,20.74,21.43,20.58
1925,20.90,20.01,20.91,21.57,20.75
1926,21.12,20.21,21.11,21.83,21.01
1927,20.57,19.64,20.60,21.26,20.50
1928,20.33,19.42,20.34,21.02,20.24
1929,20.27,19.37,20.27,20.97,20.13
1930,20.30,19.42,20.29,20.99,20.13
1931,21.02,20.14,21.03,21.70,20.85
1932,20.88,19.97,20.88,21.61,20.79
1933,21.03,20.15,21.04,21.73,20.89
1934,21.00,20.14,20.99,21.69,20.80
1935,20.78,19.94,20.78,21.46,20.56
1936,20.87,19.97,20.88,21.56,20.78
1937,21.14,20.24,21.16,21.81,21.02
1938,21.17,20.30,21.18,21.86,21.04
1939,21.10,20.25,21.09,21.78,20.88
1940,21.24,20.39,21.23,21.96,21.07
1941,21.62,20.74,21.63,22.31,21.46
1942,21.30,20.42,21.32,21.98,21.13
1943,20.93,20.07,20.92,21.63,20.75
1944,21.52,20.63,21.53,22.20,21.38
1945,21.54,20.63,21.56,22.24,21.45
1946,21.14,20.26,21.15,21.84,20.96
1947,21.32,20.45,21.33,21.99,21.13
1948,20.94,20.05,20.95,21.64,20.77
1949,21.14,20.29,21.13,21.83,20.96
1950,20.94,20.11,20.92,21.65,20.73
1951,21.05,20.23,21.02,21.76,20.83
1952,21.03,20.23,20.99,21.74,20.79
1953,21.22,20.38,21.21,21.91,21.02
1954,20.80,19.94,20.80,21.48,20.60
1955,20.88,20.08,20.85,21.59,20.73
1956,20.77,19.94,20.76,21.47,20.59
1957,20.99,20.20,20.95,21.68,20.79
1958,21.05,20.24,21.02,21.75,20.86
1959,20.96,20.08,20.97,21.64,20.83
1960,21.13,20.28,21.14,21.77,20.94
1961,20.79,19.91,20.81,21.44,20.59
1962,20.98,20.10,21.03,21.58,20.77
1963,21.21,20.33,21.24,21.86,21.02
1964,20.77,19.88,20.78,21.47,20.66
1965,20.72,19.83,20.75,21.37,20.54
1966,21.04,20.14,21.07,21.69,20.88
1967,20.82,19.94,20.84,21.49,20.63
1968,20.95,20.07,20.95,21.64,20.75
1969,21.18,20.30,21.17,21.90,21.05
1970,21.01,20.13,21.00,21.73,20.89
1971,20.52,19.61,20.53,21.22,20.32
1972,20.94,20.03,20.96,21.63,20.78
1973,21.19,20.32,21.17,21.90,21.01
1974,20.73,19.85,20.72,21.45,20.57
1975,20.55,19.67,20.52,21.29,20.42
1976,20.55,19.65,20.58,21.21,20.41
1977,21.06,20.17,21.08,21.74,20.86
1978,20.94,20.05,20.94,21.64,20.77
1979,21.26,20.37,21.28,21.92,21.02
1980,21.28,20.40,21.30,21.93,21.09
1981,21.06,20.19,21.06,21.75,20.88
1982,20.99,20.08,21.00,21.69,20.84
1983,21.39,20.47,21.41,22.08,21.25
1984,21.15,20.26,21.15,21.84,20.99
1985,20.99,20.10,21.03,21.65,20.86
1986,20.83,19.93,20.85,21.51,20.66
1987,21.53,20.66,21.52,22.23,21.34
1988,21.23,20.35,21.25,21.90,21.06
1989,21.00,20.15,20.96,21.74,20.87
1990,21.24,20.35,21.24,21.94,21.10
1991,21.33,20.39,21.39,21.95,21.19
1992,21.06,20.16,21.08,21.75,20.93
1993,21.23,20.31,21.28,21.87,21.09
1994,21.02,20.13,21.04,21.70,20.88
1995,21.23,20.32,21.24,21.92,21.06
1996,21.36,20.43,21.40,22.02,21.28
1997,21.26,20.29,21.30,21.95,21.26
1998,21.78,20.87,21.81,22.47,21.68
1999,21.10,20.14,21.12,21.80,21.04
2000,21.20,20.26,21.24,21.89,21.14
2001,21.37,20.40,21.41,22.05,21.32
2002,21.62,20.70,21.68,22.24,21.44
2003,21.50,20.60,21.53,22.15,21.34
2004,21.62,20.72,21.67,22.24,21.44
2005,21.64,20.72,21.68,22.28,21.53
2006,21.61,20.70,21.62,22.31,21.49
2007,21.68,20.76,21.70,22.37,21.55
2008,21.38,20.44,21.43,22.04,21.31
2009,21.29,20.44,21.30,21.96,21.12
2010,21.75,20.81,21.80,22.40,21.70
2011,21.49,20.57,21.51,22.17,21.46
2012,21.38,20.41,21.44,22.04,21.36
2013,21.51,20.52,21.59,22.16,21.45
2014,21.40,20.43,21.45,22.07,21.38
2015,21.56,20.62,21.60,22.22,21.51
2016,21.84,20.87,21.89,22.51,21.76
2017,21.75,20.79,21.79,22.45,21.69
2018,21.66,20.78,21.69,22.29,21.52
2019,21.45,20.56,21.47,22.14,21.34
2020,21.86,20.91,21.91,22.53,21.88
