Variable:,tasmin
,"El Salvador",Ahuachapan,Cabanas,Chalatenango,Cuscatlan,"La Libertad","La Paz","La Union",Morazan,"San Miguel","San Salvador","San Vicente","Santa Ana",Sonsonate,Usulutan
1901,18.37,18.97,18.14,16.34,17.52,17.50,19.17,19.86,18.63,19.31,17.22,18.62,16.96,18.25,19.83
1902,18.42,19.02,18.19,16.41,17.56,17.54,19.21,19.91,18.68,19.36,17.26,18.67,17.02,18.30,19.87
1903,18.44,19.03,18.21,16.43,17.59,17.56,19.23,19.91,18.71,19.38,17.29,18.69,17.04,18.31,19.90
1904,18.37,18.97,18.14,16.34,17.52,17.50,19.17,19.86,18.63,19.31,17.22,18.62,16.96,18.25,19.83
1905,18.37,18.97,18.14,16.34,17.52,17.50,19.17,19.86,18.63,19.31,17.22,18.62,16.96,18.25,19.83
1906,18.22,18.80,17.98,16.16,17.35,17.33,19.03,19.73,18.48,19.18,17.04,18.47,16.78,18.08,19.70
1907,18.28,18.87,18.04,16.23,17.41,17.40,19.08,19.78,18.53,19.22,17.11,18.52,16.85,18.15,19.75
1908,18.27,18.86,18.03,16.21,17.40,17.39,19.07,19.77,18.52,19.22,17.10,18.51,16.83,18.14,19.75
1909,18.36,18.95,18.13,16.33,17.50,17.48,19.16,19.85,18.62,19.31,17.19,18.61,16.94,18.23,19.83
1910,17.85,18.42,17.61,15.68,16.97,16.97,18.70,19.42,18.11,18.84,16.67,18.11,16.32,17.71,19.39
1911,18.24,18.83,18.00,16.17,17.37,17.36,19.05,19.75,18.49,19.19,17.07,18.49,16.80,18.11,19.72
1912,18.31,18.90,18.08,16.25,17.45,17.42,19.10,19.80,18.58,19.26,17.14,18.56,16.87,18.18,19.77
1913,18.10,18.67,17.88,16.01,17.24,17.22,18.94,19.63,18.38,19.08,16.93,18.37,16.63,17.96,19.62
1914,18.10,18.68,17.88,16.00,17.24,17.22,18.93,19.63,18.37,19.08,16.93,18.37,16.63,17.97,19.61
1915,18.22,18.80,17.99,16.16,17.35,17.33,19.03,19.73,18.48,19.18,17.04,18.47,16.78,18.08,19.71
1916,18.14,18.72,17.91,16.04,17.27,17.25,18.96,19.65,18.40,19.11,16.96,18.40,16.67,18.01,19.64
1917,18.37,18.97,18.14,16.34,17.52,17.50,19.17,19.86,18.63,19.31,17.22,18.62,16.96,18.25,19.83
1918,18.39,18.98,18.16,16.36,17.53,17.51,19.18,19.88,18.65,19.33,17.23,18.64,16.97,18.26,19.85
1919,18.27,18.86,18.04,16.21,17.41,17.39,19.07,19.77,18.53,19.22,17.11,18.52,16.83,18.15,19.74
1920,18.30,18.89,18.07,16.25,17.44,17.42,19.11,19.80,18.56,19.25,17.13,18.55,16.87,18.18,19.78
1921,18.22,18.81,17.98,16.15,17.35,17.34,19.02,19.72,18.47,19.17,17.05,18.46,16.78,18.09,19.70
1922,18.48,19.08,18.24,16.48,17.62,17.61,19.27,19.96,18.73,19.41,17.33,18.72,17.09,18.36,19.93
1923,18.34,18.93,18.11,16.30,17.48,17.46,19.14,19.83,18.59,19.28,17.17,18.59,16.92,18.21,19.80
1924,18.29,18.87,18.06,16.24,17.43,17.41,19.10,19.79,18.56,19.25,17.12,18.54,16.85,18.15,19.77
1925,18.26,18.84,18.03,16.20,17.39,17.37,19.06,19.76,18.52,19.21,17.08,18.51,16.82,18.13,19.73
