Variable:,tasmin
,"San Marino","Administrative unit not available"
1901,5.39,5.43
1902,5.80,5.83
1903,5.66,5.70
1904,6.26,6.30
1905,5.57,5.61
1906,5.56,5.60
1907,5.54,5.58
1908,5.34,5.37
1909,5.22,5.26
1910,5.75,5.79
1911,6.19,6.23
1912,5.64,5.68
1913,5.88,5.92
1914,5.77,5.80
1915,5.69,5.73
1916,6.24,6.28
1917,5.61,5.65
1918,5.81,5.85
1919,5.60,5.63
1920,6.86,6.90
1921,6.38,6.42
1922,5.80,5.83
1923,6.34,6.38
1924,6.08,6.11
1925,5.91,5.95
1926,6.56,6.60
1927,6.53,6.57
1928,6.46,6.49
1929,5.70,5.73
1930,6.47,6.51
1931,5.59,5.63
1932,5.88,5.92
1933,5.37,5.40
1934,6.55,6.59
1935,5.91,5.94
1936,6.38,6.42
1937,6.29,6.32
1938,6.04,6.07
1939,6.12,6.15
1940,4.91,4.94
1941,5.35,5.38
1942,6.04,6.07
1943,6.75,6.78
1944,5.81,5.84
1945,6.35,6.38
1946,6.36,6.40
1947,6.53,6.56
1948,6.45,6.48
1949,6.56,6.59
1950,6.81,6.85
1951,6.94,6.97
1952,6.53,6.56
1953,6.59,6.62
1954,5.94,5.97
1955,6.39,6.42
1956,5.45,5.48
1957,6.51,6.55
1958,6.77,6.80
1959,6.77,6.80
1960,6.71,6.74
1961,6.91,6.94
1962,5.89,5.93
1963,6.10,6.14
1964,6.25,6.28
1965,5.55,5.58
1966,6.49,6.53
1967,6.29,6.32
1968,6.34,6.37
1969,6.26,6.29
1970,6.05,6.08
1971,6.06,6.09
1972,6.55,6.58
1973,5.89,5.93
1974,6.27,6.30
1975,6.28,6.31
1976,6.02,6.05
1977,6.44,6.47
1978,5.64,5.67
1979,6.65,6.68
1980,5.81,5.84
1981,6.01,6.04
1982,6.97,7.00
1983,6.23,6.26
1984,6.07,6.10
1985,6.46,6.49
1986,6.46,6.49
1987,6.65,6.68
1988,6.75,6.78
1989,6.12,6.15
1990,6.83,6.86
1991,6.09,6.12
1992,7.16,7.19
1993,6.68,6.71
1994,7.68,7.72
1995,6.61,6.64
1996,6.56,6.59
1997,7.26,7.29
1998,6.98,7.02
1999,7.15,7.18
2000,7.51,7.55
2001,7.20,7.23
2002,7.68,7.72
2003,7.34,7.37
2004,7.20,7.23
2005,6.55,6.58
2006,7.37,7.40
2007,7.75,7.78
2008,7.69,7.73
2009,7.66,7.69
2010,7.01,7.05
2011,7.81,7.84
2012,7.61,7.65
2013,7.48,7.52
2014,8.25,8.29
2015,7.92,7.96
2016,7.88,7.91
2017,7.50,7.53
2018,8.35,8.38
2019,8.11,8.14
2020,7.95,7.98
