Variable:,tasmin
,Sweden,"Blekinge Laen","Dalarnas Laen","Gaevleborgs Laen","Gotlands Laen","Hallands Laen","Jaemtlands Laen","Joenkoepings Laen","Kalmar Laen","Kronobergs Laen","Norrbottens Laen","Oerebro Laen","Oestergoetlands Laen","Skaane Laen","Soedermanlands Laen","Stockholms Laen","Uppsala Laen","Vaermlands Laen","Vaesterbottens Laen","Vaesternorrlands Laen","Vaestmanlands Laen","Vaestra Goetalands Laen"
1901,-2.26,3.29,-2.60,-1.44,4.12,3.06,-3.42,1.67,2.69,2.40,-6.15,0.20,1.84,3.62,1.82,2.51,1.89,-0.39,-4.33,-2.94,0.64,2.03
1902,-4.24,1.95,-4.52,-3.51,2.28,1.74,-5.27,0.16,1.07,1.01,-8.47,-1.72,0.02,2.39,-0.26,0.36,-0.27,-2.18,-6.55,-5.05,-1.46,0.51
1903,-2.31,3.60,-2.65,-1.55,4.30,3.37,-3.51,1.96,2.95,2.72,-6.46,0.37,2.07,3.95,1.91,2.53,1.88,-0.31,-4.51,-3.04,0.67,2.28
1904,-3.19,3.35,-3.42,-2.48,3.75,3.04,-4.60,1.60,2.56,2.41,-7.49,-0.26,1.55,3.69,1.28,1.82,1.07,-0.91,-5.76,-4.27,-0.02,1.83
1905,-2.57,3.37,-2.71,-1.68,4.09,3.04,-3.80,1.68,2.69,2.43,-6.76,0.25,1.84,3.68,1.81,2.43,1.76,-0.37,-4.93,-3.39,0.60,2.06
1906,-2.07,4.01,-2.18,-1.17,4.59,3.79,-3.28,2.40,3.34,3.15,-6.43,0.75,2.42,4.35,2.23,2.84,2.21,0.19,-4.44,-2.82,1.03,2.72
1907,-2.52,2.99,-3.05,-1.96,3.36,2.78,-3.65,1.38,2.26,2.14,-6.13,-0.29,1.34,3.34,1.14,1.73,1.14,-0.77,-4.49,-3.27,-0.02,1.70
1908,-2.57,3.25,-2.65,-1.68,3.75,3.14,-3.60,1.79,2.60,2.46,-6.91,0.19,1.75,3.63,1.55,2.09,1.50,-0.26,-4.91,-3.27,0.41,2.25
1909,-3.31,2.54,-3.60,-2.49,3.23,2.25,-4.46,0.92,1.95,1.66,-7.50,-0.60,1.07,2.85,0.94,1.54,0.89,-1.27,-5.53,-4.01,-0.31,1.28
1910,-1.78,4.20,-2.06,-0.94,4.90,4.02,-2.97,2.59,3.57,3.36,-5.99,0.98,2.66,4.56,2.48,3.12,2.48,0.27,-4.09,-2.53,1.27,2.90
1911,-1.92,4.10,-2.01,-0.93,4.76,3.90,-3.12,2.49,3.46,3.24,-6.28,0.99,2.62,4.45,2.47,3.07,2.45,0.32,-4.36,-2.68,1.26,2.87
1912,-2.97,3.11,-2.86,-1.83,3.67,2.89,-3.76,1.48,2.44,2.23,-7.73,-0.00,1.59,3.49,1.46,2.08,1.47,-0.61,-5.44,-3.54,0.32,1.85
1913,-2.15,4.11,-2.04,-0.99,4.83,3.83,-3.15,2.48,3.49,3.24,-6.93,0.93,2.61,4.46,2.48,3.13,2.46,0.31,-4.78,-2.83,1.27,2.79
1914,-1.60,4.61,-1.46,-0.37,5.18,4.30,-2.60,2.92,3.94,3.70,-6.31,1.46,3.07,4.95,2.96,3.58,2.94,0.80,-4.20,-2.21,1.80,3.22
1915,-4.40,2.51,-4.55,-3.50,2.83,2.11,-5.71,0.60,1.66,1.52,-8.98,-1.35,0.55,2.86,0.24,0.83,0.06,-2.10,-7.22,-5.41,-1.12,0.71
1916,-2.81,3.50,-2.84,-1.97,3.72,3.29,-3.91,1.80,2.68,2.63,-7.23,0.11,1.73,3.91,1.45,2.03,1.39,-0.39,-5.44,-3.73,0.27,2.18
1917,-3.60,2.73,-3.65,-2.50,3.31,2.42,-4.54,0.98,2.02,1.80,-8.26,-0.72,1.04,3.08,0.90,1.58,0.86,-1.42,-6.10,-4.22,-0.36,1.22
1918,-2.38,3.37,-2.71,-1.65,3.93,3.20,-3.55,1.75,2.68,2.53,-6.35,0.21,1.82,3.77,1.69,2.33,1.67,-0.42,-4.54,-3.17,0.49,2.12
