Variable:,tasmin
,"Trinidad and Tobago",Arima,Chaguanas,Couva/Tabaquite/Talparo,"Diego Martin",Penal/Debe,"Point Fortin","Port Of Spain","Princes Town","Rio Claro/Mayaro","San Fernando","San Juan/Laventille","Sangre Grande",Siparia,Tobago,Tunapuna/Piarco
1901,21.49,21.31,21.32,21.55,22.06,21.62,22.07,22.01,21.61,21.61,21.61,21.34,21.34,22.06,21.33,21.31
1902,21.21,21.03,21.04,21.27,21.78,21.35,21.78,21.73,21.34,21.34,21.34,21.06,21.06,21.77,21.08,21.03
1903,21.24,21.07,21.08,21.30,21.83,21.37,21.83,21.78,21.36,21.36,21.36,21.10,21.10,21.82,21.13,21.07
1904,20.95,20.77,20.78,21.01,21.53,21.08,21.54,21.48,21.07,21.07,21.07,20.80,20.80,21.53,20.83,20.77
1905,21.10,20.92,20.93,21.16,21.68,21.24,21.68,21.63,21.23,21.23,21.23,20.95,20.95,21.67,20.98,20.92
1906,21.09,20.93,20.94,21.15,21.65,21.22,21.67,21.60,21.21,21.21,21.21,20.95,20.96,21.66,20.97,20.93
1907,20.96,20.78,20.79,21.02,21.53,21.09,21.55,21.48,21.08,21.08,21.08,20.81,20.81,21.54,20.81,20.78
1908,20.96,20.79,20.80,21.02,21.53,21.09,21.54,21.48,21.08,21.08,21.08,20.82,20.82,21.53,20.86,20.79
1909,20.97,20.81,20.82,21.03,21.58,21.10,21.57,21.53,21.09,21.09,21.09,20.84,20.84,21.56,20.85,20.81
1910,21.00,20.81,20.82,21.06,21.57,21.14,21.58,21.52,21.13,21.13,21.13,20.84,20.84,21.57,20.87,20.81
1911,21.12,20.93,20.94,21.18,21.67,21.26,21.70,21.62,21.25,21.25,21.25,20.96,20.96,21.69,20.97,20.93
1912,21.23,21.05,21.06,21.29,21.80,21.37,21.81,21.75,21.36,21.36,21.36,21.08,21.08,21.80,21.10,21.05
1913,20.93,20.76,20.77,20.99,21.49,21.06,21.53,21.44,21.05,21.05,21.05,20.78,20.79,21.52,20.78,20.76
1914,20.81,20.63,20.64,20.87,21.41,20.94,21.40,21.36,20.93,20.93,20.93,20.66,20.66,21.39,20.68,20.63
1915,21.21,21.04,21.05,21.27,21.83,21.34,21.81,21.78,21.33,21.33,21.33,21.07,21.07,21.80,21.08,21.04
1916,20.85,20.68,20.69,20.91,21.49,20.98,21.48,21.43,20.97,20.97,20.97,20.71,20.71,21.47,20.72,20.68
1917,20.99,20.79,20.80,21.06,21.52,21.14,21.58,21.47,21.13,21.13,21.13,20.81,20.82,21.57,20.81,20.79
1918,21.07,20.88,20.89,21.14,21.62,21.22,21.65,21.57,21.21,21.21,21.21,20.91,20.91,21.64,20.90,20.88
1919,20.99,20.83,20.84,21.05,21.58,21.12,21.58,21.53,21.11,21.11,21.11,20.86,20.86,21.57,20.86,20.83
1920,20.86,20.69,20.70,20.92,21.44,20.99,21.46,21.39,20.98,20.98,20.98,20.72,20.72,21.45,20.73,20.69
1921,20.99,20.79,20.80,21.06,21.53,21.14,21.55,21.48,21.13,21.13,21.13,20.82,20.82,21.54,20.83,20.79
1922,20.81,20.63,20.64,20.87,21.33,20.94,21.38,21.28,20.93,20.93,20.93,20.65,20.66,21.37,20.68,20.63
1923,20.90,20.72,20.73,20.96,21.46,21.03,21.47,21.41,21.02,21.02,21.02,20.75,20.75,21.46,20.76,20.72
1924,20.85,20.68,20.69,20.91,21.44,20.98,21.42,21.39,20.97,20.97,20.97,20.71,20.71,21.41,20.76,20.68
1925,20.93,20.75,20.76,20.99,21.48,21.06,21.51,21.43,21.05,21.05,21.05,20.77,20.78,21.50,20.82,20.75
1926,21.38,21.20,21.21,21.44,21.96,21.52,21.97,21.91,21.51,21.51,21.51,21.23,21.23,21.96,21.23,21.20
1927,20.89,20.72,20.73,20.95,21.48,21.02,21.47,21.43,21.01,21.01,21.01,20.75,20.75,21.46,20.78,20.72
1928,20.99,20.80,20.81,21.05,21.56,21.13,21.55,21.51,21.12,21.12,21.12,20.83,20.83,21.54,20.84,20.80
1929,20.76,20.58,20.59,20.82,21.33,20.90,21.33,21.28,20.89,20.89,20.89,20.61,20.61,21.32,20.65,20.58
1930,21.04,20.88,20.89,21.09,21.64,21.16,21.64,21.59,21.15,21.15,21.15,20.91,20.91,21.63,20.91,20.88
1931,21.47,21.31,21.32,21.53,22.08,21.60,22.04,22.03,21.59,21.59,21.59,21.34,21.34,22.03,21.36,21.31
1932,21.64,21.45,21.46,21.71,22.22,21.79,22.23,22.17,21.78,21.78,21.78,21.48,21.48,22.22,21.48,21.45
1933,21.01,20.83,20.84,21.07,21.59,21.14,21.60,21.54,21.13,21.13,21.13,20.86,20.86,21.59,20.88,20.83
1934,21.15,20.98,20.99,21.21,21.74,21.28,21.75,21.69,21.27,21.27,21.27,21.01,21.01,21.74,20.98,20.98
1935,21.10,20.92,20.93,21.16,21.67,21.24,21.68,21.62,21.23,21.23,21.23,20.95,20.95,21.67,20.93,20.92
1936,21.24,21.07,21.08,21.30,21.82,21.37,21.83,21.77,21.36,21.36,21.36,21.10,21.10,21.82,21.08,21.07
1937,21.50,21.32,21.33,21.56,22.05,21.63,22.07,22.00,21.62,21.62,21.62,21.34,21.35,22.06,21.33,21.32
1938,21.21,21.03,21.04,21.27,21.79,21.34,21.80,21.74,21.33,21.33,21.33,21.06,21.06,21.79,21.04,21.03
1939,21.28,21.10,21.11,21.34,21.87,21.42,21.88,21.82,21.41,21.41,21.41,21.13,21.13,21.87,21.14,21.10
1940,21.96,21.78,21.79,22.02,22.56,22.09,22.55,22.51,22.08,22.08,22.08,21.81,21.81,22.54,21.79,21.78
1941,22.09,21.93,21.94,22.15,22.70,22.22,22.70,22.65,22.21,22.21,22.21,21.96,21.96,22.69,21.95,21.93
1942,21.97,21.79,21.80,22.03,22.57,22.10,22.56,22.52,22.09,22.09,22.09,21.82,21.82,22.55,21.82,21.79
1943,21.46,21.28,21.29,21.52,22.04,21.59,22.05,21.99,21.58,21.58,21.58,21.31,21.31,22.04,21.32,21.28
1944,21.66,21.48,21.49,21.72,22.24,21.80,22.24,22.19,21.79,21.79,21.79,21.51,21.51,22.23,21.52,21.48
1945,21.43,21.25,21.26,21.49,22.01,21.56,22.02,21.96,21.55,21.55,21.55,21.28,21.28,22.01,21.27,21.25
1946,21.41,21.23,21.24,21.47,22.01,21.55,22.02,21.96,21.54,21.54,21.54,21.26,21.26,22.01,21.26,21.23
1947,21.71,21.53,21.54,21.77,22.30,21.84,22.29,22.25,21.83,21.83,21.83,21.56,21.56,22.28,21.55,21.53
1948,21.44,21.25,21.26,21.50,22.01,21.58,22.01,21.96,21.57,21.57,21.57,21.28,21.28,22.00,21.28,21.25
1949,21.26,21.07,21.08,21.32,21.83,21.40,21.85,21.78,21.39,21.39,21.39,21.10,21.10,21.84,21.08,21.07
1950,21.10,20.91,20.92,21.17,21.63,21.25,21.66,21.58,21.24,21.24,21.24,20.93,20.94,21.65,20.92,20.91
1951,21.41,21.22,21.23,21.47,22.04,21.55,21.98,21.98,21.54,21.54,21.54,21.25,21.25,21.97,21.23,21.22
1952,21.58,21.36,21.37,21.66,22.21,21.75,22.20,22.15,21.74,21.74,21.74,21.39,21.40,22.19,21.36,21.36
1953,21.42,21.22,21.23,21.49,22.00,21.57,22.05,21.95,21.56,21.56,21.56,21.25,21.25,22.04,21.27,21.22
