Variable:,tasmin
,Tunisia,Ariana,"Ben Arous",Bizerte,Beja,Gabes,Gafsa,Jendouba,Kairouan,Kasserine,Kebili,"Le Kef",Mahdia,Manouba,Monastir,Medenine,Nabeul,Sfax,"Sidi Bouz",Siliana,Sousse,Tataouine,Tozeur,Tunis,Zaghouan
1901,12.61,11.90,11.89,11.46,10.45,13.56,11.59,9.83,10.22,8.52,14.03,8.49,12.76,11.18,13.31,14.61,12.24,12.83,11.01,9.29,12.39,14.41,13.38,11.89,11.28
1902,12.92,12.29,12.28,11.88,10.86,13.88,11.98,10.29,10.60,8.96,14.32,8.93,13.10,11.57,13.64,14.83,12.62,13.15,11.39,9.72,12.75,14.56,13.74,12.28,11.66
1903,12.63,12.12,12.10,11.70,10.69,13.59,11.72,10.07,10.40,8.72,14.03,8.69,12.89,11.40,13.45,14.48,12.42,12.94,11.16,9.50,12.55,14.15,13.51,12.10,11.46
1904,12.99,12.51,12.49,12.13,11.12,13.92,12.10,10.47,10.79,9.10,14.39,9.10,13.26,11.81,13.85,14.79,12.82,13.29,11.53,9.91,12.95,14.45,13.87,12.49,11.88
1905,12.43,11.80,11.78,11.38,10.36,13.38,11.48,9.78,10.09,8.42,13.84,8.41,12.62,11.06,13.16,14.35,12.13,12.66,10.87,9.19,12.25,14.12,13.24,11.78,11.14
1906,12.32,11.64,11.63,11.23,10.21,13.26,11.34,9.59,9.98,8.31,13.71,8.29,12.46,10.91,13.02,14.24,11.97,12.53,10.77,9.07,12.11,14.06,13.10,11.63,11.01
1907,12.34,11.75,11.73,11.35,10.32,13.28,11.34,9.70,10.03,8.33,13.70,8.31,12.55,11.03,13.08,14.25,12.07,12.59,10.79,9.13,12.19,14.01,13.10,11.73,11.11
1908,12.48,11.83,11.82,11.43,10.43,13.43,11.50,9.80,10.14,8.46,13.89,8.44,12.65,11.12,13.18,14.41,12.15,12.71,10.92,9.25,12.29,14.18,13.28,11.82,11.20
1909,12.52,11.93,11.91,11.53,10.52,13.48,11.61,9.93,10.25,8.63,13.92,8.61,12.74,11.20,13.25,14.39,12.20,12.79,11.05,9.38,12.34,14.10,13.37,11.91,11.28
1910,12.64,12.09,12.07,11.71,10.69,13.62,11.77,10.11,10.41,8.77,14.06,8.75,12.89,11.38,13.43,14.45,12.39,12.94,11.18,9.52,12.55,14.12,13.52,12.07,11.46
1911,13.59,13.18,13.17,12.79,11.79,14.61,12.81,11.22,11.49,9.84,14.97,9.86,13.95,12.48,14.49,15.34,13.46,13.98,12.26,10.63,13.63,14.89,14.48,13.17,12.57
1912,13.10,12.54,12.53,12.16,11.16,14.07,12.22,10.54,10.88,9.23,14.50,9.21,13.37,11.85,13.90,14.93,12.83,13.42,11.65,10.00,13.00,14.61,13.97,12.53,11.92
1913,13.22,12.63,12.62,12.22,11.22,14.22,12.31,10.66,10.96,9.31,14.61,9.30,13.46,11.91,14.01,15.12,12.96,13.53,11.76,10.08,13.12,14.78,14.03,12.62,12.01
1914,13.07,12.59,12.57,12.18,11.19,14.06,12.22,10.62,10.86,9.24,14.47,9.24,13.33,11.88,13.86,14.84,12.86,13.38,11.65,10.03,13.00,14.51,13.94,12.57,11.94
1915,13.14,12.72,12.70,12.32,11.30,14.13,12.27,10.68,11.00,9.29,14.50,9.30,13.47,12.00,14.02,14.95,13.02,13.51,11.75,10.12,13.14,14.56,13.96,12.70,12.07
1916,13.20,12.69,12.69,12.24,11.23,14.17,12.19,10.58,10.99,9.19,14.50,9.19,13.52,11.95,14.06,15.16,13.03,13.56,11.73,10.06,13.16,14.80,13.87,12.69,12.05
1917,12.83,12.30,12.29,11.85,10.83,13.81,11.81,10.17,10.61,8.80,14.15,8.80,13.14,11.55,13.70,14.80,12.64,13.17,11.34,9.65,12.77,14.48,13.49,12.29,11.66
1918,12.49,11.92,11.91,11.50,10.50,13.44,11.45,9.84,10.21,8.43,13.82,8.43,12.73,11.20,13.30,14.44,12.24,12.78,10.95,9.33,12.37,14.20,13.15,11.91,11.28
1919,12.96,12.45,12.44,12.01,11.03,13.97,12.06,10.38,10.79,9.06,14.33,9.05,13.28,11.74,13.81,14.81,12.76,13.33,11.55,9.89,12.94,14.43,13.72,12.44,11.84
1920,13.45,13.04,13.02,12.62,11.59,14.44,12.54,10.97,11.30,9.58,14.78,9.60,13.79,12.30,14.34,15.31,13.35,13.83,12.06,10.42,13.46,14.91,14.16,13.02,12.39
1921,13.36,13.05,13.02,12.72,11.68,14.35,12.55,11.08,11.33,9.64,14.69,9.68,13.73,12.37,14.30,15.06,13.35,13.75,12.05,10.47,13.47,14.58,14.22,13.02,12.43
1922,13.47,13.00,12.99,12.56,11.54,14.47,12.55,10.90,11.27,9.55,14.81,9.54,13.77,12.25,14.34,15.38,13.33,13.83,12.04,10.36,13.43,14.98,14.22,12.99,12.34
1923,13.02,12.68,12.66,12.23,11.21,13.99,12.10,10.56,10.91,9.15,14.30,9.18,13.39,11.94,13.96,14.84,12.97,13.41,11.62,10.01,13.07,14.45,13.77,12.66,12.00
1924,13.75,13.32,13.31,12.88,11.89,14.76,12.89,11.25,11.62,9.91,15.11,9.90,14.10,12.59,14.64,15.59,13.61,14.13,12.39,10.71,13.75,15.15,14.58,13.31,12.68
1925,12.80,12.30,12.28,11.84,10.81,13.77,11.77,10.14,10.56,8.78,14.08,8.78,13.10,11.55,13.67,14.79,12.65,13.13,11.30,9.62,12.75,14.45,13.41,12.28,11.63
1926,13.48,13.00,12.99,12.61,11.60,14.45,12.56,10.97,11.29,9.58,14.82,9.58,13.77,12.29,14.31,15.34,13.29,13.80,12.05,10.41,13.44,14.98,14.25,12.99,12.36
1927,13.77,13.38,13.37,12.98,11.98,14.76,12.87,11.34,11.69,9.92,15.07,9.96,14.17,12.68,14.74,15.61,13.72,14.17,12.40,10.81,13.86,15.14,14.53,13.37,12.77
1928,13.74,13.43,13.42,13.03,12.05,14.73,12.93,11.42,11.73,10.01,15.05,10.03,14.16,12.75,14.71,15.48,13.72,14.17,12.44,10.86,13.88,15.00,14.55,13.42,12.81
1929,13.05,12.70,12.68,12.34,11.34,14.01,12.20,10.72,10.98,9.27,14.37,9.32,13.42,12.04,13.98,14.76,12.95,13.42,11.69,10.14,13.13,14.38,13.87,12.68,12.08
1930,13.53,13.19,13.18,12.78,11.78,14.52,12.69,11.15,11.45,9.73,14.86,9.77,13.90,12.47,14.48,15.29,13.47,13.91,12.17,10.60,13.61,14.88,14.34,13.18,12.55
1931,13.65,13.13,13.13,12.67,11.70,14.67,12.76,11.05,11.47,9.75,15.02,9.71,13.99,12.41,14.55,15.56,13.46,14.04,12.25,10.55,13.64,15.13,14.45,13.13,12.53
1932,13.33,12.93,12.91,12.44,11.41,14.32,12.38,10.77,11.16,9.39,14.65,9.39,13.68,12.15,14.26,15.24,13.25,13.71,11.89,10.23,13.35,14.84,14.07,12.91,12.25
1933,13.42,12.90,12.90,12.48,11.50,14.41,12.52,10.89,11.24,9.53,14.78,9.51,13.72,12.20,14.26,15.27,13.20,13.77,11.99,10.35,13.38,14.89,14.23,12.90,12.29
1934,13.38,13.05,13.04,12.58,11.53,14.36,12.46,10.89,11.27,9.50,14.68,9.51,13.77,12.26,14.35,15.24,13.41,13.78,11.98,10.36,13.45,14.81,14.13,13.04,12.36
1935,13.06,12.49,12.48,11.99,10.99,14.05,12.08,10.34,10.79,9.05,14.42,9.01,13.34,11.71,13.91,15.02,12.85,13.39,11.56,9.85,12.97,14.71,13.79,12.48,11.84
1936,12.96,12.48,12.47,11.95,10.92,13.94,11.98,10.28,10.69,8.96,14.32,8.93,13.23,11.65,13.80,14.89,12.82,13.27,11.46,9.76,12.86,14.61,13.68,12.47,11.76
1937,13.46,12.93,12.91,12.51,11.50,14.43,12.52,10.88,11.23,9.51,14.82,9.51,13.72,12.20,14.28,15.36,13.26,13.78,11.99,10.32,13.38,15.02,14.25,12.91,12.29
1938,12.93,12.37,12.35,11.93,10.93,13.89,11.97,10.32,10.68,8.93,14.29,8.92,13.19,11.60,13.75,14.83,12.71,13.23,11.42,9.77,12.84,14.55,13.69,12.35,11.75
1939,13.00,12.50,12.49,12.04,11.04,13.97,12.01,10.40,10.79,9.01,14.33,9.01,13.30,11.73,13.87,14.93,12.84,13.33,11.51,9.87,12.95,14.61,13.70,12.49,11.85
1940,13.08,12.45,12.44,12.06,11.08,14.06,12.19,10.48,10.83,9.18,14.48,9.16,13.28,11.76,13.81,14.90,12.71,13.35,11.61,9.93,12.92,14.65,13.92,12.44,11.85
1941,12.97,12.39,12.38,11.97,10.96,13.92,12.00,10.33,10.70,8.98,14.36,8.96,13.20,11.68,13.76,14.86,12.71,13.25,11.46,9.79,12.85,14.60,13.78,12.38,11.76
1942,13.68,13.10,13.09,12.72,11.72,14.65,12.76,11.09,11.44,9.74,15.10,9.74,13.92,12.42,14.48,15.54,13.43,13.98,12.21,10.54,13.58,15.23,14.57,13.09,12.50
1943,13.97,13.47,13.45,13.07,12.07,14.94,13.05,11.44,11.77,10.05,15.35,10.06,14.25,12.76,14.82,15.86,13.77,14.29,12.51,10.88,13.92,15.48,14.78,13.45,12.84
1944,13.19,12.66,12.64,12.27,11.25,14.17,12.25,10.63,10.98,9.26,14.55,9.26,13.46,11.95,14.01,15.08,12.97,13.50,11.72,10.07,13.11,14.74,13.96,12.64,12.03
1945,13.68,13.14,13.12,12.78,11.78,14.64,12.79,11.17,11.45,9.80,15.08,9.80,13.91,12.46,14.48,15.47,13.45,13.95,12.22,10.59,13.59,15.19,14.56,13.12,12.52
1946,13.79,13.18,13.17,12.78,11.79,14.77,12.86,11.17,11.53,9.85,15.20,9.82,14.00,12.47,14.56,15.66,13.49,14.07,12.31,10.64,13.66,15.38,14.63,13.17,12.57
1947,14.56,14.11,14.10,13.73,12.74,15.57,13.71,12.12,12.44,10.76,15.88,10.75,14.90,13.43,15.41,16.35,14.40,14.92,13.20,11.55,14.56,15.97,15.35,14.10,13.50
1948,13.94,13.54,13.52,13.17,12.19,14.95,13.18,11.58,11.86,10.22,15.31,10.22,14.28,12.85,14.84,15.62,13.81,14.33,12.63,11.02,13.97,15.20,14.87,13.52,12.92
1949,13.84,13.45,13.42,13.11,12.09,14.82,13.09,11.52,11.76,10.15,15.21,10.16,14.18,12.77,14.74,15.49,13.72,14.22,12.53,10.92,13.87,15.08,14.81,13.42,12.81
1950,13.90,13.55,13.52,13.18,12.17,14.89,13.14,11.55,11.83,10.18,15.27,10.18,14.28,12.87,14.83,15.59,13.84,14.33,12.61,10.98,13.98,15.15,14.84,13.52,12.92
1951,13.51,12.94,12.92,12.63,11.65,14.44,12.67,11.11,11.24,9.70,14.94,9.71,13.66,12.25,14.21,15.25,13.18,13.71,12.03,10.44,13.37,15.01,14.46,12.92,12.34
1952,13.98,13.36,13.33,13.11,12.16,14.98,13.20,11.64,11.78,10.25,15.46,10.26,14.15,12.74,14.70,15.64,13.62,14.23,12.59,10.99,13.86,15.37,14.95,13.33,12.83
1953,13.37,12.62,12.60,12.37,11.46,14.33,12.63,10.97,11.07,9.61,14.89,9.60,13.45,12.01,13.97,15.02,12.88,13.53,11.93,10.29,13.15,14.82,14.49,12.60,12.12
1954,12.92,12.31,12.29,12.02,11.04,13.86,12.14,10.54,10.61,9.13,14.40,9.15,12.99,11.60,13.55,14.58,12.55,13.06,11.44,9.84,12.71,14.39,13.98,12.29,11.69
1955,14.18,13.54,13.53,13.23,12.30,15.12,13.38,11.78,11.93,10.40,15.62,10.42,14.30,12.89,14.85,15.86,13.80,14.37,12.74,11.13,14.01,15.65,15.18,13.53,12.99
1956,12.78,12.20,12.17,11.85,10.86,13.71,11.90,10.31,10.51,8.92,14.18,8.92,12.94,11.47,13.48,14.56,12.46,13.00,11.30,9.68,12.62,14.33,13.68,12.17,11.56
1957,13.16,12.67,12.63,12.35,11.29,14.09,12.32,10.79,10.91,9.34,14.56,9.36,13.35,11.95,13.86,14.91,12.91,13.40,11.70,10.08,13.03,14.65,14.09,12.63,11.98
1958,13.88,13.37,13.35,13.09,12.10,14.81,13.08,11.61,11.72,10.15,15.26,10.19,14.11,12.72,14.66,15.56,13.62,14.16,12.50,10.92,13.82,15.27,14.83,13.35,12.79
1959,13.70,13.20,13.17,12.92,11.93,14.71,13.00,11.42,11.60,10.04,15.09,10.04,13.99,12.56,14.52,15.41,13.46,14.06,12.40,10.77,13.69,14.95,14.74,13.17,12.63
1960,13.68,13.22,13.21,12.82,11.86,14.69,12.83,11.21,11.55,9.89,15.03,9.86,13.99,12.53,14.54,15.53,13.51,14.05,12.32,10.67,13.68,15.06,14.46,13.21,12.60
1961,13.49,13.06,13.05,12.69,11.72,14.43,12.61,11.14,11.24,9.64,14.88,9.77,13.69,12.40,14.22,15.22,13.34,13.76,12.03,10.48,13.40,14.90,14.49,13.05,12.47
1962,13.21,12.72,12.71,12.29,11.30,14.19,12.33,10.66,10.97,9.33,14.60,9.32,13.47,12.00,13.96,15.06,13.00,13.52,11.78,10.12,13.10,14.70,14.04,12.71,12.09
1963,13.25,12.73,12.73,12.32,11.35,14.22,12.39,10.74,11.04,9.41,14.62,9.41,13.51,12.03,14.01,15.06,13.03,13.57,11.82,10.19,13.17,14.73,14.13,12.73,12.15
1964,13.46,12.93,12.92,12.58,11.61,14.43,12.65,11.06,11.24,9.67,14.88,9.70,13.65,12.28,14.18,15.22,13.18,13.71,12.03,10.43,13.32,14.89,14.43,12.92,12.33
1965,13.32,12.70,12.68,12.32,11.35,14.30,12.51,10.86,11.06,9.53,14.71,9.50,13.50,12.03,14.04,15.13,12.99,13.60,11.90,10.22,13.19,14.80,14.25,12.68,12.12
1966,13.47,12.93,12.92,12.55,11.57,14.49,12.67,11.02,11.26,9.68,14.84,9.67,13.74,12.25,14.26,15.31,13.22,13.84,12.10,10.42,13.39,14.88,14.34,12.92,12.32
1967,13.22,12.72,12.68,12.41,11.39,14.16,12.33,10.78,10.98,9.35,14.61,9.37,13.42,12.08,13.94,15.00,12.99,13.45,11.74,10.13,13.10,14.74,14.11,12.68,12.06
1968,13.52,13.00,12.98,12.62,11.63,14.58,12.65,11.01,11.30,9.64,14.91,9.64,13.76,12.29,14.28,15.40,13.29,13.88,12.13,10.44,13.42,14.96,14.30,12.98,12.36
