Variable:,tasmin
,Uruguay,Artigas,Canelones,"Cerro Largo",Colonia,Durazno,Flores,Florida,Lavalleja,Maldonado,Montevideo,Paysandu,"Rio Negro",Rivera,Rocha,Salto,"San Jose",Soriano,Tacuarembo,"Treinta Y Tres"
1901,11.95,13.17,12.15,11.58,12.59,11.84,12.07,11.67,11.18,11.75,12.23,12.12,11.87,12.13,11.28,12.52,12.26,11.92,11.96,11.27
1902,11.99,13.25,12.08,11.79,12.46,11.87,12.00,11.64,11.22,11.71,12.13,12.11,11.80,12.33,11.36,12.56,12.17,11.80,12.08,11.45
1903,11.59,12.75,11.76,11.43,12.04,11.44,11.57,11.27,10.90,11.46,11.81,11.62,11.34,11.90,11.12,12.07,11.79,11.35,11.63,11.12
1904,11.48,12.75,11.52,11.23,11.96,11.33,11.49,11.10,10.67,11.19,11.57,11.65,11.35,11.76,10.88,12.08,11.63,11.34,11.53,10.90
1905,11.29,12.56,11.35,11.12,11.75,11.14,11.28,10.90,10.49,11.01,11.41,11.39,11.10,11.64,10.71,11.84,11.44,11.10,11.36,10.78
1906,12.07,13.37,12.13,11.73,12.62,11.97,12.16,11.72,11.22,11.71,12.18,12.31,12.02,12.34,11.30,12.73,12.28,12.00,12.15,11.38
1907,11.28,12.52,11.36,11.06,11.76,11.14,11.29,10.92,10.51,11.03,11.41,11.39,11.11,11.58,10.71,11.83,11.44,11.12,11.33,10.74
1908,11.73,12.87,11.91,11.41,12.29,11.62,11.81,11.44,11.01,11.55,11.98,11.86,11.60,11.90,11.16,12.25,11.99,11.62,11.74,11.13
1909,11.53,12.76,11.68,11.23,12.07,11.41,11.60,11.21,10.78,11.33,11.74,11.65,11.40,11.75,10.94,12.06,11.77,11.40,11.56,10.92
1910,11.68,12.84,11.81,11.44,12.16,11.58,11.73,11.38,10.94,11.46,11.85,11.77,11.50,11.96,11.09,12.19,11.89,11.50,11.75,11.13
1911,11.07,12.39,11.10,10.83,11.58,10.93,11.10,10.68,10.23,10.74,11.13,11.24,10.95,11.38,10.42,11.68,11.23,10.95,11.13,10.47
1912,11.74,13.06,11.77,11.46,12.26,11.61,11.79,11.35,10.89,11.40,11.82,11.95,11.66,12.02,11.06,12.36,11.90,11.65,11.80,11.13
1913,12.52,13.51,12.83,12.10,13.31,12.43,12.71,12.30,11.84,12.44,12.91,12.64,12.47,12.54,11.96,12.93,12.93,12.59,12.45,11.86
1914,11.95,13.13,12.01,11.78,12.42,11.80,11.94,11.58,11.20,11.71,12.05,12.04,11.76,12.27,11.43,12.47,12.09,11.77,12.00,11.46
1915,11.70,12.82,11.85,11.49,12.27,11.58,11.75,11.38,10.98,11.51,11.90,11.77,11.55,11.96,11.18,12.17,11.94,11.60,11.73,11.19
1916,11.82,12.89,12.06,11.57,12.45,11.69,11.88,11.55,11.18,11.77,12.11,11.87,11.65,11.97,11.40,12.26,12.11,11.73,11.78,11.31
1917,11.68,12.77,11.95,11.35,12.30,11.58,11.77,11.44,11.03,11.63,12.01,11.75,11.54,11.79,11.21,12.12,11.99,11.61,11.64,11.11
1918,11.62,12.70,11.83,11.38,12.16,11.51,11.66,11.35,10.97,11.53,11.88,11.65,11.43,11.83,11.18,12.03,11.87,11.47,11.62,11.12
1919,12.02,13.24,12.09,11.78,12.49,11.89,12.04,11.66,11.28,11.80,12.13,12.14,11.86,12.27,11.49,12.57,12.17,11.85,12.06,11.49
1920,11.95,13.09,12.12,11.70,12.51,11.83,11.99,11.65,11.25,11.81,12.17,12.04,11.80,12.17,11.44,12.43,12.19,11.83,11.96,11.42
1921,11.48,12.66,11.60,11.30,11.91,11.38,11.48,11.17,10.76,11.28,11.64,11.56,11.29,11.81,10.96,11.98,11.67,11.26,11.57,10.98
1922,11.53,12.63,11.70,11.38,11.97,11.42,11.53,11.24,10.86,11.40,11.73,11.53,11.29,11.85,11.09,11.94,11.73,11.29,11.59,11.09
1923,11.47,12.80,11.43,11.33,11.82,11.33,11.41,11.05,10.66,11.15,11.45,11.61,11.28,11.87,10.89,12.08,11.52,11.22,11.58,10.99
1924,11.07,12.36,11.09,10.89,11.52,10.93,11.05,10.69,10.29,10.80,11.13,11.19,10.90,11.41,10.52,11.64,11.18,10.89,11.14,10.56
1925,11.87,13.11,11.94,11.66,12.33,11.76,11.89,11.52,11.11,11.62,11.98,12.00,11.72,12.17,11.31,12.43,12.02,11.70,11.94,11.35
1926,12.47,13.73,12.47,12.22,12.86,12.38,12.50,12.11,11.66,12.13,12.49,12.65,12.35,12.78,11.80,13.09,12.57,12.28,12.58,11.88
1927,12.18,13.33,12.32,11.93,12.65,12.09,12.23,11.88,11.47,11.99,12.36,12.28,12.02,12.43,11.63,12.67,12.38,12.01,12.25,11.63
1928,11.54,12.70,11.62,11.42,11.92,11.41,11.51,11.20,10.82,11.34,11.66,11.59,11.31,11.90,11.08,12.02,11.68,11.29,11.62,11.11
1929,12.22,13.33,12.42,11.92,12.78,12.14,12.30,11.96,11.55,12.10,12.48,12.32,12.08,12.38,11.71,12.69,12.49,12.11,12.25,11.66
1930,12.18,13.39,12.25,11.95,12.62,12.08,12.20,11.84,11.43,11.93,12.28,12.31,12.01,12.45,11.61,12.72,12.33,11.99,12.25,11.64
1931,11.61,12.70,11.60,11.54,11.92,11.50,11.52,11.22,10.87,11.35,11.63,11.74,11.36,12.02,11.11,12.16,11.64,11.32,11.79,11.16
1932,12.72,13.78,12.79,12.50,13.17,12.60,12.73,12.38,11.98,12.48,12.81,12.85,12.54,13.06,12.17,13.26,12.86,12.54,12.84,12.17
1933,12.20,13.60,12.12,12.03,12.59,12.02,12.15,11.77,11.32,11.79,12.12,12.39,12.01,12.66,11.53,12.90,12.21,11.97,12.33,11.65
1934,11.79,13.03,11.68,11.66,12.12,11.69,11.74,11.43,11.00,11.42,11.70,11.94,11.64,12.19,11.24,12.34,11.76,11.55,11.92,11.36
1935,12.03,13.30,11.97,11.79,12.45,11.95,12.05,11.66,11.24,11.70,11.99,12.22,11.90,12.31,11.46,12.60,12.06,11.86,12.08,11.51
1936,12.03,13.26,12.07,11.87,12.38,11.91,11.97,11.68,11.31,11.79,12.08,12.14,11.83,12.36,11.54,12.55,12.12,11.78,12.12,11.55
1937,11.74,12.98,11.80,11.54,12.17,11.64,11.73,11.40,11.03,11.52,11.83,11.88,11.56,12.00,11.27,12.26,11.87,11.53,11.78,11.25
1938,11.87,12.90,11.98,11.73,12.34,11.78,11.91,11.54,11.18,11.68,12.00,11.96,11.70,12.19,11.39,12.29,12.04,11.71,11.98,11.38
1939,12.01,13.13,11.96,11.88,12.36,11.95,12.00,11.65,11.26,11.71,11.98,12.15,11.86,12.36,11.51,12.51,12.02,11.80,12.11,11.55
1940,12.32,13.29,12.49,12.09,12.84,12.24,12.39,12.05,11.67,12.20,12.52,12.41,12.19,12.54,11.84,12.74,12.54,12.20,12.38,11.78
1941,11.45,12.75,11.38,11.42,11.70,11.35,11.39,11.08,10.64,11.15,11.39,11.52,11.25,11.89,10.93,12.01,11.42,11.16,11.56,11.02
1942,11.14,12.41,10.99,11.24,11.29,11.03,10.99,10.71,10.36,10.84,10.99,11.17,10.89,11.61,10.76,11.68,11.00,10.74,11.28,10.85
1943,12.07,13.29,12.02,12.05,12.32,11.96,11.95,11.70,11.33,11.82,12.04,12.11,11.84,12.50,11.67,12.57,12.04,11.70,12.15,11.68
1944,12.29,13.90,11.93,12.32,12.29,12.15,12.10,11.81,11.36,11.76,11.94,12.41,12.06,12.92,11.70,13.05,11.97,11.84,12.47,11.88
1945,12.29,13.71,12.16,12.24,12.56,12.12,12.20,11.84,11.42,11.91,12.18,12.40,12.02,12.72,11.69,12.98,12.25,12.00,12.45,11.87
1946,11.90,13.23,11.88,11.79,12.22,11.79,11.84,11.53,11.13,11.63,11.91,11.98,11.70,12.32,11.37,12.46,11.93,11.62,11.98,11.40
1947,11.98,13.42,11.98,11.89,12.30,11.82,11.88,11.57,11.18,11.70,11.99,12.05,11.75,12.47,11.43,12.60,12.01,11.68,12.07,11.46
1948,11.95,13.50,11.88,11.87,12.21,11.77,11.81,11.51,11.11,11.60,11.90,12.02,11.69,12.47,11.36,12.63,11.92,11.60,12.06,11.43
1949,12.07,13.60,11.88,12.00,12.33,11.92,11.96,11.60,11.17,11.59,11.90,12.21,11.89,12.60,11.43,12.77,11.99,11.77,12.21,11.57
1950,12.09,13.56,11.93,11.99,12.31,11.96,11.98,11.66,11.22,11.65,11.95,12.26,11.94,12.57,11.46,12.75,12.03,11.73,12.22,11.59
1951,12.53,13.86,12.50,12.36,12.77,12.43,12.54,12.16,11.76,12.19,12.50,12.64,12.37,12.89,11.94,13.12,12.58,12.22,12.64,12.05
1952,12.68,14.03,12.64,12.52,12.91,12.60,12.68,12.31,11.90,12.34,12.63,12.79,12.48,13.07,12.09,13.30,12.74,12.35,12.83,12.18
1953,12.57,14.10,12.38,12.48,12.66,12.41,12.42,12.04,11.66,12.11,12.35,12.78,12.32,13.07,11.88,13.33,12.45,12.17,12.79,12.10
1954,12.20,13.56,12.17,12.07,12.45,12.07,12.15,11.79,11.40,11.89,12.18,12.32,12.00,12.63,11.62,12.80,12.24,11.89,12.36,11.73
1955,11.67,13.04,11.65,11.49,12.02,11.52,11.59,11.26,10.86,11.31,11.76,11.85,11.46,12.07,11.08,12.32,11.73,11.36,11.82,11.15
1956,11.42,12.71,11.46,11.19,11.84,11.27,11.37,11.06,10.66,11.08,11.62,11.59,11.20,11.75,10.88,12.02,11.55,11.12,11.53,10.89
