Variable:,tasmin
,"Virgin Islands","Saint Croix (County Equivalent)","Saint John (County Equivalent)","Saint Thomas (County Equivalent)"
1901,21.41,21.41,21.21,21.20
1902,20.98,20.98,20.80,20.79
1903,21.07,21.07,20.90,20.89
1904,20.57,20.57,20.38,20.37
1905,20.89,20.89,20.71,20.70
1906,20.73,20.73,20.55,20.54
1907,20.45,20.45,20.29,20.28
1908,20.62,20.62,20.44,20.43
1909,20.74,20.74,20.54,20.53
1910,20.76,20.76,20.56,20.55
1911,20.39,20.39,20.21,20.20
1912,20.72,20.72,20.56,20.55
1913,20.13,20.13,19.95,19.94
1914,20.32,20.32,20.12,20.11
1915,21.18,21.18,21.03,21.02
1916,20.67,20.67,20.44,20.43
1917,20.26,20.26,20.01,20.00
1918,20.05,20.05,19.83,19.82
1919,20.30,20.30,20.09,20.08
1920,19.98,19.98,19.83,19.82
1921,20.27,20.27,20.03,20.02
1922,20.26,20.26,20.04,20.03
1923,20.38,20.38,20.17,20.16
1924,21.08,21.08,20.92,20.91
1925,20.32,20.32,20.10,20.09
1926,21.08,21.08,20.88,20.87
1927,20.63,20.63,20.44,20.43
1928,20.70,20.70,20.54,20.53
1929,20.44,20.44,20.23,20.22
1930,20.46,20.46,20.30,20.29
1931,21.68,21.68,21.51,21.50
1932,21.44,21.44,21.22,21.21
1933,21.08,21.08,20.88,20.87
1934,20.83,20.83,20.58,20.57
1935,20.79,20.79,20.61,20.60
1936,21.10,21.10,20.90,20.89
1937,21.43,21.43,21.23,21.22
1938,21.01,21.01,20.82,20.81
1939,20.96,20.96,20.73,20.72
1940,21.81,21.81,21.58,21.57
1941,21.73,21.73,21.49,21.48
1942,21.84,21.84,21.63,21.62
1943,21.34,21.34,21.13,21.12
1944,21.20,21.20,21.02,21.01
1945,20.84,20.84,20.62,20.61
1946,21.06,21.06,20.85,20.84
1947,21.52,21.52,21.30,21.29
1948,21.53,21.53,21.33,21.32
1949,21.23,21.23,21.03,21.02
1950,21.20,21.20,20.99,20.98
1951,21.51,21.51,21.29,21.28
1952,21.51,21.51,21.32,21.30
1953,21.32,21.32,21.14,21.13
1954,21.25,21.25,21.05,21.04
1955,21.30,21.30,21.12,21.11
1956,21.35,21.35,21.17,21.16
1957,21.51,21.51,21.34,21.34
1958,22.08,22.08,21.88,21.87
1959,21.47,21.47,21.28,21.27
1960,21.71,21.71,21.53,21.53
1961,21.56,21.56,21.39,21.38
1962,21.59,21.59,21.38,21.37
1963,21.83,21.83,21.61,21.60
1964,21.57,21.57,21.35,21.34
1965,21.40,21.40,21.18,21.17
1966,21.73,21.73,21.56,21.55
1967,21.13,21.13,21.02,21.01
1968,21.23,21.23,21.08,21.07
1969,21.86,21.86,21.69,21.68
1970,21.75,21.75,21.58,21.57
1971,21.17,21.17,21.03,21.02
1972,21.69,21.69,21.58,21.57
1973,21.68,21.68,21.53,21.52
1974,21.38,21.38,21.29,21.28
1975,21.30,21.30,21.17,21.16
1976,21.23,21.23,21.13,21.12
1977,21.66,21.66,21.49,21.48
1978,21.83,21.83,21.64,21.63
1979,21.94,21.94,21.79,21.78
1980,22.28,22.28,22.14,22.13
1981,22.42,22.42,22.19,22.18
1982,21.88,21.88,21.61,21.60
1983,22.46,22.46,22.20,22.19
1984,21.81,21.81,21.54,21.53
1985,21.73,21.73,21.44,21.43
1986,21.85,21.85,21.57,21.56
1987,22.60,22.60,22.37,22.35
1988,22.28,22.28,21.99,21.98
1989,21.62,21.62,21.38,21.37
1990,21.98,21.98,21.73,21.72
1991,22.07,22.07,21.89,21.88
1992,22.18,22.18,21.99,21.98
1993,22.19,22.19,22.00,21.99
1994,21.98,21.98,21.81,21.80
1995,22.13,22.13,21.97,21.96
1996,22.30,22.30,22.10,22.09
1997,22.46,22.46,22.27,22.26
1998,22.97,22.97,22.78,22.77
1999,22.43,22.43,22.23,22.22
2000,22.24,22.24,22.06,22.05
2001,22.47,22.47,22.26,22.25
2002,22.67,22.67,22.45,22.44
2003,22.78,22.78,22.58,22.57
2004,22.28,22.28,22.08,22.07
2005,22.43,22.43,22.24,22.23
2006,22.28,22.28,22.07,22.07
2007,22.35,22.35,22.15,22.14
2008,21.98,21.98,21.77,21.76
2009,22.46,22.46,22.23,22.22
2010,22.63,22.63,22.42,22.41
2011,22.15,22.15,21.94,21.93
2012,22.39,22.39,22.20,22.19
2013,22.42,22.42,22.24,22.23
2014,22.46,22.46,22.28,22.27
2015,22.70,22.70,22.52,22.51
2016,22.70,22.70,22.51,22.50
2017,22.57,22.57,22.38,22.37
2018,22.23,22.23,22.05,22.04
2019,22.67,22.67,22.48,22.47
2020,22.66,22.66,22.49,22.48
