Variable:,tasmin
,"Wallis and Futuna","Administrative unit not available"
1901,23.79,23.74
1902,23.73,23.73
1903,23.47,23.47
1904,23.28,23.34
1905,23.36,23.36
1906,23.88,23.79
1907,23.43,23.45
1908,23.31,23.36
1909,23.22,23.23
1910,23.25,23.29
1911,23.64,23.67
1912,23.98,23.94
1913,23.92,23.90
1914,24.17,24.06
1915,23.63,23.61
1916,23.41,23.45
1917,23.32,23.36
1918,23.45,23.46
1919,24.07,24.02
1920,23.98,23.97
1921,23.95,23.84
1922,24.18,24.00
1923,23.62,23.64
1924,24.03,23.96
1925,23.84,23.80
1926,24.12,24.03
1927,24.29,24.15
1928,24.08,24.00
1929,23.96,23.91
1930,24.06,24.00
1931,23.73,23.75
1932,23.96,23.92
1933,23.88,23.81
1934,23.95,23.85
1935,24.15,24.04
1936,24.10,24.02
1937,24.08,23.97
1938,24.11,23.96
1939,23.81,23.74
1940,24.20,24.10
1941,24.38,24.25
1942,24.15,24.01
1943,24.09,24.00
1944,24.02,23.90
1945,24.09,23.93
1946,23.99,23.96
1947,24.18,24.14
1948,23.91,23.89
1949,23.98,23.96
1950,24.14,24.04
1951,24.13,24.06
1952,24.58,24.48
1953,24.38,24.31
1954,24.29,24.20
1955,23.98,23.91
1956,24.06,23.98
1957,24.38,24.31
1958,24.57,24.49
1959,24.58,24.50
1960,24.34,24.29
1961,24.34,24.28
1962,24.23,24.13
1963,24.21,24.14
1964,23.96,23.90
1965,23.81,23.71
1966,24.06,23.98
1967,23.82,23.75
1968,23.88,23.81
1969,24.23,24.14
1970,23.95,23.87
1971,23.57,23.51
1972,23.98,23.89
1973,24.18,24.13
1974,23.57,23.55
1975,23.88,23.81
1976,23.60,23.56
1977,23.91,23.85
1978,23.86,23.76
1979,23.97,23.86
1980,23.98,23.85
1981,23.89,23.82
1982,24.03,23.94
1983,24.08,24.00
1984,23.94,23.87
1985,24.09,24.02
1986,24.05,23.95
1987,23.93,23.82
1988,24.27,24.19
1989,23.92,23.85
1990,24.43,24.29
1991,24.43,24.26
1992,24.38,24.20
1993,24.23,24.02
1994,24.28,24.10
1995,24.34,24.16
1996,24.24,24.08
1997,24.58,24.41
1998,24.81,24.65
1999,24.32,24.18
2000,24.60,24.47
2001,24.59,24.47
2002,24.81,24.61
2003,24.48,24.32
2004,24.45,24.31
2005,24.78,24.62
2006,24.48,24.33
2007,24.76,24.63
2008,24.48,24.33
2009,24.42,24.30
2010,24.68,24.57
2011,24.23,24.17
2012,24.34,24.23
2013,24.66,24.52
2014,24.49,24.33
2015,24.59,24.44
2016,25.04,24.89
2017,24.90,24.75
2018,24.72,24.56
2019,24.83,24.69
2020,24.94,24.84
