Variable:,tasmin
,Samoa,"Administrative unit not available"
1901,23.83,23.81
1902,23.71,23.68
1903,23.34,23.32
1904,23.19,23.17
1905,23.28,23.25
1906,23.95,23.93
1907,23.42,23.39
1908,23.17,23.14
1909,23.18,23.15
1910,23.09,23.05
1911,23.40,23.37
1912,23.87,23.84
1913,23.85,23.81
1914,24.17,24.15
1915,23.59,23.56
1916,23.35,23.32
1917,23.22,23.19
1918,23.31,23.28
1919,24.02,23.99
1920,23.81,23.77
1921,24.09,24.06
1922,24.47,24.44
1923,23.49,23.46
1924,24.13,24.09
1925,23.86,23.82
1926,24.13,24.09
1927,24.40,24.36
1928,24.08,24.05
1929,23.94,23.90
1930,24.05,24.01
1931,23.63,23.60
1932,23.95,23.93
1933,23.76,23.72
1934,23.80,23.76
1935,24.24,24.21
1936,23.95,23.90
1937,23.98,23.92
1938,24.25,24.22
1939,23.73,23.69
1940,24.09,24.04
1941,24.40,24.35
1942,24.22,24.18
1943,24.05,24.01
1944,23.95,23.91
1945,24.14,24.10
1946,23.73,23.69
1947,23.92,23.89
1948,23.64,23.60
1949,23.84,23.82
1950,24.13,24.11
1951,24.05,23.99
1952,24.43,24.38
1953,24.22,24.16
1954,24.31,24.29
1955,24.02,23.99
1956,23.86,23.83
1957,24.14,24.11
1958,24.29,24.24
1959,24.39,24.34
1960,24.23,24.17
1961,24.27,24.22
1962,24.17,24.13
1963,24.13,24.08
1964,23.94,23.90
1965,23.70,23.67
1966,23.93,23.89
1967,23.70,23.65
1968,23.74,23.70
1969,24.02,23.98
1970,23.94,23.91
1971,23.41,23.38
1972,23.93,23.90
1973,24.06,24.03
1974,23.34,23.31
1975,23.79,23.76
1976,23.50,23.46
1977,23.87,23.86
1978,23.83,23.82
1979,23.94,23.93
1980,24.09,24.09
1981,23.86,23.86
1982,23.99,23.97
1983,24.14,24.13
1984,23.93,23.92
1985,24.07,24.05
1986,24.02,24.02
1987,23.98,23.97
1988,24.34,24.33
1989,23.87,23.86
1990,24.55,24.53
1991,24.53,24.52
1992,24.66,24.67
1993,24.54,24.54
1994,24.41,24.42
1995,24.63,24.65
1996,24.67,24.67
1997,24.84,24.83
1998,25.05,25.04
1999,24.48,24.46
2000,24.69,24.68
2001,25.26,25.25
2002,25.41,25.43
2003,25.01,25.01
2004,24.94,24.95
2005,25.27,25.28
2006,24.90,24.90
2007,25.18,25.17
2008,25.02,25.02
2009,24.83,24.82
2010,24.80,24.78
2011,24.37,24.36
2012,24.71,24.69
2013,24.96,24.95
2014,24.77,24.77
2015,24.91,24.91
2016,25.36,25.36
2017,25.13,25.12
2018,24.94,24.93
2019,25.22,25.21
2020,25.08,25.07
