"Data Source","World Development Indicators",

"Last Updated Date","2022-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","632762559.26534","717476292.43707","760302230.599189","852639258.051431","954961327.55144","1059577300.02159","1199748843.59967","1304024085.41682","1362017020.10632","1471535172.30904","1538188489.7086","1591171092.88807","1817009854.38605","1780899093.48812","1699600368.39217","1946670687.45451","2234526097.3358","1920274304.09943","2353360780.89608","2194516023.61343","2585668008.59826","2411358819.85387","2274835957.3057","2290680023.36754","2412460160.44556","2528399466.58636","2630866335.21898","2770959446.08271","2814340575.09256","2857452094.82014","","","",
"Africa Eastern and Southern","AFE","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","141167715938.498","138166546607.603","128103779812.378","133533888548.304","156753268366.031","182435162813.455","194653654363.511","194659811942.371","207696448088.312","214021315069.918","225060332365.299","235390626344.276","257453177123.968","268314589142.334","276512183741.574","262122077810.987","260753800148.315","265489703988.051","261371842075.003","261800448330.588","290254430712.329","362607052501.924","465994407829.221","538426207158.12","606163879385.676","664843779908.318","690631698484.067","744991717416.741","833064886147.698","913822384683.74","955209805546.409","969487212751.036","937981691131.121","899966308261.647","902965222129.964","961233359412.614","1013683788551.9","952399806338.104",
"Afghanistan","AFG","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12644827242.7465","14863060834.0379","16066487403.5164","19553331946.5514","21067819328.5006","20969721073.9375","20174388338.5312","19393029361.5011","19070824501.5839","19036072149.5212","19716993006.7607","19322260776.3812",
"Africa Western and Central","AFW","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","11425910091.5309","12543907537.0551","13456129178.9592","14286168153.6879","14927791679.4686","14450034202.6164","14969434018.2776","16801994805.2324","20501630095.7909","22050328118.5831","24348476396.828","27985293967.7282","39920985386.284","48779351399.2893","59090450811.0083","65378328760.0627","70647622178.1658","84767194934.9296","100703224247.332","122242072126.51","144346274228.084","156614827471.433","131869985807.916","122633224445.778","114502281889.712","116126821990.854","122291837665.418","112365378009.101","113884261571.74","113919127118.772","119371479398.141","104653235324.71","94788359102.4764","95377862013.6937","102552864024.849","114818942082.644","117425411992.244","121224045392.877","121869921832.548","131795732739.809","147974881172.28","170116283286.862","212492009114.342","258077100123.238","324150189105.139","387117598374.888","479926683415.703","517866222693.347","552406304445.828","578500619591.447","656824069865.282","734932954324.68","805814226811.833","805372756678.731","735229943692.418","682900785583.98","701531275831.057","745963978680.097","759056243503.72",
"Angola","AGO","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","5912816759.32414","6971971025.66405","7111670036.07055","7213010852.88338","9798457963.23444","9214842694.61915","16954876592.8644","14811299006.7373","","4453500000","6075613389.66087","4670581292.63656","6636734758.1911","6316491061.47174","5275562190.57221","5903014327.99416","6690083579.90498","10317800628.4108","12827032872.0031","19001401454.2493","26682963583.21","36533201173.644","51492997442.4233","65659539400.85","71273450786.3096","75543980237.6407","82606027251.3298","104804657710.709","124418717059.404","134935090329.982","125915232844.516","108710652624.125","102809282435.022","98895545962.2256","94529281168.9386","70371398331.4718",
"Albania","ALB","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","2114290475.94353","2250946648.84473","2308259449.58612","2445669340.53684","2144674610.30695","1340594874.79075","906184212.294099","1024263065.23594","1216680690.37683","2035220171.98039","2823912719.06212","2532885648.0125","2700758094.72594","2956593291.78938","3406993378.81583","3906029740.89813","4175916869.94767","5006223194.83697","6361564926.41791","7887615548.1105","9130488517.10068","10274251164.8671","11892989039.3178","12529414230.6828","12709389691.6126","12803938382.98","12658292221.0524","13156889860.0145","13115546274.5287","12635758375.7245","12420734604.9197","12329779648.4626","13932803940.5263","14935189205.5749","14784065163.6571",
"Andorra","AND","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","514264245127.761","463118531899.51","469514921924.085","476964896728.54","524210497785.24","555123158263.358","579819784000.729","567131421748.776","668905632888.618","501501122555.566","521063785391.042","511889839572.308","523213386914.604","552938556420.843","599516245326.344","641814838978.041","659899895575.62","678588085823.241","738187083337.384","786279089353.922","792369662383.794","863989984481.99","1024585959730.14","1193966414104.29","1410530550044.65","1658656827975.79","1990499654108.16","2079578984599.35","2227214749937.56","2262362949620.16","2583103260196.92","2794506404069.45","2863351892128.72","2724764508077.92","2591997943345.24","2447245267614.42","2590911564733.83","2746534042196.46","2587154393601.95",
"United Arab Emirates","ARE","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98424973047.7352","105599045558.086","107622937088.949","121688462672.802","147125913781.565","172049311180.619","208706760117.355","244207313026.039","282949571000.644","277083140714.063","285540887890.418","313380563498.927","358574251557.203","394071950795.204","408824773148.672","397094983828.913","379546119291.417","372656056162.849","399411731386.849","428223387099.675","389787248130.345",
"Argentina","ARG","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","24436915654.103","27307536017.2301","30359663534.4139","28316034885.8704","28110535227.8209","30585419212.241","31582382532.011","35775760791.007","36156762383.0369","45649404115.3341","62985567014.5745","70261202934.7402","61903678901.7335","59112910817.3592","59256732622.5587","72112302460.3745","81313009206.645","79780400776.3327","76943271518.4499","83947790179.624","84067984525.5595","81711398394.0999","92716101175.1247","111879826532.584","125261891812.971","94313119785.3069","103923582583.802","127810746338.002","203570469410.014","241814720362.143","262188226196.828","256347178436.284","272663359670.34","290495337988.436","289536836748.234","276294736658.033","275544288842.814","260811643580.081","152402040124.724","139193101197.153","129809211585.293","165719405446.532","215384912406.676","258375452843.136","307283970854.916","315501635047.992","378137209478.515","442106779404.792","495259909345.501","541952763581.473","525940080584.246","543177384733.807","532580733314.78","578844320451.329","553257227152.829","505637132886.696","411594713703.451",
"Armenia","ARM","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1063711739.66529","1200546515.15212","1311101987.65844","1507765895.46233","1641719919.4229","1746181542.57671","1824147622.20799","1893129003.13691","2031449553.05025","2172115724.46926","2436136799.15933","2892531561.71732","3546208611.80142","4583264569.13309","5964254777.393","8093596870.18913","10461446892.268","9633680656.73135","9988481797.01453","10160338267.6272","11192555390.6362","11911914318.3941","12047457836.3324","11738591730.3917","11045765150.2086","11621188075.3432","12521420264.1586","13768767581.1114","12517905808.4427",
